type,date,price,return_pct,hold_days
BUY,2025-06-25,38.26,,
SELL,2025-07-04,37.88,-1.0,7
BUY,2025-07-17,43.07,,
SELL,2025-07-24,40.33,-6.4,5
BUY,2025-07-29,43.93,,
SELL,2025-08-14,52.48,19.5,12
BUY,2025-08-19,58.96,,
SELL,2025-09-08,83.97,42.4,14
BUY,2025-09-09,88.71,,
SELL,2025-09-15,86.95,-2.0,4
BUY,2025-09-17,99.68,,
SELL,2025-09-26,103.00,3.3,7
BUY,2025-11-19,83.68,,
SELL,2025-11-20,78.41,-6.3,1
BUY,2025-11-26,85.64,,
SELL,2025-12-16,89.30,4.3,14
BUY,2025-12-17,98.23,,
SELL,2025-12-31,116.36,18.5,10
BUY,2026-01-27,126.60,,
SELL,2026-03-04,228.27,80.3,20
BUY,2026-03-27,274.26,,
SELL,2026-04-14,364.50,32.9,11
BUY,2026-06-03,444.99,,
SELL,2026-06-12,436.50,-1.9,7
BUY,2026-06-17,460.50,,
SELL(F),2026-06-26,543.00,17.9,6
