type,date,price,return_pct,hold_days
BUY,2025-06-25,38.26,,
SELL,2025-10-09,97.98,156.1,70
BUY,2025-11-26,85.64,,
SELL,2026-01-05,115.19,34.5,26
BUY,2026-01-07,117.76,,
SELL,2026-01-08,111.63,-5.2,1
BUY,2026-01-20,118.40,,
SELL,2026-01-22,110.13,-7.0,2
BUY,2026-01-26,123.84,,
SELL,2026-03-05,223.36,80.4,22
BUY,2026-03-11,250.01,,
SELL,2026-03-17,215.81,-13.7,4
BUY,2026-03-24,233.31,,
SELL,2026-04-24,368.16,57.8,22
BUY,2026-05-08,397.23,,
SELL,2026-05-15,374.45,-5.7,5
BUY,2026-05-29,402.81,,
SELL,2026-06-01,371.58,-7.8,1
BUY,2026-06-02,408.74,,
SELL(F),2026-06-26,543.00,32.8,17
