date,A_VolBand_cum_pnl,A_VolBand_equity,B_Grid_cum_pnl,B_Grid_equity,C_Momentum_cum_pnl,C_Momentum_equity,D_Adaptive_cum_pnl,D_Adaptive_equity
2024-08-02,5994.8078633287805,5005620.487463329,0.0,4999625.6796,4281.137683310604,5003906.81728331,5574.274409111706,5005199.954009112
2024-08-05,12386.610122581711,4965322.289722581,2050.3613904000085,4954986.0409904,8870.334972293,4961806.014572293,11524.533955576015,4964460.213555576
2024-08-06,18854.739268029225,4978460.418868029,2050.3613904000085,4961656.0409904,13520.76185086969,4973126.44145087,17547.8096196251,4977153.489219625
2024-08-07,18854.739268029225,5129202.4188680295,2050.3613904000085,5112398.0409904,13520.76185086969,5123868.44145087,17547.8096196251,5127895.489219625
2024-08-08,18854.739268029225,5119197.418868029,2050.3613904000085,5102393.0409904,13520.76185086969,5113863.44145087,17547.8096196251,5117890.489219625
2024-08-09,18854.739268029225,5136539.4188680295,4192.923580799994,5121877.6031808,36526.37115859502,5154211.050758595,23041.865388625098,5140726.544988625
2024-08-12,18854.739268029225,5102522.418868029,6342.86183519999,5090010.5414352,36526.37115859502,5120194.050758595,23041.865388625098,5106709.544988625
2024-08-13,18854.739268029225,5067171.4188680295,6342.86183519999,5054659.541435201,45840.492505179136,5094157.172105179,34870.149517796264,5083186.829117796
2024-08-14,18854.739268029225,5050496.4188680295,6342.86183519999,5037984.541435201,45840.492505179136,5077482.172105179,34870.149517796264,5066511.829117796
2024-08-15,18854.739268029225,5071173.418868029,8452.2317376,5060770.9113376,45840.492505179136,5098159.172105179,34870.149517796264,5087188.829117796
2024-08-16,18854.739268029225,5037423.218868028,8452.2317376,5027020.7113376,55707.979052881536,5074276.458652882,34870.149517796264,5053438.629117796
2024-08-19,18854.739268029225,5040758.218868028,8452.2317376,5030355.7113376,55707.979052881536,5077611.458652882,34870.149517796264,5056773.629117796
2024-08-20,18854.739268029225,5013411.218868028,8452.2317376,5003008.7113376,55707.979052881536,5050264.458652882,34870.149517796264,5029426.629117796
2024-08-21,18854.739268029225,5002739.218868028,8452.2317376,4992336.7113376,55707.979052881536,5039592.458652882,34870.149517796264,5018754.629117796
2024-08-22,18854.739268029225,4970056.218868029,8452.2317376,4959653.7113376,55707.979052881536,5006909.458652882,34870.149517796264,4986071.629117796
2024-08-23,18854.739268029225,4992067.218868028,8452.2317376,4981664.7113376,55707.979052881536,5028920.458652882,34870.149517796264,5008082.629117796
2024-08-26,18854.739268029225,5008075.218868029,8452.2317376,4997672.7113376,55707.979052881536,5044928.458652882,34870.149517796264,5024090.629117796
2024-08-27,18854.739268029225,4994068.218868029,8452.2317376,4983665.7113376,55707.979052881536,5030921.458652882,34870.149517796264,5010083.629117796
2024-08-28,18854.739268029225,5002072.218868029,8452.2317376,4991669.7113376,55707.979052881536,5038925.458652882,34870.149517796264,5018087.629117796
