code,sector,screen_date,entry_price,final_price,forward_return,annual_return,max_dd_fwd,days_held,score,pct_ma60,pct_ma20,vol_ratio,chg_20d,reasons
600894,专用设备,2025-08-25,10.32,7.65,-25.9,-31.4,-25.9,200,87,7.9,4.0,1.4,6.0,多头排列|均线发散|极早期(8%)|温和放量(1.4x)|稳健(+6%)
000050,光学光电子,2025-08-25,10.02,9.88,-1.4,-1.8,-30.1,200,87,10.8,2.8,1.4,6.1,多头排列|均线发散|极早期(11%)|温和放量(1.4x)|稳健(+6%)
600809,,2025-08-25,207.90,108.10,-48.0,-56.1,-49.3,200,87,14.3,9.9,1.2,12.2,多头排列|均线发散|极早期(14%)|温和放量(1.2x)|稳健(+12%)
000727,光学光电子,2025-08-25,2.68,2.67,-0.4,-0.5,-19.2,200,87,9.2,6.3,1.5,8.6,多头排列|均线发散|极早期(9%)|温和放量(1.5x)|稳健(+9%)
600105,通信设备,2025-08-25,9.97,65.71,559.1,976.1,-20.1,200,87,14.9,9.6,1.2,6.5,多头排列|均线发散|极早期(15%)|温和放量(1.2x)|稳健(+6%)
000636,元件,2025-08-25,15.60,78.50,403.2,665.9,-30.0,200,87,11.5,6.9,1.5,8.4,多头排列|均线发散|极早期(12%)|温和放量(1.5x)|稳健(+8%)
600176,玻璃玻纤,2025-08-25,13.41,74.12,452.7,762.1,-20.7,200,87,12.5,7.1,1.5,5.7,多头排列|均线发散|极早期(12%)|温和放量(1.5x)|稳健(+6%)
605006,玻璃玻纤,2025-08-25,8.34,24.94,199.0,297.6,-26.9,200,87,12.0,7.3,1.3,10.8,多头排列|均线发散|极早期(12%)|温和放量(1.3x)|稳健(+11%)
600776,通信设备,2025-08-25,11.88,13.40,12.8,16.4,-48.7,200,87,8.2,4.6,1.5,6.2,多头排列|均线发散|极早期(8%)|温和放量(1.5x)|稳健(+6%)
002475,,2025-08-25,45.44,68.00,49.6,66.2,-33.9,200,84,20.3,11.7,1.3,13.8,多头排列|均线发散|温和放量(1.3x)|稳健(+14%)
002643,电子化学品,2025-08-25,13.72,19.44,41.6,55.1,-24.9,200,84,15.6,7.3,1.3,5.9,多头排列|均线发散|温和放量(1.3x)|稳健(+6%)
600584,,2025-08-25,38.86,100.89,159.6,232.7,-27.3,200,83,14.7,8.8,1.9,11.4,多头排列|均线发散|极早期(15%)|稳健(+11%)
600050,,2025-08-25,5.63,4.05,-28.0,-33.9,-28.0,200,83,8.5,6.9,1.9,7.4,多头排列|均线发散|极早期(8%)|稳健(+7%)
000066,计算机设备,2025-08-25,18.99,18.57,-2.2,-2.8,-38.8,200,81,19.5,11.1,1.2,19.5,多头排列|均线发散|温和放量(1.2x)
002202,风电设备,2025-08-25,11.95,23.33,95.2,132.3,-39.9,200,81,17.8,15.0,1.3,19.5,多头排列|均线发散|温和放量(1.3x)
001282,汽车,2025-08-25,21.29,19.75,-7.2,-9.0,-37.1,200,80,6.1,3.2,1.1,5.4,多头排列|均线发散|极早期(6%)|稳健(+5%)
002725,汽车,2025-08-25,15.07,12.02,-20.2,-24.8,-43.3,200,80,16.9,8.0,2.2,11.9,多头排列|均线发散|稳健(+12%)
002415,计算机设备,2025-08-25,30.13,33.32,10.6,13.5,-15.7,200,80,10.2,6.2,1.0,9.4,多头排列|均线发散|极早期(10%)|稳健(+9%)
600031,工程机械,2025-08-25,21.23,17.68,-16.7,-20.6,-26.5,200,80,13.0,5.3,1.1,8.4,多头排列|均线发散|极早期(13%)|稳健(+8%)
603586,汽车,2025-08-25,20.26,12.36,-39.0,-46.3,-39.0,200,80,12.0,6.8,2.1,16.2,多头排列|均线发散|极早期(12%)
003004,计算机设备,2025-08-22,19.59,69.68,255.7,394.7,-15.4,200,80,7.2,6.8,1.2,8.7,多头排列|均线发散|极早期(7%)|稳健(+9%)
002236,计算机设备,2025-08-25,18.31,15.98,-12.7,-15.8,-24.4,200,80,16.2,10.0,1.8,13.4,多头排列|均线发散|稳健(+13%)
003033,汽车,2025-08-25,47.31,57.33,21.2,27.4,-43.2,200,80,9.5,2.0,1.1,5.1,多头排列|均线发散|极早期(10%)|稳健(+5%)
002935,国防军工,2025-08-25,17.14,21.09,23.0,29.9,-34.1,200,80,9.7,4.8,1.2,8.8,多头排列|均线发散|极早期(10%)|稳健(+9%)
002531,风电设备,2025-08-25,7.10,8.46,19.2,24.7,-35.2,200,79,4.7,6.3,1.3,6.4,均线发散|极早期(5%)|温和放量(1.3x)|稳健(+6%)
002134,元件,2025-08-25,22.47,29.06,29.3,38.3,-30.5,200,79,2.2,2.5,1.6,6.8,均线发散|极早期(2%)|温和放量(1.6x)|稳健(+7%)
603061,半导体,2025-08-25,72.12,415.05,475.5,807.1,-25.8,200,77,17.8,7.1,1.1,11.6,多头排列|均线发散|稳健(+12%)
600703,,2025-08-25,15.70,21.73,38.4,50.6,-39.2,200,77,17.5,12.2,2.3,15.2,多头排列|均线发散
002448,汽车零部件,2025-08-25,10.17,12.30,20.9,27.1,-33.7,200,77,15.6,8.5,1.2,13.5,多头排列|均线发散|稳健(+14%)
002459,光伏设备,2025-08-25,12.53,7.90,-37.0,-44.1,-48.3,200,77,17.3,9.8,1.2,8.7,多头排列|均线发散|稳健(+9%)
000536,光学光电子,2025-08-25,5.93,3.13,-47.2,-55.3,-49.4,200,76,23.7,13.4,1.8,25.4,多头排列|均线发散|温和放量(1.8x)
002281,,2025-08-25,63.80,240.34,276.7,431.8,-26.7,200,76,28.2,16.7,1.4,18.6,多头排列|均线发散|温和放量(1.4x)
002510,汽车零部件,2025-08-19,7.39,5.46,-26.1,-31.7,-36.9,200,75,13.2,13.9,2.2,13.4,均线发散|极早期(13%)|稳健(+13%)
002201,玻璃玻纤,2025-08-25,8.54,11.99,40.5,53.5,-37.3,200,74,14.8,5.8,1.2,9.6,多头排列|极早期(15%)|稳健(+10%)
002623,光伏设备,2025-08-25,21.88,15.30,-30.1,-36.3,-52.3,200,72,14.6,4.5,1.5,1.9,多头排列|均线发散|极早期(15%)|温和放量(1.5x)
002598,通用设备,2025-08-22,12.54,6.46,-48.5,-56.6,-53.2,200,72,13.2,8.1,2.5,11.9,多头排列|均线发散|极早期(13%)|稳健(+12%)
603107,汽车,2025-08-25,16.17,11.33,-29.9,-36.1,-30.4,200,72,5.2,2.6,1.7,2.6,多头排列|均线发散|极早期(5%)|温和放量(1.7x)
600563,元件,2025-08-25,118.38,188.76,59.5,80.0,-24.3,200,72,7.5,4.7,1.5,4.4,多头排列|均线发散|极早期(8%)|温和放量(1.5x)
000020,光学光电子,2025-08-25,14.46,10.85,-25.0,-30.4,-53.5,200,72,5.2,2.7,0.9,5.9,多头排列|均线发散|极早期(5%)|稳健(+6%)
000821,电力设备,2025-08-22,12.22,7.44,-39.1,-46.5,-54.5,200,72,4.7,1.9,1.3,0.2,多头排列|均线发散|极早期(5%)|温和放量(1.3x)
