date,open,close,high,low,volume
2025-12-10,0.918,0.919,0.925,0.892,779745.000
2025-12-11,0.918,0.893,0.923,0.891,897224.000
2025-12-12,0.888,0.899,0.907,0.877,844443.000
2025-12-15,0.880,0.877,0.896,0.876,1000906.000
2025-12-16,0.874,0.862,0.882,0.855,910170.000
2025-12-17,0.861,0.904,0.905,0.861,738621.000
2025-12-18,0.892,0.884,0.900,0.883,709728.000
2025-12-19,0.896,0.886,0.901,0.882,676691.000
2025-12-22,0.895,0.923,0.928,0.895,639417.000
2025-12-23,0.923,0.922,0.929,0.916,480726.000
2025-12-24,0.925,0.944,0.944,0.920,379669.000
2025-12-25,0.943,0.945,0.958,0.929,718587.000
2025-12-26,0.942,0.938,0.943,0.929,876067.000
2025-12-29,0.935,0.944,0.957,0.934,992696.000
2025-12-30,0.944,0.943,0.960,0.934,1390715.000
2025-12-31,0.944,0.930,0.950,0.927,789204.000
2026-01-05,0.940,0.955,0.957,0.938,1044699.000
2026-01-06,0.953,0.954,0.955,0.932,1060145.000
2026-01-07,0.958,0.959,0.973,0.952,1049096.000
2026-01-08,0.957,0.949,0.963,0.942,1423675.000
2026-01-09,0.942,0.951,0.956,0.929,1303220.000
2026-01-12,0.951,0.972,0.978,0.939,591390.000
2026-01-13,0.966,0.942,0.975,0.939,1618209.000
2026-01-14,0.943,0.952,0.962,0.939,1049035.000
2026-01-15,0.941,0.966,0.968,0.934,1094199.000
2026-01-16,0.975,0.979,0.987,0.966,825908.000
2026-01-19,0.970,0.967,0.980,0.964,514068.000
2026-01-20,0.963,0.943,0.968,0.932,701512.000
2026-01-21,0.930,0.954,0.962,0.930,492787.000
2026-01-22,0.963,0.975,0.975,0.955,565823.000
2026-01-23,0.973,0.964,0.974,0.957,495520.000
2026-01-26,0.964,0.952,0.964,0.946,358997.000
2026-01-27,0.951,0.973,0.980,0.943,710000.000
2026-01-28,0.983,0.977,0.995,0.969,1025561.000
2026-01-29,0.975,0.957,0.982,0.955,812044.000
2026-01-30,0.954,0.976,0.983,0.938,809537.000
2026-02-02,0.982,0.948,0.995,0.947,782010.000
2026-02-03,0.974,0.972,0.980,0.942,560746.000
2026-02-04,0.960,0.943,0.961,0.926,426251.000
2026-02-05,0.929,0.927,0.939,0.920,252880.000
2026-02-06,0.914,0.920,0.939,0.905,327487.000
2026-02-09,0.940,0.959,0.965,0.937,1413764.000
2026-02-10,0.961,0.961,0.972,0.957,994618.000
2026-02-11,0.955,0.944,0.966,0.940,896285.000
2026-02-12,0.944,0.959,0.960,0.940,473175.000
2026-02-13,0.951,0.948,0.962,0.948,881268.000
2026-02-24,0.958,0.974,0.990,0.958,1177522.000
2026-02-25,0.977,0.982,0.984,0.964,1025993.000
2026-02-26,0.985,1.009,1.013,0.980,1191289.000
2026-02-27,0.986,0.991,0.991,0.977,1121040.000
2026-03-02,0.976,0.999,1.008,0.971,992148.000
2026-03-03,1.002,0.965,1.016,0.964,1086126.000
2026-03-04,0.945,0.959,0.976,0.944,688545.000
2026-03-05,0.980,0.980,1.007,0.966,1299183.000
