date,open,close,high,low,volume
2025-12-10,0.749,0.751,0.755,0.728,2382395.000
2025-12-11,0.749,0.728,0.753,0.727,1460051.000
2025-12-12,0.721,0.734,0.741,0.715,1814871.000
2025-12-15,0.721,0.716,0.732,0.714,1317832.000
2025-12-16,0.714,0.703,0.718,0.696,1969673.000
2025-12-17,0.703,0.737,0.738,0.703,1678653.000
2025-12-18,0.725,0.721,0.733,0.718,1337294.000
2025-12-19,0.728,0.723,0.734,0.719,1221219.000
2025-12-22,0.731,0.753,0.757,0.731,1661081.000
2025-12-23,0.753,0.751,0.757,0.746,1733997.000
2025-12-24,0.753,0.769,0.770,0.749,1465247.000
2025-12-25,0.770,0.770,0.780,0.757,1506428.000
2025-12-26,0.766,0.763,0.768,0.757,1222771.000
2025-12-29,0.762,0.770,0.780,0.760,1504724.000
2025-12-30,0.766,0.769,0.781,0.757,1493879.000
2025-12-31,0.771,0.759,0.774,0.754,1138315.000
2026-01-05,0.762,0.776,0.779,0.762,2416783.000
2026-01-06,0.772,0.777,0.777,0.759,1621371.000
2026-01-07,0.780,0.784,0.793,0.776,1359713.000
2026-01-08,0.779,0.775,0.784,0.768,935887.000
2026-01-09,0.768,0.777,0.779,0.756,1525774.000
2026-01-12,0.777,0.794,0.794,0.765,1539327.000
2026-01-13,0.788,0.767,0.794,0.765,1881274.000
2026-01-14,0.767,0.778,0.785,0.767,1433651.000
2026-01-15,0.767,0.791,0.791,0.765,1302469.000
2026-01-16,0.797,0.802,0.806,0.789,1734479.000
2026-01-19,0.790,0.789,0.800,0.788,1100541.000
2026-01-20,0.784,0.768,0.792,0.760,1221650.000
2026-01-21,0.757,0.779,0.784,0.757,1161853.000
2026-01-22,0.783,0.795,0.795,0.777,1705840.000
2026-01-23,0.794,0.786,0.795,0.781,934050.000
2026-01-26,0.784,0.777,0.787,0.773,854095.000
2026-01-27,0.774,0.794,0.799,0.769,1298033.000
2026-01-28,0.800,0.796,0.810,0.791,1143704.000
2026-01-29,0.794,0.780,0.801,0.779,1274648.000
2026-01-30,0.774,0.795,0.800,0.764,1373343.000
2026-02-02,0.793,0.776,0.810,0.772,1686539.000
2026-02-03,0.787,0.792,0.799,0.768,997439.000
2026-02-04,0.782,0.769,0.782,0.755,1130947.000
2026-02-05,0.756,0.754,0.765,0.748,2063528.000
2026-02-06,0.746,0.750,0.765,0.736,955808.000
2026-02-09,0.767,0.783,0.787,0.763,1333358.000
2026-02-10,0.784,0.783,0.793,0.781,1232759.000
2026-02-11,0.781,0.768,0.789,0.767,1095948.000
2026-02-12,0.769,0.782,0.783,0.769,857371.000
2026-02-13,0.775,0.774,0.784,0.772,792496.000
2026-02-24,0.784,0.795,0.807,0.782,1372124.000
2026-02-25,0.796,0.801,0.801,0.786,914256.000
2026-02-26,0.803,0.821,0.826,0.799,1446093.000
2026-02-27,0.802,0.808,0.809,0.797,978816.000
2026-03-02,0.792,0.815,0.820,0.792,1063074.000
2026-03-03,0.820,0.789,0.828,0.785,1519338.000
2026-03-04,0.773,0.783,0.796,0.773,1156415.000
2026-03-05,0.797,0.799,0.818,0.788,1361132.000
2026-03-06,0.792,0.795,0.805,0.780,978100.000
2026-03-09,0.773,0.776,0.778,0.744,1632522.000
2026-03-10,0.790,0.814,0.814,0.789,2185943.000
2026-03-11,0.816,0.817,0.832,0.814,1312290.000
2026-03-12,0.815,0.808,0.830,0.796,1119011.000
2026-03-13,0.799,0.801,0.811,0.797,983382.000
2026-03-16,0.797,0.813,0.814,0.786,1450443.000
2026-03-17,0.817,0.780,0.820,0.778,2107695.000
2026-03-18,0.785,0.812,0.813,0.785,1519604.000
2026-03-19,0.796,0.803,0.817,0.794,1730439.000
2026-03-20,0.818,0.814,0.838,0.809,2720008.000
2026-03-23,0.783,0.771,0.801,0.766,2428600.000
2026-03-24,0.781,0.781,0.782,0.752,1701100.000
2026-03-25,0.798,0.811,0.820,0.798,2205749.000
2026-03-26,0.803,0.789,0.810,0.785,1540534.000
2026-03-27,0.768,0.784,0.793,0.762,2015019.000
2026-03-30,0.765,0.784,0.789,0.765,1465416.000
2026-03-31,0.774,0.769,0.789,0.764,1480913.000
2026-04-01,0.792,0.796,0.799,0.779,1822589.000
2026-04-02,0.795,0.774,0.800,0.770,1516860.000
2026-04-03,0.787,0.788,0.804,0.787,1524713.000
2026-04-07,0.788,0.791,0.800,0.780,1624623.000
2026-04-08,0.817,0.851,0.852,0.813,2521902.000
2026-04-09,0.837,0.860,0.864,0.837,3042428.000
2026-04-10,0.866,0.888,0.895,0.861,2405510.000
2026-04-13,0.879,0.892,0.896,0.878,1674361.000
2026-04-14,0.903,0.913,0.922,0.896,1794304.000
2026-04-15,0.914,0.896,0.925,0.888,2452116.000
2026-04-16,0.893,0.923,0.924,0.890,1684725.000
2026-04-17,0.932,0.962,0.963,0.930,2260239.000
2026-04-20,0.963,0.977,0.983,0.963,1886833.000
2026-04-21,0.959,0.979,0.983,0.955,1754097.000
2026-04-22,0.975,1.032,1.034,0.975,2362547.000
2026-04-23,1.037,1.023,1.065,1.009,3668176.000
2026-04-24,1.000,0.987,1.019,0.968,3206068.000
2026-04-27,0.991,1.006,1.016,0.991,2044006.000
2026-04-28,1.001,0.987,1.003,0.980,1614870.000
2026-04-29,0.974,0.991,1.001,0.968,2102309.000
2026-04-30,1.000,0.989,1.004,0.975,1682412.000
2026-05-06,1.005,1.012,1.030,1.003,2470214.000
2026-05-07,1.018,1.055,1.055,1.003,2313504.000
2026-05-08,1.038,1.058,1.060,1.033,1800538.000
2026-05-11,1.073,1.100,1.103,1.059,2233284.000
2026-05-12,1.120,1.110,1.126,1.092,2347666.000
2026-05-13,1.088,1.156,1.158,1.088,6740545.000
2026-05-14,1.171,1.133,1.174,1.123,9447509.000
2026-05-15,1.127,1.108,1.144,1.084,8408647.000
2026-05-18,1.096,1.128,1.141,1.096,6214025.000
2026-05-19,1.114,1.131,1.134,1.076,7217511.000
2026-05-20,1.120,1.139,1.150,1.119,5704885.000
2026-05-21,1.153,1.093,1.160,1.086,10295138.000
2026-05-22,1.104,1.153,1.155,1.101,8129966.000
2026-05-25,1.169,1.205,1.206,1.150,11095847.000
2026-05-26,1.200,1.207,1.209,1.177,10912576.000
2026-05-27,1.201,1.197,1.237,1.184,9827485.000
2026-05-28,1.185,1.231,1.235,1.166,9765140.000
2026-05-29,1.236,1.202,1.254,1.191,9637125.000
2026-06-01,1.194,1.156,1.213,1.153,11261040.000
2026-06-02,1.155,1.222,1.228,1.154,10965100.000
2026-06-03,1.239,1.271,1.309,1.238,11669991.000
2026-06-04,1.238,1.280,1.293,1.238,10075705.000
2026-06-05,1.263,1.233,1.302,1.218,14292936.000
2026-06-08,1.160,1.189,1.224,1.160,16543563.000
2026-06-09,1.213,1.254,1.254,1.196,11934867.000
2026-06-10,1.228,1.208,1.241,1.190,12856545.000
2026-06-11,1.195,1.188,1.226,1.160,11319546.000
2026-06-12,1.227,1.182,1.230,1.177,11347399.000
2026-06-15,1.200,1.265,1.268,1.172,13537873.000
2026-06-16,1.270,1.295,1.303,1.270,14159441.000
2026-06-17,1.280,1.333,1.334,1.279,13067347.000
2026-06-18,1.326,1.383,1.395,1.320,11545859.000
2026-06-22,1.410,1.407,1.419,1.354,13943403.000
