date,open,close,high,low,volume
2025-12-10,1.008,1.020,1.024,0.981,5335095.000
2025-12-11,1.016,0.980,1.020,0.979,5066328.000
2025-12-12,0.971,0.992,1.002,0.967,4532733.000
2025-12-15,0.977,0.968,0.988,0.966,3525253.000
2025-12-16,0.965,0.942,0.968,0.932,4425104.000
2025-12-17,0.942,0.994,0.995,0.942,6518461.000
2025-12-18,0.977,0.975,0.993,0.974,4707101.000
2025-12-19,0.989,0.981,0.996,0.972,4033409.000
2025-12-22,1.001,1.027,1.031,1.000,5922669.000
2025-12-23,1.028,1.025,1.035,1.017,4210270.000
2025-12-24,1.029,1.045,1.045,1.020,4529038.000
2025-12-25,1.045,1.047,1.065,1.028,4587631.000
2025-12-26,1.038,1.035,1.044,1.027,4725791.000
2025-12-29,1.030,1.038,1.049,1.027,3778544.000
2025-12-30,1.029,1.038,1.054,1.027,4438408.000
2025-12-31,1.039,1.027,1.046,1.021,4310365.000
2026-01-05,1.042,1.048,1.049,1.030,5159945.000
2026-01-06,1.037,1.044,1.045,1.023,5906376.000
2026-01-07,1.043,1.053,1.065,1.037,5040339.000
2026-01-08,1.049,1.043,1.053,1.030,3943963.000
2026-01-09,1.032,1.048,1.052,1.020,4864971.000
2026-01-12,1.043,1.080,1.085,1.032,5298098.000
2026-01-13,1.080,1.040,1.080,1.033,4120808.000
2026-01-14,1.043,1.059,1.071,1.042,4459731.000
2026-01-15,1.040,1.064,1.066,1.030,4278938.000
2026-01-16,1.073,1.070,1.082,1.059,6119080.000
2026-01-19,1.052,1.052,1.069,1.051,2927294.000
2026-01-20,1.050,1.019,1.052,1.010,4360106.000
2026-01-21,1.004,1.030,1.037,1.003,3132449.000
2026-01-22,1.034,1.058,1.059,1.031,3858908.000
2026-01-23,1.057,1.049,1.057,1.043,3137464.000
2026-01-26,1.045,1.038,1.050,1.034,2069050.000
2026-01-27,1.033,1.063,1.069,1.032,3726586.000
2026-01-28,1.082,1.067,1.088,1.057,3395186.000
2026-01-29,1.067,1.054,1.077,1.050,2940825.000
2026-01-30,1.041,1.090,1.097,1.033,5547228.000
2026-02-02,1.096,1.053,1.115,1.050,5392258.000
2026-02-03,1.074,1.084,1.095,1.046,12121741.000
2026-02-04,1.061,1.051,1.075,1.029,15065019.000
2026-02-05,1.030,1.025,1.044,1.018,12706556.000
2026-02-06,1.008,1.017,1.040,1.004,8559077.000
2026-02-09,1.052,1.075,1.084,1.034,17222671.000
2026-02-10,1.073,1.073,1.088,1.068,6626701.000
2026-02-11,1.070,1.050,1.084,1.048,8931691.000
2026-02-12,1.055,1.067,1.075,1.054,6599007.000
2026-02-13,1.055,1.046,1.061,1.043,6452849.000
2026-02-24,1.063,1.078,1.098,1.058,11775830.000
2026-02-25,1.078,1.084,1.085,1.062,8090941.000
2026-02-26,1.090,1.112,1.118,1.082,11260329.000
2026-02-27,1.083,1.097,1.098,1.075,11948647.000
2026-03-02,1.071,1.116,1.127,1.069,12337703.000
2026-03-03,1.123,1.082,1.139,1.076,13499728.000
2026-03-04,1.057,1.066,1.087,1.056,8079659.000
2026-03-05,1.088,1.094,1.121,1.072,11951401.000
2026-03-06,1.083,1.084,1.096,1.064,8349011.000
2026-03-09,1.050,1.052,1.055,1.010,19480010.000
2026-03-10,1.071,1.099,1.101,1.071,15633704.000
2026-03-11,1.107,1.103,1.133,1.100,12403517.000
2026-03-12,1.095,1.088,1.120,1.071,13158157.000
2026-03-13,1.074,1.078,1.094,1.069,9082242.000
2026-03-16,1.072,1.079,1.083,1.055,11751304.000
2026-03-17,1.080,1.024,1.085,1.021,20065709.000
2026-03-18,1.038,1.069,1.072,1.030,21443925.000
2026-03-19,1.048,1.060,1.080,1.048,12228828.000
2026-03-20,1.092,1.078,1.114,1.075,19837454.000
2026-03-23,1.046,1.033,1.066,1.021,17529900.000
2026-03-24,1.047,1.052,1.053,1.013,13292162.000
2026-03-25,1.081,1.093,1.102,1.074,16849642.000
2026-03-26,1.081,1.074,1.105,1.068,12230356.000
2026-03-27,1.050,1.069,1.083,1.038,11990380.000
2026-03-30,1.046,1.084,1.089,1.045,10066847.000
2026-03-31,1.074,1.067,1.092,1.056,11799859.000
2026-04-01,1.099,1.101,1.104,1.075,14145827.000
2026-04-02,1.088,1.081,1.108,1.077,11048642.000
2026-04-03,1.103,1.111,1.133,1.100,15952541.000
2026-04-07,1.112,1.113,1.126,1.096,9820805.000
2026-04-08,1.150,1.196,1.200,1.137,19206996.000
2026-04-09,1.179,1.200,1.207,1.172,16432997.000
2026-04-10,1.206,1.222,1.233,1.196,18722104.000
2026-04-13,1.213,1.216,1.223,1.195,14137771.000
2026-04-14,1.226,1.239,1.258,1.224,14565022.000
2026-04-15,1.244,1.220,1.263,1.208,14764730.000
2026-04-16,1.216,1.264,1.265,1.214,12603296.000
2026-04-17,1.281,1.326,1.326,1.277,17190343.000
2026-04-20,1.329,1.342,1.364,1.326,14788121.000
2026-04-21,1.321,1.338,1.341,1.309,13440481.000
2026-04-22,1.325,1.413,1.415,1.324,21084069.000
2026-04-23,1.413,1.396,1.432,1.374,33541555.000
2026-04-24,1.367,1.339,1.382,1.315,36888912.000
2026-04-27,1.348,1.355,1.372,1.342,18917538.000
2026-04-28,1.350,1.327,1.353,1.317,19120509.000
2026-04-29,1.315,1.328,1.340,1.300,15503157.000
2026-04-30,1.339,1.321,1.344,1.302,15167799.000
2026-05-06,1.344,1.352,1.376,1.332,17766516.000
2026-05-07,1.368,1.414,1.414,1.342,20592159.000
2026-05-08,1.392,1.430,1.435,1.386,18956930.000
2026-05-11,1.457,1.483,1.486,1.418,19412800.000
2026-05-12,1.498,1.501,1.523,1.482,21629859.000
2026-05-13,1.473,1.557,1.558,1.473,18534526.000
2026-05-14,1.583,1.544,1.590,1.526,24101120.000
2026-05-15,1.545,1.500,1.565,1.470,28876501.000
2026-05-18,1.475,1.517,1.540,1.475,19275662.000
2026-05-19,1.502,1.511,1.516,1.442,23111881.000
2026-05-20,1.491,1.517,1.532,1.491,21820211.000
2026-05-21,1.533,1.440,1.540,1.436,31493091.000
2026-05-22,1.454,1.505,1.510,1.450,23819360.000
2026-05-25,1.516,1.562,1.565,1.487,23733160.000
2026-05-26,1.546,1.548,1.559,1.518,19446060.000
2026-05-27,1.532,1.539,1.587,1.527,23194636.000
2026-05-28,1.530,1.619,1.623,1.511,26617272.000
2026-05-29,1.621,1.590,1.644,1.575,30699693.000
2026-06-01,1.577,1.532,1.597,1.530,28047299.000
2026-06-02,1.535,1.635,1.644,1.535,34700349.000
2026-06-03,1.670,1.716,1.775,1.670,34086257.000
2026-06-04,1.675,1.708,1.723,1.675,26035313.000
2026-06-05,1.697,1.663,1.768,1.642,39452939.000
2026-06-08,1.580,1.601,1.651,1.579,40255555.000
2026-06-09,1.632,1.695,1.696,1.618,30816516.000
2026-06-10,1.660,1.630,1.673,1.610,31925751.000
2026-06-11,1.616,1.603,1.662,1.560,40686116.000
2026-06-12,1.650,1.584,1.658,1.578,39347492.000
2026-06-15,1.602,1.689,1.696,1.561,38744952.000
2026-06-16,1.692,1.729,1.750,1.688,30484283.000
2026-06-17,1.701,1.758,1.759,1.701,30267967.000
2026-06-18,1.743,1.822,1.835,1.740,24022580.000
2026-06-22,1.840,1.859,1.874,1.792,29113272.000
2026-06-23,1.846,1.794,1.857,1.774,35646614.000
2026-06-24,1.778,1.827,1.834,1.778,28246493.000
2026-06-25,1.844,1.883,1.888,1.805,35806995.000
2026-06-26,1.845,1.757,1.849,1.742,57105090.000
