date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,-23356528.0,-55997504.0,79354048.0,-1206528.0,-22150000.0
2025-12-25,-332452037.0,348101072.0,-15649040.0,-101178272.0,-231273765.0
2025-12-26,-247961550.0,270415440.0,-22453888.0,-154085248.0,-93876302.0
2025-12-29,60320768.0,-65214208.0,4893456.0,43995360.0,16325408.0
2025-12-30,-42868561.0,85386752.0,-42518176.0,-14914288.0,-27954273.0
2025-12-31,-189717019.0,202138928.0,-12421920.0,-81385856.0,-108331163.0
2026-01-05,-150944480.0,129205200.0,21739248.0,-115099424.0,-35845056.0
2026-01-06,-495803776.0,365002112.0,130801664.0,-265111360.0,-230692416.0
2026-01-07,43021040.0,-6621872.0,-36399152.0,21650752.0,21370288.0
2026-01-08,-110322368.0,112834784.0,-2512400.0,-94105808.0,-16216560.0
2026-01-09,-6554016.0,27718112.0,-21164096.0,-62965824.0,56411808.0
2026-01-12,391098176.0,-290749872.0,-100348304.0,144118112.0,246980064.0
2026-01-13,-245526976.0,174639056.0,70887936.0,-40815936.0,-204711040.0
2026-01-14,607873872.0,-344065584.0,-263808288.0,86741104.0,521132768.0
2026-01-15,-204762432.0,146635152.0,58127296.0,-159159760.0,-45602672.0
2026-01-16,-124161488.0,158660512.0,-34499024.0,81727568.0,-205889056.0
2026-01-19,-325619440.0,305247040.0,20372400.0,-96238880.0,-229380560.0
2026-01-20,-346929435.0,207549456.0,139379968.0,-31212656.0,-315716779.0
2026-01-21,61332416.0,-14571936.0,-46760480.0,-11814848.0,73147264.0
2026-01-22,-139614012.0,132445680.0,7168320.0,-50042384.0,-89571628.0
2026-01-23,-95111562.0,94637264.0,474304.0,-47198880.0,-47912682.0
2026-01-26,12763392.0,-3372672.0,-9390736.0,98009712.0,-85246320.0
2026-01-27,-8302144.0,-10164608.0,18466768.0,67674064.0,-75976208.0
2026-01-28,-44056032.0,31576304.0,12479728.0,-27917328.0,-16138704.0
2026-01-29,-264992933.0,199421584.0,65571360.0,-108148272.0,-156844661.0
2026-01-30,140061120.0,-57567440.0,-82493664.0,84996528.0,55064592.0
2026-02-02,-182241584.0,112828944.0,69412640.0,6005840.0,-188247424.0
2026-02-03,-20339104.0,47435424.0,-27096304.0,7693152.0,-28032256.0
2026-02-04,-377184189.0,259350224.0,117833968.0,-131481728.0,-245702461.0
2026-02-05,-430138567.0,341923552.0,88214992.0,-136847488.0,-293291079.0
2026-02-06,-27446117.0,88611184.0,-61165056.0,-11445776.0,-16000341.0
2026-02-09,88566512.0,20852096.0,-109418608.0,-3280128.0,91846640.0
2026-02-10,-45501248.0,67440192.0,-21938944.0,-46064608.0,563360.0
2026-02-11,-160084683.0,125683008.0,34401680.0,-45076352.0,-115008331.0
2026-02-12,145907566.0,-68570688.0,-77336880.0,51939968.0,93967598.0
2026-02-13,-134766136.0,61523008.0,73243120.0,-34899504.0,-99866632.0
2026-02-24,336798016.0,-175690464.0,-161107568.0,18590960.0,318207056.0
2026-02-25,-112360352.0,46971744.0,65388608.0,4587520.0,-116947872.0
2026-02-26,451170960.0,-360305632.0,-90865344.0,211648416.0,239522544.0
2026-02-27,110522688.0,-104511216.0,-6011472.0,7657824.0,102864864.0
2026-03-02,184950816.0,-82288528.0,-102662288.0,46759008.0,138191808.0
2026-03-03,-148026688.0,169467248.0,-21440576.0,-6533552.0,-141493136.0
2026-03-04,95700848.0,84355712.0,-180056560.0,-60725520.0,156426368.0
2026-03-05,174689120.0,-171926048.0,-2763072.0,85452608.0,89236512.0
2026-03-06,393412288.0,-255323392.0,-138088928.0,194416496.0,198995792.0
2026-03-09,-448011696.0,239571616.0,208440064.0,-236600128.0,-211411568.0
2026-03-10,772895232.0,-319204448.0,-453690784.0,-47171792.0,820067024.0
2026-03-11,-141106992.0,354874800.0,-213767792.0,-261229312.0,120122320.0
2026-03-12,512070160.0,-217594496.0,-294475664.0,-444188464.0,956258624.0
2026-03-13,-1143612256.0,451189040.0,692423216.0,-83568672.0,-1060043584.0
2026-03-16,-552029216.0,269002464.0,283026736.0,-107750800.0,-444278416.0
2026-03-17,-647175872.0,496022528.0,151153344.0,-419065136.0,-228110736.0
2026-03-18,224307216.0,-122123328.0,-102183872.0,186323760.0,37983456.0
2026-03-19,-228943648.0,158143712.0,70799936.0,-105090064.0,-123853584.0
2026-03-20,-197300784.0,43673504.0,153627312.0,-98920928.0,-98379856.0
2026-03-23,-429541696.0,354462096.0,75079600.0,-129371344.0,-300170352.0
2026-03-24,-35738064.0,30981152.0,4756928.0,535680.0,-36273744.0
2026-03-25,551801296.0,-178959344.0,-372841952.0,58683120.0,493118176.0
2026-03-26,-344119776.0,237814048.0,106305712.0,-90636672.0,-253483104.0
2026-03-27,62817248.0,-130981136.0,68163872.0,82664512.0,-19847264.0
2026-03-30,604784896.0,-494673840.0,-110111072.0,380033520.0,224751376.0
2026-03-31,-341292496.0,57479056.0,283813456.0,-130561536.0,-210730960.0
2026-04-01,227658672.0,-209515856.0,-18142800.0,109525040.0,118133632.0
2026-04-02,-493727136.0,249805472.0,243921680.0,-228594192.0,-265132944.0
2026-04-03,731023520.0,-43509648.0,-687513872.0,98649424.0,632374096.0
2026-04-07,-623808992.0,532686304.0,91122688.0,-206347808.0,-417461184.0
2026-04-08,505599696.0,-448720224.0,-56879488.0,141909824.0,363689872.0
2026-04-09,720675504.0,-232911008.0,-487764480.0,-191514048.0,912189552.0
2026-04-10,-1322221792.0,732215568.0,590006224.0,-227687136.0,-1094534656.0
2026-04-13,19784016.0,-69943488.0,50159456.0,54450928.0,-34666912.0
2026-04-14,-477641920.0,379650048.0,97991872.0,-189847888.0,-287794032.0
2026-04-15,-1030473936.0,830536400.0,199937552.0,-488400400.0,-542073536.0
2026-04-16,-326801792.0,287538240.0,39263552.0,-175374928.0,-151426864.0
2026-04-17,968249024.0,-397019184.0,-571229840.0,-223478176.0,1191727200.0
2026-04-20,-870560096.0,640745680.0,229814400.0,-235122336.0,-635437760.0
2026-04-21,55202944.0,-68427472.0,13224512.0,-11198768.0,66401712.0
2026-04-22,649799744.0,-868438752.0,218639008.0,326179952.0,323619792.0
2026-04-23,852902720.0,-586516240.0,-266386560.0,124731920.0,728170800.0
