date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,9637402.0,-14091719.0,4454316.0,8675683.0,961719.0
2025-12-25,439637.0,16337456.0,-16777093.0,-5920342.0,6359979.0
2025-12-26,27590743.0,-5507435.0,-22083309.0,16986721.0,10604022.0
2025-12-29,22364861.0,-13205965.0,-9158895.0,8642137.0,13722724.0
2025-12-30,-15483470.0,22584418.0,-7100947.0,-6141858.0,-9341612.0
2025-12-31,-22732420.0,22100674.0,631747.0,-12051451.0,-10680969.0
2026-01-05,-21789882.0,6271339.0,15518543.0,-10838522.0,-10951360.0
2026-01-06,5763727.0,-13782393.0,8018667.0,11254122.0,-5490395.0
2026-01-07,-16558668.0,6419616.0,10139053.0,-3224524.0,-13334144.0
2026-01-08,-31467730.0,29626248.0,1841483.0,-14437282.0,-17030448.0
2026-01-09,-24734859.0,13172228.0,11562631.0,-10936785.0,-13798074.0
2026-01-12,-5800827.0,38921765.0,-33120938.0,-14650022.0,8849195.0
2026-01-13,16101791.0,-38813868.0,22712077.0,28175874.0,-12074083.0
2026-01-14,1483856.0,-3623553.0,2139698.0,4347309.0,-2863453.0
2026-01-15,802954.0,949223.0,-1752178.0,4205801.0,-3402847.0
2026-01-16,-4818990.0,7245276.0,-2426286.0,-2659182.0,-2159808.0
2026-01-19,2794595.0,356118.0,-3150713.0,-3712756.0,6507351.0
2026-01-20,-898971.0,-21256186.0,22155158.0,4442898.0,-5341869.0
2026-01-21,-6088539.0,9381065.0,-3292526.0,-11102118.0,5013579.0
2026-01-22,-12042654.0,16694108.0,-4651454.0,-11496114.0,-546540.0
2026-01-23,-31259682.0,13770909.0,17488773.0,1478701.0,-32738383.0
2026-01-26,-23931783.0,10981074.0,12950710.0,-9516973.0,-14414810.0
2026-01-27,-5083901.0,10108441.0,-5024540.0,-9235026.0,4151125.0
2026-01-28,4302862.0,-3366778.0,-936083.0,-3334651.0,7637513.0
2026-01-29,-16657667.0,14414276.0,2243391.0,-13110386.0,-3547281.0
2026-01-30,-5175116.0,9506715.0,-4331599.0,-2856903.0,-2318213.0
2026-02-02,-1593712.0,203561.0,1390151.0,-5001880.0,3408168.0
2026-02-03,-6915725.0,14409808.0,-7494083.0,2391748.0,-9307473.0
2026-02-04,-1671993.0,-1350905.0,3022898.0,-2458784.0,786791.0
2026-02-05,-4186790.0,2278087.0,1908703.0,-5666869.0,1480079.0
2026-02-06,-8465737.0,8473133.0,-7396.0,-3437686.0,-5028051.0
2026-02-09,-5908785.0,14013526.0,-8104741.0,-5656535.0,-252250.0
2026-02-10,-8824023.0,14364626.0,-5540603.0,-2409994.0,-6414029.0
2026-02-11,-6479032.0,5467173.0,1011860.0,750711.0,-7229743.0
2026-02-12,-6552071.0,4545244.0,2006827.0,-2280018.0,-4272053.0
2026-02-13,-431920.0,3065845.0,-2633926.0,-1757623.0,1325703.0
2026-02-24,453671.0,2283333.0,-2737004.0,-2633021.0,3086692.0
2026-02-25,7880311.0,-2161106.0,-5719205.0,7019102.0,861209.0
2026-02-26,4590226.0,607086.0,-5197311.0,-4670207.0,9260433.0
2026-02-27,-4047567.0,6365632.0,-2318066.0,-7439708.0,3392141.0
2026-03-02,-20877767.0,16514518.0,4363249.0,-14714764.0,-6163003.0
2026-03-03,4586541.0,-43039616.0,38453076.0,5139767.0,-553226.0
2026-03-04,-147033.0,10559282.0,-10412248.0,-2913054.0,2766021.0
2026-03-05,-2015683.0,8535802.0,-6520120.0,1923486.0,-3939169.0
2026-03-06,8055149.0,-5944858.0,-2110291.0,4821065.0,3234084.0
2026-03-09,-4908300.0,5044271.0,-135970.0,442319.0,-5350619.0
2026-03-10,-15246745.0,31495038.0,-16248294.0,-18338592.0,3091847.0
2026-03-11,-13473371.0,19403795.0,-5930424.0,-20146087.0,6672716.0
2026-03-12,2589751.0,-17216800.0,14627048.0,-2786604.0,5376355.0
2026-03-13,-8226752.0,10248845.0,-2022093.0,9321020.0,-17547772.0
2026-03-16,13547833.0,-2365613.0,-11182220.0,5235874.0,8311959.0
2026-03-17,-9252633.0,9956893.0,-704260.0,-5546148.0,-3706485.0
2026-03-18,4858233.0,6548739.0,-11406972.0,9737880.0,-4879647.0
2026-03-19,181361132.0,-123969903.0,-57391231.0,-9459047.0,190820179.0
2026-03-20,63197136.0,-63376000.0,178848.0,-25411264.0,88608400.0
2026-03-23,-131686159.0,91523984.0,40162160.0,270384.0,-131956543.0
2026-03-24,-7751718.0,-52788000.0,60539728.0,64909410.0,-72661128.0
2026-03-25,90735473.0,-46386922.0,-44348550.0,-19801147.0,110536620.0
2026-03-26,125745286.0,-44063132.0,-81682151.0,-45013217.0,170758503.0
2026-03-27,-80319063.0,114593792.0,-34274704.0,-7440096.0,-72878967.0
2026-03-30,-32049958.0,11607344.0,20442624.0,18891440.0,-50941398.0
2026-03-31,-96588256.0,44921760.0,51666496.0,-15827984.0,-80760272.0
2026-04-01,254637517.0,-119023798.0,-135613721.0,-74298475.0,328935992.0
2026-04-02,-188661928.0,127395280.0,61266640.0,-34797936.0,-153863992.0
2026-04-03,-87927522.0,83785872.0,4141664.0,-37192704.0,-50734818.0
2026-04-07,-64085235.0,82097232.0,-18012000.0,-57469520.0,-6615715.0
2026-04-08,386229808.0,-168299001.0,-217930789.0,-108560133.0,494789941.0
2026-04-09,-275569136.0,270609472.0,4959664.0,-151613152.0,-123955984.0
2026-04-10,-52522901.0,85081280.0,-32558368.0,-30616832.0,-21906069.0
2026-04-13,289521927.0,-165326000.0,-124195936.0,19671856.0,269850071.0
2026-04-14,-251709705.0,222125504.0,29584224.0,-106097616.0,-145612089.0
2026-04-15,-72451317.0,43191952.0,29259360.0,-43358064.0,-29093253.0
2026-04-16,43373136.0,-40397536.0,-2975600.0,20021632.0,23351504.0
2026-04-17,-55198534.0,23872480.0,31326048.0,-7225824.0,-47972710.0
2026-04-20,-56199166.0,26223664.0,29975488.0,-14559664.0,-41639502.0
2026-04-21,-47550212.0,61939744.0,-14389536.0,-26778137.0,-20772075.0
2026-04-22,14740475.0,-14395008.0,-345472.0,4910210.0,9830265.0
2026-04-23,-174985256.0,195093440.0,-20108192.0,-112492488.0,-62492768.0
2026-04-24,-105087762.0,130731300.0,-25643526.0,-84981578.0,-20106184.0
2026-04-27,228127356.0,-101896083.0,-126231273.0,-70055763.0,298183119.0
2026-04-28,164821710.0,-45082355.0,-119739354.0,2492603.0,162329107.0
2026-04-29,-146100551.0,211394960.0,-65294400.0,-63303424.0,-82797127.0
2026-04-30,-36932198.0,61291728.0,-24359520.0,-25515618.0,-11416580.0
2026-05-06,90575155.0,-46789056.0,-43786096.0,59223243.0,31351912.0
2026-05-07,75966418.0,-86383280.0,10416880.0,47555893.0,28410525.0
2026-05-08,166915708.0,-80754569.0,-86161136.0,-16952394.0,183868102.0
2026-05-11,-7874608.0,-43128016.0,51002640.0,84253776.0,-92128384.0
2026-05-12,-132574972.0,109905072.0,22669904.0,-58923680.0,-73651292.0
2026-05-13,139261104.0,-57785312.0,-81475776.0,41370800.0,97890304.0
2026-05-14,-75905797.0,44078608.0,31827200.0,-18276544.0,-57629253.0
2026-05-15,6446816.0,47766240.0,-54213024.0,-92706192.0,99153008.0
2026-05-18,-15479596.0,58507040.0,-43027456.0,-43235072.0,27755476.0
2026-05-19,-119993229.0,166821760.0,-46828512.0,-51494369.0,-68498860.0
2026-05-20,20029824.0,-92294096.0,72264272.0,28127991.0,-8098167.0
2026-05-21,-168902317.0,206396624.0,-37494304.0,-65555351.0,-103346966.0
2026-05-22,-73203181.0,72815488.0,387696.0,173320.0,-73376501.0
2026-05-25,59614697.0,-71673024.0,12058336.0,3791944.0,55822753.0
2026-05-26,-93435704.0,117717408.0,-24281698.0,-58536555.0,-34899149.0
2026-05-27,-75866586.0,84128891.0,-8262303.0,-17152317.0,-58714269.0
