date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,303924528.0,-463687.0,-303460864.0,-119792848.0,423717376.0
2025-12-25,373858928.0,-513058.0,-373345792.0,342120048.0,31738880.0
2025-12-26,-1307039440.0,-360627.0,1307399872.0,-519851728.0,-787187712.0
2025-12-29,-1590998576.0,-444807.0,1591443200.0,-1387027248.0,-203971328.0
2025-12-30,170045952.0,-525076.0,-169520896.0,-71099136.0,241145088.0
2025-12-31,-923532192.0,-509882.0,924041984.0,15125744.0,-938657936.0
2026-01-05,-703455488.0,-552334.0,704007680.0,-657981440.0,-45474048.0
2026-01-06,-2610383104.0,-772604.0,2611155968.0,-648817408.0,-1961565696.0
2026-01-07,307604992.0,-533552.0,-307071488.0,-249609472.0,557214464.0
2026-01-08,-3204953856.0,-467353.0,3205420800.0,-141533696.0,-3063420160.0
2026-01-09,-2033557760.0,-504298.0,2034062080.0,-406792192.0,-1626765568.0
2026-01-12,-91146240.0,-783139.0,91929088.0,967968512.0,-1059114752.0
2026-01-13,-588659712.0,-483478.0,589143040.0,-256218624.0,-332441088.0
2026-01-14,-36115456.0,-401065.0,36516352.0,-534090496.0,497975040.0
2026-01-15,1832366080.0,-628857.0,-1831737088.0,-729829632.0,2562195712.0
2026-01-16,-1430665472.0,-637163.0,1431302656.0,-1260439552.0,-170225920.0
2026-01-19,-1077994928.0,-128545.0,1078123680.0,89817920.0,-1167812848.0
2026-01-20,-2109872784.0,-243162.0,2110116096.0,-892555008.0,-1217317776.0
2026-01-21,-829003248.0,-266520.0,829269760.0,-824909824.0,-4093424.0
2026-01-22,2122327552.0,-482141.0,-2121845248.0,-648458496.0,2770786048.0
2026-01-23,-3044926976.0,-524674.0,3045451520.0,-1213985792.0,-1830941184.0
2026-01-26,387392624.0,-179646.0,-387212800.0,-472218624.0,859611248.0
2026-01-27,1776270592.0,-390715.0,-1775879680.0,-276473856.0,2052744448.0
2026-01-28,703042816.0,-531971.0,-702510592.0,-904543744.0,1607586560.0
2026-01-29,-316082688.0,-1230782.0,317313536.0,-155970048.0,-160112640.0
2026-01-30,1820216832.0,-377136.0,-1819839744.0,412636928.0,1407579904.0
2026-02-02,-3860665600.0,-546091.0,3861211648.0,603938560.0,-4464604160.0
2026-02-03,-1909450752.0,-535040.0,1909985792.0,-271518976.0,-1637931776.0
2026-02-04,-3160097792.0,-467247.0,3160565248.0,-737311744.0,-2422786048.0
2026-02-05,-139889408.0,-489425.0,140378880.0,-788010752.0,648121344.0
2026-02-06,-1550354176.0,-397669.0,1550752000.0,-899363840.0,-650990336.0
2026-02-09,451213312.0,-310688.0,-450902784.0,-165359360.0,616572672.0
2026-02-10,-597446624.0,-2077993.0,599524528.0,259227200.0,-856673824.0
2026-02-11,-2964243200.0,-716350.0,2964959744.0,-641781760.0,-2322461440.0
2026-02-12,-724517632.0,-272339.0,724789760.0,-306369536.0,-418148096.0
2026-02-13,1159137440.0,-272461.0,-1158864896.0,333903280.0,825234160.0
2026-02-24,2140263424.0,-297991.0,-2139965440.0,100728576.0,2039534848.0
2026-02-25,711094320.0,-285528.0,-710808912.0,101982960.0,609111360.0
