date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,-396153936.0,309875760.0,86278176.0,215098448.0,-611252384.0
2025-12-25,-850892640.0,461235760.0,389656864.0,88474112.0,-939366752.0
2025-12-26,-476546496.0,325874736.0,150671760.0,-156562960.0,-319983536.0
2025-12-29,-497487184.0,386709056.0,110778112.0,-230428672.0,-267058512.0
2025-12-30,355173712.0,-209200144.0,-145973568.0,81386368.0,273787344.0
2025-12-31,-1564223488.0,1040379088.0,523844400.0,-571256176.0,-992967312.0
2026-01-05,-515810080.0,303537232.0,212272832.0,-426404352.0,-89405728.0
2026-01-06,-800538560.0,595176640.0,205361936.0,-354397888.0,-446140672.0
2026-01-07,38711376.0,-111556768.0,72845392.0,1311552.0,37399824.0
2026-01-08,-1129935088.0,898919120.0,231015968.0,-492224368.0,-637710720.0
2026-01-09,335253248.0,-186134800.0,-149118448.0,-88744416.0,423997664.0
2026-01-12,176001648.0,-160785152.0,-15216512.0,182482928.0,-6481280.0
2026-01-13,-670970944.0,325732656.0,345238272.0,65356416.0,-736327360.0
2026-01-14,21257360.0,-4035200.0,-17222144.0,-80646128.0,101903488.0
2026-01-15,-35983760.0,97120272.0,-61136496.0,-90698560.0,54714800.0
2026-01-16,721819760.0,-432304288.0,-289515456.0,45465968.0,676353792.0
2026-01-19,-567543424.0,308735984.0,258807440.0,-118052480.0,-449490944.0
2026-01-20,-957660192.0,787164480.0,170495728.0,-290606256.0,-667053936.0
2026-01-21,228988208.0,-56391664.0,-172596528.0,22516848.0,206471360.0
2026-01-22,1335181152.0,-742148704.0,-593032480.0,394521520.0,940659632.0
2026-01-23,-776381568.0,533004448.0,243377120.0,-181562704.0,-594818864.0
2026-01-26,1135725184.0,-649299344.0,-486425824.0,365883024.0,769842160.0
2026-01-27,1103099488.0,-304920624.0,-798178864.0,-290940784.0,1394040272.0
2026-01-28,1545560832.0,-746760240.0,-798800592.0,443318736.0,1102242096.0
2026-01-29,845335392.0,-498761824.0,-346573568.0,288069152.0,557266240.0
2026-01-30,1055400192.0,-310880128.0,-744520064.0,-500765184.0,1556165376.0
2026-02-02,-977391616.0,595376592.0,382014912.0,584075008.0,-1561466624.0
2026-02-03,609600512.0,-473998336.0,-135602272.0,300067328.0,309533184.0
2026-02-04,-93451072.0,-9310320.0,102761376.0,-19144848.0,-74306224.0
2026-02-05,-598631472.0,491371520.0,107259952.0,-463646096.0,-134985376.0
2026-02-06,49819024.0,-47438096.0,-2380832.0,-707580896.0,757399920.0
2026-02-09,1185602560.0,-383700288.0,-801902144.0,-78809088.0,1264411648.0
2026-02-10,-882717536.0,552370736.0,330346800.0,-302087024.0,-580630512.0
2026-02-11,-329289376.0,96774160.0,232515216.0,614769184.0,-944058560.0
