date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,-919738960.0,-768702.0,920507696.0,58947312.0,-978686272.0
2025-12-25,-811515840.0,-787136.0,812302800.0,64326736.0,-875842576.0
2025-12-26,-1301329952.0,-616918.0,1301946864.0,-598777072.0,-702552880.0
2025-12-29,-568704640.0,-449278.0,569153904.0,-218271856.0,-350432784.0
2025-12-30,127993568.0,-509151.0,-127484416.0,165750752.0,-37757184.0
2025-12-31,-707907088.0,-632644.0,708539648.0,487651552.0,-1195558640.0
2026-01-05,-1122653376.0,-835784.0,1123489024.0,-327501568.0,-795151808.0
2026-01-06,-2225496896.0,-1129350.0,2226626304.0,-581361920.0,-1644134976.0
2026-01-07,562624576.0,-847572.0,-561777152.0,237786544.0,324838032.0
2026-01-08,-1203641392.0,-1908449.0,1205549888.0,77285104.0,-1280926496.0
2026-01-09,-1483575296.0,1068027072.0,415548064.0,-557390080.0,-926185216.0
2026-01-12,-1756146944.0,986731696.0,769415168.0,-1364873216.0,-391273728.0
2026-01-13,-543733904.0,520303840.0,23430192.0,-17946368.0,-525787536.0
2026-01-14,1969504.0,208171072.0,-210140608.0,-396847104.0,398816608.0
2026-01-15,1207917056.0,-107325920.0,-1100591104.0,54553088.0,1153363968.0
2026-01-16,129158656.0,365824432.0,-494982912.0,481888768.0,-352730112.0
2026-01-19,811256400.0,53539615.0,-864796128.0,548300800.0,262955600.0
2026-01-20,-2169456064.0,1619847792.0,549608240.0,-815679744.0,-1353776320.0
2026-01-21,1191762624.0,-87331376.0,-1104431120.0,113646848.0,1078115776.0
2026-01-22,2180232192.0,-33255552.0,-2146976688.0,-109488128.0,2289720320.0
2026-01-23,-3413767168.0,2237465072.0,1176302048.0,-1470566400.0,-1943200768.0
2026-01-26,942231920.0,-236589584.0,-705642336.0,-43772224.0,986004144.0
2026-01-27,1002173952.0,-164058272.0,-838115840.0,-1098752.0,1003272704.0
2026-01-28,-613155024.0,651912512.0,-38757488.0,-189789440.0,-423365584.0
2026-01-29,4413760.0,514014960.0,-518428736.0,-26187472.0,30601232.0
2026-01-30,1725213184.0,16350192.0,-1741563648.0,140157952.0,1585055232.0
2026-02-02,415674368.0,-1530024.0,-414144256.0,-663244032.0,1078918400.0
2026-02-03,-1100140544.0,-1073446.0,1101213952.0,-160768.0,-1099979776.0
2026-02-04,-2788153088.0,1282514304.0,1505638912.0,-265747456.0,-2522405632.0
2026-02-05,-1815507328.0,1343485856.0,472021360.0,-929014592.0,-886492736.0
2026-02-06,-2882818880.0,1755115664.0,1127703136.0,-785905152.0,-2096913728.0
2026-02-09,1287349760.0,-623490064.0,-663859792.0,421018624.0,866331136.0
2026-02-10,665498976.0,-250202576.0,-415296416.0,111631984.0,553866992.0
2026-02-11,-3050034336.0,2063998832.0,986035712.0,-1117785856.0,-1932248480.0
2026-02-12,-1453848992.0,1245593360.0,208255536.0,-556527104.0,-897321888.0
2026-02-13,22288736.0,-503072.0,-21785680.0,47140624.0,-24851888.0
2026-02-24,749350656.0,-238893856.0,-510456800.0,422415616.0,326935040.0
2026-02-25,865729872.0,-314574192.0,-551155648.0,232999968.0,632729904.0
2026-02-26,-84251424.0,-89994528.0,174245936.0,129888112.0,-214139536.0
2026-02-27,-3705597888.0,2578607776.0,1126989744.0,-1284375808.0,-2421222080.0
2026-03-02,1956536832.0,-835496320.0,-1121040400.0,1090527488.0,866009344.0
2026-03-03,-104206336.0,-1251216.0,105457584.0,148093952.0,-252300288.0
2026-03-04,-1107245776.0,774341680.0,332904096.0,-567310624.0,-539935152.0
2026-03-05,2568623872.0,-908040448.0,-1660583680.0,-345008128.0,2913632000.0
2026-03-06,521388032.0,182634960.0,-704022784.0,554856704.0,-33468672.0
2026-03-09,-607185408.0,628274160.0,-21088944.0,-462592256.0,-144593152.0
2026-03-10,236104192.0,15977952.0,-252082256.0,-79988992.0,316093184.0
2026-03-11,-325614192.0,535759200.0,-210144960.0,-167209216.0,-158404976.0
2026-03-12,-2163359152.0,1775662336.0,387696800.0,-1059030896.0,-1104328256.0
2026-03-13,1604115040.0,-700605968.0,-903509040.0,376283824.0,1227831216.0
2026-03-16,1307035904.0,50263152.0,-1357298944.0,94299136.0,1212736768.0
2026-03-17,-1206340352.0,657573392.0,548766976.0,-72410624.0,-1133929728.0
2026-03-18,2624684288.0,-30517248.0,-2594167040.0,-137920512.0,2762604800.0
2026-03-19,-195147776.0,-1154945.0,196302592.0,-246556160.0,51408384.0
2026-03-20,1539571712.0,-2621654.0,-1536950272.0,-278001664.0,1817573376.0
2026-03-23,-886588928.0,-717312.0,887305984.0,-285987584.0,-600601344.0
2026-03-24,631117312.0,-888691.0,-630228736.0,183631360.0,447485952.0
2026-03-25,-393607680.0,-975228.0,394583040.0,46544896.0,-440152576.0
2026-03-26,-1999973376.0,-834314.0,2000807680.0,-433673728.0,-1566299648.0
2026-03-27,-1407757424.0,-649231.0,1408406784.0,-468501408.0,-939256016.0
2026-03-30,381800256.0,-759835.0,-381040640.0,-198014896.0,579815152.0
2026-03-31,-1372149376.0,-912015.0,1373061216.0,-7297168.0,-1364852208.0
2026-04-01,639723984.0,-721216.0,-639002880.0,257607168.0,382116816.0
2026-04-02,-798638128.0,-226827.0,798864944.0,-324829344.0,-473808784.0
2026-04-03,683682304.0,-545220.0,-683137280.0,833780224.0,-150097920.0
2026-04-07,-332185648.0,-358879.0,332544512.0,139894624.0,-472080272.0
2026-04-08,1150140416.0,-1741294.0,-1148399104.0,-218636032.0,1368776448.0
2026-04-09,-1376651712.0,-298714.0,1376950272.0,-323843840.0,-1052807872.0
2026-04-10,1452326912.0,-1120457.0,-1451206400.0,439478272.0,1012848640.0
2026-04-13,-981592320.0,-787554.0,982379776.0,-341095168.0,-640497152.0
2026-04-14,-550690304.0,-667505.0,551357952.0,630926592.0,-1181616896.0
2026-04-15,-2552850944.0,-1804784.0,2554655744.0,-1107258880.0,-1445592064.0
2026-04-16,1478311936.0,-1274522.0,-1477037056.0,434042368.0,1044269568.0
2026-04-17,346407168.0,-1376796.0,-345030400.0,283684352.0,62722816.0
2026-04-20,-588078336.0,-534091.0,588612352.0,-475774976.0,-112303360.0
2026-04-21,-806569472.0,-272756.0,806842112.0,-437355264.0,-369214208.0
2026-04-22,1432447232.0,-865548.0,-1431581952.0,-55042304.0,1487489536.0
2026-04-23,-1071613696.0,-481062.0,1072094720.0,511622656.0,-1583236352.0
2026-04-24,-5556707328.0,-1141868.0,5557849344.0,40257536.0,-5596964864.0
2026-04-27,-1214155776.0,-1133202.0,1215289088.0,-461203712.0,-752952064.0
2026-04-28,-457020928.0,-528672.0,457549568.0,-223978240.0,-233042688.0
2026-04-29,569605632.0,-531213.0,-569074432.0,655462144.0,-85856512.0
2026-04-30,-1916726016.0,-356779.0,1917082624.0,-786137856.0,-1130588160.0
2026-05-06,-2398348288.0,-496699.0,2398844928.0,-1243974144.0,-1154374144.0
2026-05-07,2556196352.0,-776956.0,-2555419392.0,-163624448.0,2719820800.0
2026-05-08,-987015168.0,-725531.0,987740672.0,-73336832.0,-913678336.0
2026-05-11,-1209486080.0,-739331.0,1210225408.0,636911104.0,-1846397184.0
2026-05-12,1416419072.0,-1115626.0,-1415303424.0,772114432.0,644304640.0
2026-05-13,1724294144.0,-961130.0,-1723332864.0,-359512832.0,2083806976.0
2026-05-14,-790148608.0,-538541.0,790687488.0,502602240.0,-1292750848.0
2026-05-15,-990095104.0,-782020.0,990877184.0,-120710400.0,-869384704.0
2026-05-18,-1730533120.0,-446380.0,1730979584.0,-594881792.0,-1135651328.0
2026-05-19,-2614404864.0,-347085.0,2614752000.0,-482179072.0,-2132225792.0
2026-05-20,610058240.0,-771476.0,-609286912.0,191283200.0,418775040.0
2026-05-21,-1007560448.0,-314850.0,1007875328.0,663934464.0,-1671494912.0
2026-05-22,1794499072.0,-870986.0,-1793628160.0,362261760.0,1432237312.0
2026-05-25,3067210496.0,-1373060.0,-3065837824.0,1198366208.0,1868844288.0
2026-05-26,1717652224.0,-1000597.0,-1716651520.0,585125632.0,1132526592.0
2026-05-27,-1068024832.0,-567170.0,1068592128.0,816693248.0,-1884718080.0
2026-05-28,692059136.0,-521209.0,-691538176.0,-193616128.0,885675264.0
2026-05-29,144797184.0,-628371.0,-144168704.0,445478144.0,-300680960.0
2026-06-01,-870199040.0,-468263.0,870667264.0,277141504.0,-1147340544.0
2026-06-02,1829406208.0,-530912.0,-1828875264.0,-646176768.0,2475582976.0
2026-06-03,172881152.0,-953268.0,-171928064.0,89455360.0,83425792.0
2026-06-04,-1515303424.0,-597614.0,1515901184.0,-689031680.0,-826271744.0
2026-06-05,-3821207808.0,-525239.0,3821733120.0,528385024.0,-4349592832.0
2026-06-08,-622028800.0,-476636.0,622505472.0,-678480896.0,56452096.0
2026-06-09,2235612416.0,-712444.0,-2234899968.0,277460480.0,1958151936.0
2026-06-10,-17805312.0,-402815.0,18208256.0,-399049728.0,381244416.0
2026-06-11,-4545976576.0,-105672533.0,4651649024.0,-1252148480.0,-3293828096.0
2026-06-12,-3659645184.0,-32970616.0,3692615680.0,-1967859456.0,-1691785728.0
2026-06-15,2607251456.0,-50640020.0,-2556611584.0,691205888.0,1916045568.0
2026-06-16,577843712.0,-27263322.0,-550580480.0,553506304.0,24337408.0
2026-06-17,-251739136.0,-18746308.0,270485760.0,-678531072.0,426791936.0
2026-06-18,1425465856.0,-30196896.0,-1395269120.0,968537344.0,456928512.0
2026-06-22,-1408240896.0,-17092890.0,1425333760.0,671107584.0,-2079348480.0
2026-06-23,-3952012800.0,-12206635.0,3964219136.0,-1188226560.0,-2763786240.0
2026-06-24,-233565696.0,-13194261.0,246759936.0,-740311808.0,506746112.0
2026-06-25,3672583680.0,-35261969.0,-3637321728.0,-471294720.0,4143878400.0
2026-06-26,-3736999168.0,-10871222.0,3747870720.0,-1483770112.0,-2253229056.0
