date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,-23909612.0,27589555.0,-3679944.0,-7971342.0,-15938270.0
2025-12-25,5055006.0,40137030.0,-45192048.0,-23137273.0,28192279.0
2025-12-26,34386873.0,-44580429.0,10193552.0,7170539.0,27216334.0
2025-12-29,15931327.0,-4254326.0,-11677001.0,18533697.0,-2602370.0
2025-12-30,-52548147.0,36444306.0,16103840.0,-10956537.0,-41591610.0
2025-12-31,-56803111.0,58541787.0,-1738675.0,-18137150.0,-38665961.0
2026-01-05,16595376.0,-10038494.0,-6556882.0,824964.0,15770412.0
2026-01-06,48802748.0,-5868898.0,-42933848.0,33325149.0,15477599.0
2026-01-07,3399132.0,-16540293.0,13141161.0,3645899.0,-246767.0
2026-01-08,-13754507.0,-18342030.0,32096536.0,6415751.0,-20170258.0
2026-01-09,23539041.0,-19959593.0,-3579447.0,21897881.0,1641160.0
2026-01-12,-48913093.0,5672842.0,43240251.0,-44705047.0,-4208046.0
2026-01-13,-34163814.0,22870611.0,11293202.0,-30677785.0,-3486029.0
2026-01-14,-23565468.0,11160164.0,12405312.0,-26755913.0,3190445.0
2026-01-15,7918574.0,-12774110.0,4855537.0,13819956.0,-5901382.0
2026-01-16,-5999731.0,-1859900.0,7859631.0,4255507.0,-10255238.0
2026-01-19,6559092.0,-25389306.0,18830214.0,-1375331.0,7934423.0
2026-01-20,-32334533.0,27937399.0,4397134.0,-12237117.0,-20097416.0
2026-01-21,-203727.0,380784.0,-177057.0,-7580745.0,7377018.0
2026-01-22,13584847.0,-11688475.0,-1896372.0,-2168350.0,15753197.0
2026-01-23,-44250364.0,131202978.0,-86952623.0,-75020901.0,30770537.0
2026-01-26,-16939715.0,-13428641.0,30368356.0,-7298818.0,-9640897.0
2026-01-27,-20486089.0,15307151.0,5178938.0,-3684088.0,-16802001.0
2026-01-28,6743387.0,-7567465.0,824078.0,4681274.0,2062113.0
2026-01-29,6624229.0,-18395390.0,11771161.0,15831366.0,-9207137.0
2026-01-30,4573936.0,-12262345.0,7688409.0,1684035.0,2889901.0
2026-02-02,8967866.0,-11003249.0,2035384.0,5243498.0,3724368.0
2026-02-03,-13333522.0,39943182.0,-26609661.0,-17495140.0,4161618.0
2026-02-04,-3254324.0,-9755267.0,13009591.0,-11243020.0,7988696.0
2026-02-05,24253777.0,-38410832.0,14157054.0,5524200.0,18729577.0
2026-02-06,-4925546.0,3787668.0,1137878.0,-8199714.0,3274168.0
2026-02-09,-75551378.0,98917923.0,-23366545.0,-49000632.0,-26550746.0
2026-02-10,-30658398.0,38886769.0,-8228369.0,-24990048.0,-5668350.0
2026-02-11,-6042134.0,17939.0,6024195.0,-5908632.0,-133502.0
2026-02-12,-1064397.0,10774295.0,-9709898.0,-7273527.0,6209130.0
2026-02-13,-15357164.0,29326876.0,-13969712.0,-1344410.0,-14012754.0
2026-02-24,-16908024.0,-15605775.0,32513799.0,25418948.0,-42326972.0
2026-02-25,25866531.0,-22271383.0,-3595148.0,19852524.0,6014007.0
2026-02-26,29981578.0,-8430575.0,-21551004.0,19215086.0,10766492.0
2026-02-27,4473464.0,885247.0,-5358710.0,-3772565.0,8246029.0
2026-03-02,-10583987.0,-2259525.0,12843513.0,709058.0,-11293045.0
