date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,5917488.0,-45287344.0,39369824.0,32152592.0,-26235104.0
2025-12-25,-464587504.0,371185632.0,93401888.0,-280493728.0,-184093776.0
2025-12-26,-136150762.0,103484048.0,32666720.0,-93899872.0,-42250890.0
2025-12-29,-127283898.0,86699792.0,40584096.0,-40283024.0,-87000874.0
2025-12-30,-3096609.0,-42456384.0,45552992.0,10423461.0,-13520070.0
2025-12-31,69066163.0,-94043136.0,24976960.0,66275488.0,2790675.0
2026-01-05,31967179.0,-76188176.0,44221008.0,84933568.0,-52966389.0
2026-01-06,-56615470.0,38285584.0,18329872.0,5788320.0,-62403790.0
2026-01-07,35744144.0,-31508080.0,-4236064.0,35738576.0,5568.0
2026-01-08,-57870816.0,36483744.0,21387072.0,8912224.0,-66783040.0
2026-01-09,85034816.0,-48907872.0,-36126928.0,-5854640.0,90889456.0
2026-01-12,-142388240.0,120401568.0,21986688.0,-59092112.0,-83296128.0
2026-01-13,-483722496.0,367683088.0,116039440.0,-227637072.0,-256085424.0
2026-01-14,-113738112.0,109022352.0,4715776.0,-65335488.0,-48402624.0
2026-01-15,-38903844.0,45594800.0,-6690944.0,-14961008.0,-23942836.0
2026-01-16,111262624.0,-106948896.0,-4313728.0,2807424.0,108455200.0
2026-01-19,-11805888.0,4576352.0,7229552.0,24206320.0,-36012208.0
2026-01-20,39931212.0,-130196304.0,90265104.0,15135840.0,24795372.0
2026-01-21,-33097104.0,-74617008.0,107714096.0,-26300880.0,-6796224.0
2026-01-22,-195984260.0,126692240.0,69292016.0,-95855696.0,-100128564.0
2026-01-23,285287984.0,-197721888.0,-87566096.0,-35066400.0,320354384.0
2026-01-26,131898992.0,-184833824.0,52934832.0,73207104.0,58691888.0
2026-01-27,-133808400.0,74782336.0,59026048.0,-6276448.0,-127531952.0
2026-01-28,-26795808.0,-30900480.0,57696288.0,209481536.0,-236277344.0
2026-01-29,-258736912.0,23071840.0,235665072.0,-137064512.0,-121672400.0
2026-01-30,667189280.0,-562322704.0,-104866560.0,328650272.0,338539008.0
2026-02-02,37309472.0,-110137952.0,72828480.0,137171488.0,-99862016.0
2026-02-03,320957744.0,-234681680.0,-86276048.0,160046048.0,160911696.0
2026-02-04,138407216.0,-261380304.0,122973072.0,143119968.0,-4712752.0
2026-02-05,-355036128.0,284693120.0,70343024.0,-201266000.0,-153770128.0
2026-02-06,276830080.0,-139470208.0,-137359888.0,122997104.0,153832976.0
2026-02-09,137215216.0,-258247808.0,121032608.0,-42870928.0,180086144.0
2026-02-10,17577472.0,-248075120.0,230497664.0,18311744.0,-734272.0
2026-02-11,-344762560.0,195697616.0,149064944.0,-149097824.0,-195664736.0
2026-02-12,5579968.0,-77438464.0,71858512.0,49745520.0,-44165552.0
2026-02-13,-372009248.0,177563728.0,194445520.0,-169394064.0,-202615184.0
2026-02-24,178892272.0,-217578416.0,38686112.0,127436976.0,51455296.0
2026-02-25,-342085760.0,239249344.0,102836416.0,-61840784.0,-280244976.0
2026-02-26,705306688.0,-325663968.0,-379642704.0,-114247776.0,819554464.0
2026-02-27,-117093952.0,-41391408.0,158485344.0,169918656.0,-287012608.0
2026-03-02,-181224912.0,158459888.0,22765040.0,-89947936.0,-91276976.0
2026-03-03,-499060528.0,322632976.0,176427568.0,-90263056.0,-408797472.0
2026-03-04,-492013728.0,360675376.0,131338352.0,-173622832.0,-318390896.0
2026-03-05,22814848.0,-198378304.0,175563456.0,97724816.0,-74909968.0
2026-03-06,-821972384.0,676252512.0,145719872.0,-491483920.0,-330488464.0
2026-03-09,-64510272.0,118870288.0,-54360000.0,-26524320.0,-37985952.0
2026-03-10,541872416.0,-389082960.0,-152789456.0,223166560.0,318705856.0
2026-03-11,-203280880.0,270384304.0,-67103424.0,-199997472.0,-3283408.0
2026-03-12,70035536.0,72960032.0,-142995568.0,114545648.0,-44510112.0
2026-03-13,210730880.0,-120839856.0,-89891024.0,198689312.0,12041568.0
2026-03-16,-302728080.0,209091280.0,93636800.0,-148657104.0,-154070976.0
2026-03-17,-514397744.0,418663968.0,95733776.0,-450866672.0,-63531072.0
2026-03-18,29102016.0,-144155216.0,115053184.0,10721792.0,18380224.0
2026-03-19,-174373609.0,162214304.0,12159312.0,-132460976.0,-41912633.0
2026-03-20,92030992.0,-157790752.0,65759760.0,61746816.0,30284176.0
2026-03-23,-120022748.0,-11795360.0,131818112.0,-36019248.0,-84003500.0
2026-03-24,400286087.0,-307349776.0,-92936320.0,185917664.0,214368423.0
2026-03-25,486176144.0,-388195808.0,-97980352.0,449466848.0,36709296.0
2026-03-26,-109274944.0,101174288.0,8100640.0,-8830928.0,-100444016.0
2026-03-27,143272688.0,-29708800.0,-113563888.0,67016624.0,76256064.0
2026-03-30,484446480.0,-377994160.0,-106452320.0,165797328.0,318649152.0
2026-03-31,471958112.0,-366264624.0,-105693504.0,230661072.0,241297040.0
2026-04-01,-182948688.0,100600464.0,82348224.0,49491776.0,-232440464.0
2026-04-02,86220160.0,-73635632.0,-12584528.0,50611696.0,35608464.0
2026-04-03,357524112.0,-290780704.0,-66743408.0,139977824.0,217546288.0
2026-04-07,-211538064.0,137994800.0,73543280.0,248586512.0,-460124576.0
2026-04-08,-320901008.0,204668368.0,116232640.0,-379829568.0,58928560.0
2026-04-09,5942608.0,8546704.0,-14489328.0,7674816.0,-1732208.0
2026-04-10,-813730256.0,824986784.0,-11256544.0,-270187936.0,-543542320.0
2026-04-13,-653380912.0,649842208.0,3538704.0,-487383104.0,-165997808.0
2026-04-14,-425442064.0,355609792.0,69832272.0,-320854512.0,-104587552.0
2026-04-15,-519145264.0,334164320.0,184980944.0,-316040144.0,-203105120.0
2026-04-16,-21610176.0,132005392.0,-110395232.0,-9875232.0,-11734944.0
2026-04-17,-176099008.0,99294864.0,76804144.0,-77905424.0,-98193584.0
2026-04-20,1523951840.0,-723687600.0,-800264224.0,-298856496.0,1822808336.0
2026-04-21,-829037136.0,600152000.0,228885136.0,156516480.0,-985553616.0
2026-04-22,100034352.0,71439488.0,-171473824.0,-135738768.0,235773120.0
2026-04-23,-418773952.0,328919232.0,89854736.0,94536016.0,-513309968.0
2026-04-24,-390739984.0,310752736.0,79987264.0,-215583440.0,-175156544.0
2026-04-27,909219200.0,-375161312.0,-534057808.0,-505099488.0,1414318688.0
2026-04-28,-1039324928.0,694125360.0,345199552.0,-299409008.0,-739915920.0
2026-04-29,-65786176.0,262077152.0,-196290976.0,53512256.0,-119298432.0
2026-04-30,-825709088.0,622554912.0,203154176.0,-114020352.0,-711688736.0
2026-05-06,247939296.0,-354125360.0,106186080.0,236283280.0,11656016.0
2026-05-07,1319401344.0,-860962784.0,-458438560.0,123977232.0,1195424112.0
2026-05-08,366446656.0,-98900800.0,-267545872.0,-8282960.0,374729616.0
2026-05-11,-1010413312.0,1019920848.0,-9507472.0,-707257856.0,-303155456.0
2026-05-12,-2949494288.0,1688205472.0,1261288784.0,-1492265472.0,-1457228816.0
2026-05-13,-671495904.0,256113136.0,415382752.0,-644669792.0,-26826112.0
2026-05-14,422984016.0,-473116336.0,50132224.0,74774784.0,348209232.0
2026-05-15,-2020261504.0,1426625408.0,593636064.0,-952043872.0,-1068217632.0
2026-05-18,489993936.0,-24893056.0,-465100880.0,-213378064.0,703372000.0
2026-05-19,75783504.0,-183321568.0,107538048.0,-17181984.0,92965488.0
2026-05-20,338878944.0,-286417040.0,-52462080.0,176461680.0,162417264.0
2026-05-21,-1977235936.0,1560451968.0,416783984.0,-689565472.0,-1287670464.0
2026-05-22,558342928.0,-97188272.0,-461154656.0,127082080.0,431260848.0
2026-05-25,-1423685200.0,900548864.0,523136320.0,-781227984.0,-642457216.0
2026-05-26,-1502481408.0,1170304704.0,332176704.0,-748454976.0,-754026432.0
2026-05-27,-792078448.0,637809696.0,154268768.0,-607465584.0,-184612864.0
2026-05-28,32762208.0,-1175600.0,-31586592.0,52013264.0,-19251056.0
2026-05-29,935084944.0,-442728464.0,-492356464.0,681489088.0,253595856.0
2026-06-01,-1008715216.0,791484064.0,217231136.0,-258569184.0,-750146032.0
2026-06-02,1698660800.0,-558568512.0,-1140092352.0,437553296.0,1261107504.0
2026-06-03,-3582208.0,429661568.0,-426079232.0,-478970112.0,475387904.0
2026-06-04,412599840.0,-456491376.0,43891456.0,168754912.0,243844928.0
2026-06-05,118740992.0,86487984.0,-205228800.0,547692544.0,-428951552.0
2026-06-08,1999532800.0,-781819008.0,-1217714176.0,-536151296.0,2535684096.0
2026-06-09,-445106688.0,65391344.0,379715584.0,819792896.0,-1264899584.0
2026-06-10,-2193915360.0,1605387952.0,588527360.0,-614489088.0,-1579426272.0
2026-06-11,-1204849168.0,936191200.0,268657952.0,-418054192.0,-786794976.0
2026-06-12,-272500880.0,366052464.0,-93551584.0,-247253856.0,-25247024.0
2026-06-15,389428336.0,-206596624.0,-182831712.0,-46605680.0,436034016.0
2026-06-16,95470384.0,68393968.0,-163864320.0,-308476768.0,403947152.0
2026-06-17,-646697568.0,500259552.0,146438144.0,-457080176.0,-189617392.0
2026-06-18,10229264.0,126311696.0,-136540928.0,-192181168.0,202410432.0
2026-06-22,-437246224.0,436462864.0,783360.0,-142580224.0,-294666000.0
2026-06-23,-456093184.0,519527664.0,-63434752.0,-311785728.0,-144307456.0
2026-06-24,-1274978336.0,965268272.0,309709824.0,-626594784.0,-648383552.0
2026-06-25,1261317376.0,-601714832.0,-659602944.0,14600448.0,1246716928.0
2026-06-26,-7311761184.0,4838085360.0,2473675776.0,-1916249344.0,-5395511840.0
