date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,339923856.0,40651504.0,-380575360.0,-193076144.0,533000000.0
2025-12-25,-134559584.0,29113008.0,105446592.0,-35326896.0,-99232688.0
2025-12-26,153011088.0,-92525856.0,-60485232.0,93849648.0,59161440.0
2025-12-29,330428272.0,-195411248.0,-135017024.0,113933616.0,216494656.0
2025-12-30,19900224.0,98999392.0,-118899616.0,23915152.0,-4014928.0
2025-12-31,152784256.0,-34295088.0,-118489168.0,-226481712.0,379265968.0
2026-01-05,-131581792.0,138161104.0,-6579296.0,2612752.0,-134194544.0
2026-01-06,-615987120.0,381553520.0,234433600.0,-220492752.0,-395494368.0
2026-01-07,-2858640.0,4350832.0,-1492192.0,-54015120.0,51156480.0
2026-01-08,-328606752.0,217352848.0,111253888.0,-102462960.0,-226143792.0
2026-01-09,-239618400.0,127798832.0,111819584.0,-59854400.0,-179764000.0
2026-01-12,-167533136.0,143730992.0,23802128.0,-60679760.0,-106853376.0
2026-01-13,-455354800.0,295820240.0,159534576.0,-228559840.0,-226794960.0
2026-01-14,-11014512.0,21583824.0,-10569312.0,17360752.0,-28375264.0
2026-01-15,472853488.0,-324838672.0,-148014832.0,26794784.0,446058704.0
2026-01-16,212541024.0,-116618224.0,-95922800.0,-3394496.0,215935520.0
2026-01-19,-727157520.0,426554000.0,300603520.0,-91162352.0,-635995168.0
2026-01-20,-429094560.0,346922816.0,82171728.0,-137288272.0,-291806288.0
2026-01-21,103460208.0,-111150864.0,7690656.0,61553872.0,41906336.0
2026-01-22,-86408224.0,62166240.0,24241968.0,-14293632.0,-72114592.0
2026-01-23,-417228432.0,395342720.0,21885712.0,-168415776.0,-248812656.0
2026-01-26,114049974.0,-82919168.0,-31130816.0,113896048.0,153926.0
2026-01-27,135306368.0,-109361552.0,-25944816.0,88141056.0,47165312.0
2026-01-28,-188119828.0,87462416.0,100657392.0,-38220480.0,-149899348.0
2026-01-29,-49026192.0,27399600.0,21626608.0,11258464.0,-60284656.0
2026-01-30,64513984.0,-24866688.0,-39647296.0,-9246480.0,73760464.0
2026-02-02,-325977344.0,192596848.0,133380480.0,-193072.0,-325784272.0
2026-02-03,-94040112.0,128704080.0,-34663984.0,-43007728.0,-51032384.0
2026-02-04,-253672048.0,203696880.0,49975168.0,-98384816.0,-155287232.0
2026-02-05,-461256711.0,444232935.0,17023776.0,-297936976.0,-163319735.0
2026-02-06,-310899165.0,281311520.0,29587632.0,-110230576.0,-200668589.0
2026-02-09,65303055.0,18466832.0,-83769888.0,-36566624.0,101869679.0
2026-02-10,-14391695.0,43889584.0,-29497856.0,-113950720.0,99559025.0
2026-02-11,-230356174.0,237483186.0,-7127008.0,-101354048.0,-129002126.0
2026-02-12,13594496.0,279920.0,-13874416.0,49737712.0,-36143216.0
2026-02-13,-120678772.0,69652176.0,51026592.0,-38315906.0,-82362866.0
2026-02-24,158972749.0,-141693824.0,-17278912.0,48555696.0,110417053.0
2026-02-25,31010099.0,-32349056.0,1338992.0,7391360.0,23618739.0
2026-02-26,192218976.0,-227701904.0,35482928.0,123044720.0,69174256.0
2026-02-27,-272206740.0,124717056.0,147489664.0,-105346400.0,-166860340.0
2026-03-02,907113568.0,-390341872.0,-516771680.0,7405888.0,899707680.0
2026-03-03,-430055440.0,333908368.0,96147088.0,-80357696.0,-349697744.0
2026-03-04,-53217232.0,-1219776.0,54437008.0,44519712.0,-97736944.0
2026-03-05,306630800.0,-234742928.0,-71887872.0,109138224.0,197492576.0
2026-03-06,147683872.0,-181652512.0,33968624.0,86579680.0,61104192.0
2026-03-09,-270394784.0,191659376.0,78735408.0,-208895504.0,-61499280.0
2026-03-10,534432560.0,-226904080.0,-307528464.0,316413008.0,218019552.0
2026-03-11,345228560.0,-155239408.0,-189989168.0,73503632.0,271724928.0
2026-03-12,-257285856.0,183262752.0,74023120.0,-278480704.0,21194848.0
2026-03-13,-344671200.0,267011136.0,77660080.0,-93112304.0,-251558896.0
2026-03-16,-100191792.0,44745392.0,55446416.0,-5476576.0,-94715216.0
2026-03-17,-652871264.0,432283600.0,220587664.0,-280977952.0,-371893312.0
2026-03-18,24755632.0,-14614384.0,-10141264.0,63054080.0,-38298448.0
2026-03-19,187880736.0,-148341936.0,-39538816.0,157767344.0,30113392.0
2026-03-20,50248608.0,-51221120.0,972528.0,-22170928.0,72419536.0
2026-03-23,-728564496.0,408014544.0,320549952.0,-110542176.0,-618022320.0
2026-03-24,-94973888.0,48026896.0,46946992.0,62135312.0,-157109200.0
2026-03-25,77386688.0,14293168.0,-91679824.0,-32080576.0,109467264.0
2026-03-26,-360105171.0,273155200.0,86949984.0,-181318464.0,-178786707.0
2026-03-27,-113738179.0,125800032.0,-12061872.0,-34525712.0,-79212467.0
2026-03-30,-22374153.0,-10736672.0,33110816.0,3805888.0,-26180041.0
2026-03-31,-220884985.0,173540304.0,47344672.0,-154963216.0,-65921769.0
2026-04-01,123711596.0,-92272192.0,-31439424.0,8645328.0,115066268.0
2026-04-02,-135923467.0,87599200.0,48324256.0,-82773632.0,-53149835.0
2026-04-03,54489792.0,-42639344.0,-11850432.0,-17775392.0,72265184.0
2026-04-07,-240922217.0,188776240.0,52146000.0,-69362288.0,-171559929.0
2026-04-08,715862736.0,-301871232.0,-413991488.0,-114836496.0,830699232.0
2026-04-09,-430753104.0,278450128.0,152302960.0,-132045952.0,-298707152.0
2026-04-10,-17479824.0,80196048.0,-62716224.0,-94872288.0,77392464.0
2026-04-13,101351776.0,-74718656.0,-26633120.0,56942416.0,44409360.0
2026-04-14,64944816.0,8905312.0,-73850128.0,22241472.0,42703344.0
2026-04-15,528746976.0,127138864.0,-655885840.0,-263272576.0,792019552.0
2026-04-16,125988192.0,10212624.0,-136200784.0,-38912672.0,164900864.0
2026-04-17,641231392.0,-211688970.0,-429542432.0,-264638960.0,905870352.0
2026-04-20,-989802928.0,871170928.0,118632000.0,-457995344.0,-531807584.0
2026-04-21,221262752.0,-178322816.0,-42939920.0,284499808.0,-63237056.0
2026-04-22,662529328.0,-447640352.0,-214889008.0,265076080.0,397453248.0
2026-04-23,-163125792.0,106134624.0,56991184.0,-140620048.0,-22505744.0
2026-04-24,-1178309616.0,864016704.0,314292912.0,-627623024.0,-550686592.0
2026-04-27,-68782608.0,76329552.0,-7546944.0,-140191856.0,71409248.0
2026-04-28,248288752.0,-285580816.0,37292064.0,282666832.0,-34378080.0
2026-04-29,857988832.0,-471459808.0,-386529024.0,-148694416.0,1006683248.0
2026-04-30,-451028080.0,271753280.0,179274816.0,-104852896.0,-346175184.0
2026-05-06,95436896.0,-140081920.0,44645024.0,65670016.0,29766880.0
2026-05-07,263369152.0,-192556416.0,-70812736.0,229157680.0,34211472.0
2026-05-08,484963888.0,-544165984.0,59202112.0,221130576.0,263833312.0
2026-05-11,615978560.0,-489134208.0,-126844336.0,198677088.0,417301472.0
2026-05-12,-851263120.0,644449936.0,206813152.0,-128538080.0,-722725040.0
2026-05-13,-327944496.0,280721040.0,47223456.0,-149895728.0,-178048768.0
2026-05-14,-268310112.0,193973360.0,74336768.0,-9577008.0,-258733104.0
2026-05-15,-145943984.0,143745760.0,2198208.0,-20232480.0,-125711504.0
2026-05-18,-702269424.0,559543824.0,142725600.0,-267771488.0,-434497936.0
2026-05-19,389623984.0,29283872.0,-418907840.0,-321752176.0,711376160.0
2026-05-20,225036256.0,-212934304.0,-12101952.0,95118816.0,129917440.0
2026-05-21,-892164880.0,733357872.0,158807008.0,-245497968.0,-646666912.0
2026-05-22,235280432.0,-74268944.0,-161011488.0,-54283296.0,289563728.0
2026-05-25,1016128432.0,-482979280.0,-533149152.0,-231490624.0,1247619056.0
2026-05-26,-73882192.0,-31201904.0,105084096.0,184428944.0,-258311136.0
2026-05-27,-746375280.0,604197472.0,142177808.0,-16613088.0,-729762192.0
2026-05-28,422059616.0,-224647664.0,-197411936.0,-26463728.0,448523344.0
2026-05-29,1172557600.0,-416778832.0,-755778784.0,46839280.0,1125718320.0
2026-06-01,-843412528.0,320476704.0,522935824.0,17120576.0,-860533104.0
2026-06-02,88028848.0,-35465968.0,-52562880.0,129328992.0,-41300144.0
2026-06-03,367574528.0,-30713008.0,-336861520.0,-384038960.0,751613488.0
2026-06-04,-266132048.0,241653584.0,24478448.0,-137104320.0,-129027728.0
2026-06-05,-448380528.0,228455120.0,219925424.0,-9867984.0,-438512544.0
2026-06-08,-696516464.0,565350592.0,131165856.0,-332055744.0,-364460720.0
2026-06-09,33757968.0,158652448.0,-192410416.0,-22473408.0,56231376.0
2026-06-10,-334916320.0,196132544.0,138783808.0,-101020656.0,-233895664.0
2026-06-11,-399320576.0,233994448.0,165326128.0,-259410240.0,-139910336.0
2026-06-12,635878048.0,-272986208.0,-362891840.0,84917728.0,550960320.0
2026-06-15,613948688.0,-398821376.0,-215127312.0,60319696.0,553628992.0
2026-06-16,-204942304.0,200214128.0,4728176.0,-228081312.0,23139008.0
2026-06-17,454107472.0,-215230736.0,-238876720.0,168387504.0,285719968.0
2026-06-18,430395776.0,-289426592.0,-140969152.0,84300288.0,346095488.0
2026-06-22,841404080.0,-410506560.0,-430897504.0,-104288560.0,945692640.0
2026-06-23,337681360.0,-47955408.0,-289725968.0,152294720.0,185386640.0
2026-06-24,620406896.0,-214489296.0,-405917600.0,-121136736.0,741543632.0
2026-06-25,-442869744.0,381643392.0,61226352.0,76946256.0,-519816000.0
2026-06-26,-523422560.0,397763296.0,125659264.0,-15644480.0,-507778080.0
