date,main_net,small_net,mid_net,large_net,super_net
2025-12-24,183142128.0,-2359672.0,-180782464.0,59673408.0,123468720.0
2025-12-25,321538544.0,-4420118.0,-317118432.0,79112704.0,242425840.0
2025-12-26,-12876976.0,-2573139.0,15450128.0,-12002560.0,-874416.0
2025-12-29,121812672.0,-4605565.0,-117207104.0,212728464.0,-90915792.0
2025-12-30,-77365952.0,-2133121.0,79499088.0,37565808.0,-114931760.0
2025-12-31,-57916129.0,-1435838.0,59351952.0,-47089568.0,-10826561.0
2026-01-05,-135003552.0,-2601705.0,137605264.0,-63195312.0,-71808240.0
2026-01-06,-367133856.0,-2419733.0,369553616.0,-200918944.0,-166214912.0
2026-01-07,97295088.0,-3879294.0,-93415792.0,-44326320.0,141621408.0
2026-01-08,109858304.0,-2433870.0,-107424432.0,-116246432.0,226104736.0
2026-01-09,182046688.0,-3613362.0,-178433312.0,-3041408.0,185088096.0
2026-01-12,-353163328.0,-2602372.0,355765712.0,-145334992.0,-207828336.0
2026-01-13,-342143328.0,-1725221.0,343868544.0,-53698544.0,-288444784.0
2026-01-14,79787472.0,-3441338.0,-76346128.0,157704096.0,-77916624.0
2026-01-15,277046864.0,-3865193.0,-273181680.0,38156096.0,238890768.0
2026-01-16,-122304528.0,-1669474.0,123974000.0,-18870640.0,-103433888.0
2026-01-19,-86617799.0,-687119.0,87304912.0,-119917312.0,33299513.0
2026-01-20,96093136.0,-1637017.0,-94456128.0,33818960.0,62274176.0
2026-01-21,54640880.0,-2578382.0,-52062496.0,143862656.0,-89221776.0
2026-01-22,134332400.0,-2873007.0,-131459392.0,-31664528.0,165996928.0
2026-01-23,-293193072.0,-1936894.0,295129968.0,-207199104.0,-85993968.0
2026-01-26,-18908160.0,-2565747.0,21473920.0,-18939328.0,31168.0
2026-01-27,156359728.0,-3971636.0,-152388112.0,40337120.0,116022608.0
2026-01-28,-34146192.0,-2456220.0,36602416.0,-30949248.0,-3196944.0
2026-01-29,-304532144.0,-1583894.0,306116032.0,44497856.0,-349030000.0
2026-01-30,-42223152.0,-2096799.0,44319952.0,-52194304.0,9971152.0
2026-02-02,-14145072.0,-1632630.0,15777696.0,12510768.0,-26655840.0
2026-02-03,118152944.0,-2638464.0,-115514480.0,26163456.0,91989488.0
2026-02-04,-162311520.0,-1946488.0,164257984.0,250473392.0,-412784912.0
2026-02-05,-87876832.0,-1576879.0,89453696.0,10306832.0,-98183664.0
2026-02-06,-162506240.0,-1311371.0,163817616.0,-126966976.0,-35539264.0
2026-02-09,95923648.0,-2595905.0,-93327744.0,22399280.0,73524368.0
2026-02-10,107668992.0,-2848591.0,-104820416.0,-98986336.0,206655328.0
2026-02-11,-297774224.0,-1562264.0,299336496.0,-113728400.0,-184045824.0
2026-02-12,67801760.0,-2680511.0,-65121264.0,138005712.0,-70203952.0
2026-02-13,-139476192.0,-2648957.0,142125152.0,-82959280.0,-56516912.0
2026-02-24,207806864.0,-2590305.0,-205216560.0,72934880.0,134871984.0
2026-02-25,44285824.0,-1955174.0,-42330656.0,-120420288.0,164706112.0
2026-02-26,114385248.0,-3342937.0,-111042320.0,79356432.0,35028816.0
2026-02-27,-148634000.0,-3039416.0,151673424.0,12782496.0,-161416496.0
2026-03-02,287365760.0,-4075857.0,-283289920.0,261538704.0,25827056.0
2026-03-03,-238494896.0,-2425591.0,240920464.0,-31034400.0,-207460496.0
2026-03-04,-22668736.0,-1960845.0,24629584.0,-121175152.0,98506416.0
2026-03-05,50377312.0,-2267265.0,-48110048.0,93676416.0,-43299104.0
2026-03-06,-156940256.0,-1476804.0,158417040.0,-86691616.0,-70248640.0
2026-03-09,-191863344.0,-2267778.0,194131136.0,15995328.0,-207858672.0
2026-03-10,316700160.0,-3627655.0,-313072496.0,230566592.0,86133568.0
2026-03-11,-130933840.0,-1031238.0,131965088.0,-50338912.0,-80594928.0
2026-03-12,-2046256.0,-1225299.0,3271552.0,-41556528.0,39510272.0
2026-03-13,41286076.0,-1556412.0,-39729680.0,-72681680.0,113967756.0
2026-03-16,-6517888.0,-2481945.0,8999824.0,52211232.0,-58729120.0
2026-03-17,-213367008.0,-1819540.0,215186544.0,-40357440.0,-173009568.0
2026-03-18,398554688.0,-2810099.0,-395744576.0,221427296.0,177127392.0
2026-03-19,355434784.0,-6684776.0,-348749984.0,94974608.0,260460176.0
