date,open,close,high,low,volume
2025-12-10,66.000,68.550,68.940,65.800,517447.000
2025-12-11,68.160,66.350,68.160,66.300,356278.000
2025-12-12,66.000,67.240,68.760,65.000,394394.000
2025-12-15,66.250,64.830,66.400,64.800,280345.000
2025-12-16,64.550,62.350,64.700,62.060,253910.000
2025-12-17,62.920,68.590,68.590,62.350,495295.000
2025-12-18,68.600,68.010,70.770,67.960,615500.000
2025-12-19,68.550,68.480,70.060,67.570,433977.000
2025-12-22,69.500,70.240,70.650,69.060,529638.000
2025-12-23,69.990,70.740,71.460,69.270,502266.000
2025-12-24,70.920,71.120,71.320,69.660,412072.000
2025-12-25,70.410,70.680,71.080,68.360,414685.000
2025-12-26,70.000,69.600,71.050,68.900,277012.000
2025-12-29,69.600,70.800,72.200,69.150,365878.000
2025-12-30,70.390,70.450,73.280,70.180,358499.000
2025-12-31,70.800,69.950,71.500,69.250,280182.000
2026-01-05,70.020,70.830,71.770,69.300,358950.000
2026-01-06,70.250,69.480,70.510,68.130,374141.000
2026-01-07,70.610,71.180,72.750,70.480,442945.000
2026-01-08,70.530,70.880,72.800,69.560,329644.000
2026-01-09,70.290,72.190,73.500,68.020,489361.000
2026-01-12,73.320,75.320,76.130,73.120,507385.000
2026-01-13,75.080,70.110,75.080,69.770,489567.000
2026-01-14,70.170,77.120,77.120,69.710,844282.000
2026-01-15,78.010,78.500,80.990,76.700,782770.000
2026-01-16,78.000,76.500,80.000,75.600,513450.000
2026-01-19,75.800,72.860,76.300,72.800,474209.000
2026-01-20,72.870,69.420,73.580,68.720,455092.000
2026-01-21,68.570,72.960,73.420,68.560,401472.000
2026-01-22,73.160,72.250,73.770,71.200,276818.000
2026-01-23,72.000,71.250,72.050,70.660,263431.000
2026-01-26,71.630,71.130,74.180,70.660,334100.000
2026-01-27,70.800,71.960,73.000,69.000,342861.000
2026-01-28,73.250,72.200,73.970,71.220,309713.000
2026-01-29,71.380,69.990,72.690,69.800,285138.000
2026-01-30,69.280,72.410,73.470,68.410,393540.000
2026-02-02,71.920,69.120,73.850,69.100,375975.000
2026-02-03,70.360,71.720,72.200,69.060,422236.000
2026-02-04,71.000,69.700,71.860,68.000,426518.000
2026-02-05,68.500,66.330,69.190,65.920,288333.000
2026-02-06,65.640,66.750,68.100,65.270,252982.000
2026-02-09,68.120,70.050,71.350,67.680,402223.000
2026-02-10,70.050,70.890,73.330,69.960,348354.000
2026-02-11,70.300,69.930,71.950,69.750,204007.000
2026-02-12,70.150,72.420,72.800,70.100,358837.000
2026-02-13,71.500,70.020,71.990,69.880,250174.000
2026-02-24,71.740,73.340,74.990,71.500,493500.000
2026-02-25,73.100,72.270,73.540,71.500,376564.000
2026-02-26,72.400,75.330,75.750,71.670,542320.000
2026-02-27,73.510,75.920,76.730,72.210,515527.000
2026-03-02,74.060,77.020,79.000,74.060,571621.000
2026-03-03,78.200,76.410,80.700,76.240,721716.000
2026-03-04,73.450,77.850,80.210,73.450,590366.000
2026-03-05,79.140,78.920,82.350,75.330,728110.000
2026-03-06,78.920,80.110,82.800,77.380,667626.000
2026-03-09,77.950,78.330,78.860,72.330,645191.000
2026-03-10,78.990,86.160,86.160,78.990,554095.000
2026-03-11,90.680,91.490,93.080,89.000,1025475.000
2026-03-12,91.540,98.820,100.640,91.540,1147568.000
2026-03-13,93.100,88.940,94.990,88.940,886078.000
2026-03-16,84.500,83.500,85.300,81.230,774759.000
2026-03-17,83.600,79.280,83.960,78.500,574346.000
2026-03-18,81.000,83.600,83.770,80.650,540440.000
2026-03-19,82.040,84.420,86.650,81.810,598972.000
2026-03-20,86.900,83.080,87.500,83.010,592419.000
2026-03-23,80.040,79.010,82.890,78.500,446224.000
2026-03-24,79.500,79.870,80.550,76.670,418796.000
2026-03-25,82.880,86.450,87.860,82.500,751892.000
2026-03-26,84.770,85.000,88.470,84.370,540078.000
2026-03-27,83.560,84.500,86.500,81.380,438905.000
2026-03-30,83.690,88.100,89.800,83.300,607038.000
2026-03-31,87.180,84.300,87.180,83.840,437757.000
2026-04-01,86.600,86.980,89.000,85.300,453374.000
2026-04-02,85.810,83.900,88.450,83.400,430388.000
2026-04-03,85.020,90.390,91.950,85.000,840587.000
2026-04-07,92.000,92.360,97.800,91.900,630705.000
2026-04-08,95.600,98.260,99.080,94.080,694745.000
2026-04-09,96.130,108.090,108.090,96.090,891018.000
2026-04-10,111.720,107.820,112.100,106.060,998530.000
2026-04-13,107.290,113.730,115.880,107.290,707895.000
2026-04-14,113.500,111.400,114.360,110.200,650000.000
2026-04-15,111.600,106.700,112.560,105.600,617794.000
2026-04-16,107.200,106.210,108.350,105.910,434191.000
2026-04-17,110.990,116.830,116.830,110.110,623611.000
2026-04-20,122.000,120.050,125.660,119.380,764715.000
2026-04-21,119.000,121.790,123.310,116.390,582583.000
2026-04-22,121.500,123.970,125.600,120.500,793417.000
2026-04-23,124.850,131.680,134.990,123.510,1102421.000
2026-04-24,129.700,128.700,135.670,123.000,868011.000
2026-04-27,131.340,134.520,141.460,130.300,775792.000
2026-04-28,131.920,137.000,140.990,130.500,635764.000
2026-04-29,132.530,132.870,137.300,128.900,568577.000
2026-04-30,135.520,144.280,146.160,135.010,802115.000
2026-05-06,147.160,150.820,158.300,147.160,694668.000
2026-05-07,152.700,164.290,165.900,147.010,708803.000
2026-05-08,160.000,180.720,180.720,158.640,821824.000
2026-05-11,188.000,198.790,198.790,183.020,770319.000
2026-05-12,200.000,201.500,208.800,194.800,852771.000
2026-05-13,196.010,197.970,203.700,191.180,792201.000
2026-05-14,198.960,203.800,212.800,196.010,830338.000
2026-05-15,200.000,196.490,203.790,183.500,907859.000
2026-05-18,195.000,209.900,214.830,195.000,675120.000
2026-05-19,209.500,230.890,230.890,203.010,835834.000
2026-05-20,229.010,236.400,246.800,226.240,767456.000
2026-05-21,230.150,217.300,231.640,212.760,899149.000
2026-05-22,213.000,215.870,219.180,210.000,680332.000
2026-05-25,213.000,223.980,226.300,203.100,739500.000
2026-05-26,218.180,206.720,218.600,205.200,664812.000
2026-05-27,202.000,202.700,213.720,200.100,562914.000
2026-05-28,200.000,214.900,219.120,197.580,675598.000
2026-05-29,213.820,203.950,219.190,202.450,578014.000
2026-06-01,208.060,204.300,213.850,202.000,520073.000
2026-06-02,201.000,215.110,217.660,198.000,722634.000
2026-06-03,220.050,224.000,234.000,216.800,906134.000
2026-06-04,215.830,220.560,227.200,215.830,513551.000
2026-06-05,219.960,227.580,238.670,218.110,736104.000
2026-06-08,210.000,206.990,218.970,206.000,601099.000
2026-06-09,212.680,210.220,214.980,199.050,575898.000
2026-06-10,203.800,202.600,207.500,199.210,414457.000
2026-06-11,201.700,205.400,210.710,201.700,418718.000
2026-06-12,210.150,204.970,211.100,202.600,431117.000
2026-06-15,206.880,225.470,225.470,205.050,593673.000
2026-06-16,233.500,230.010,237.890,226.000,563868.000
2026-06-17,225.010,242.000,246.000,224.470,504365.000
2026-06-18,241.990,266.200,266.200,240.000,409674.000
2026-06-22,279.000,276.080,279.000,260.000,684807.000
2026-06-23,273.010,266.900,278.000,262.470,437195.000
2026-06-24,262.470,266.360,272.440,260.000,422133.000
2026-06-25,266.500,261.460,271.120,256.000,554857.000
2026-06-26,256.000,240.340,256.270,237.000,551818.000
