date,open,close,high,low,volume
2025-12-10,23.210,23.790,23.850,23.050,164662.000
2025-12-11,23.690,23.360,23.940,23.260,141769.000
2025-12-12,23.150,23.290,24.250,23.080,172245.000
2025-12-15,22.900,22.430,23.300,22.400,114577.000
2025-12-16,22.450,21.420,22.500,21.330,102848.000
2025-12-17,21.350,22.490,22.640,20.950,133912.000
2025-12-18,22.490,22.740,23.220,22.200,124354.000
2025-12-19,22.800,22.280,23.430,22.170,104018.000
2025-12-22,22.320,23.250,24.380,22.320,163551.000
2025-12-23,23.000,22.700,23.220,22.540,108088.000
2025-12-24,22.580,23.120,23.270,22.450,136276.000
2025-12-25,23.050,23.200,23.530,23.010,104989.000
2025-12-26,23.020,23.650,23.900,22.650,151334.000
2025-12-29,23.450,23.520,23.970,23.300,106592.000
2025-12-30,23.300,23.050,23.730,23.010,82834.000
2025-12-31,23.050,22.690,23.200,22.560,75923.000
2026-01-05,22.820,22.540,22.900,22.320,95766.000
2026-01-06,22.450,22.650,22.860,22.120,129697.000
2026-01-07,22.680,22.500,22.980,22.290,120300.000
2026-01-08,22.360,22.600,22.900,22.250,99101.000
2026-01-09,22.460,22.430,22.670,22.160,122241.000
2026-01-12,22.490,23.110,23.110,22.490,162954.000
2026-01-13,23.100,21.980,23.110,21.900,194980.000
2026-01-14,22.050,22.130,22.400,21.750,129301.000
2026-01-15,22.080,21.780,22.080,21.410,109262.000
2026-01-16,21.840,21.980,22.250,21.530,89054.000
2026-01-19,21.890,22.100,22.150,21.670,79529.000
2026-01-20,22.130,21.420,22.140,21.250,107355.000
2026-01-21,21.280,21.800,21.990,21.080,82349.000
2026-01-22,21.760,21.740,21.960,21.650,58328.000
2026-01-23,21.650,21.610,21.810,21.530,86878.000
2026-01-26,21.610,21.100,21.750,20.810,102330.000
2026-01-27,21.090,21.210,21.280,20.310,90018.000
2026-01-28,21.220,21.130,21.520,20.950,69529.000
2026-01-29,20.860,20.390,20.990,20.340,82902.000
2026-01-30,20.270,20.470,20.640,19.910,70512.000
2026-02-02,20.270,20.250,20.900,20.230,58631.000
2026-02-03,20.460,20.690,20.700,20.300,54274.000
2026-02-04,20.600,20.830,21.000,20.500,57869.000
2026-02-05,20.700,20.430,20.780,20.400,40587.000
2026-02-06,20.310,20.570,20.780,20.260,45775.000
2026-02-09,20.770,21.320,21.360,20.620,82295.000
2026-02-10,21.300,21.280,21.740,21.220,51822.000
2026-02-11,21.250,21.050,21.420,21.030,37351.000
2026-02-12,21.040,21.070,21.250,20.890,39167.000
2026-02-13,21.050,20.880,21.220,20.850,33703.000
2026-02-24,21.100,21.290,21.450,20.920,45662.000
2026-02-25,21.490,21.290,21.820,21.260,54444.000
2026-02-26,21.300,21.660,21.750,21.240,69916.000
2026-02-27,21.460,21.340,21.460,21.010,65979.000
2026-03-02,21.100,20.750,21.350,20.720,63721.000
2026-03-03,21.040,20.720,22.220,20.700,149846.000
2026-03-04,20.050,20.300,20.750,19.950,78567.000
2026-03-05,20.600,20.430,20.880,20.370,62757.000
2026-03-06,20.470,20.910,21.220,20.200,81128.000
2026-03-09,20.400,20.240,20.570,19.420,119699.000
2026-03-10,20.590,21.540,21.810,20.590,153132.000
2026-03-11,21.560,22.010,22.490,21.560,184348.000
2026-03-12,21.920,22.020,22.660,21.800,137407.000
2026-03-13,21.830,22.080,22.760,21.490,157090.000
2026-03-16,21.950,22.410,22.480,21.860,114974.000
2026-03-17,22.410,20.980,22.480,20.920,122470.000
2026-03-18,21.310,21.780,21.810,20.820,110390.000
2026-03-19,21.700,23.960,23.960,21.300,396678.000
2026-03-20,26.360,24.550,26.360,24.400,864324.000
2026-03-23,23.000,22.790,24.110,22.590,647182.000
2026-03-24,23.000,23.590,23.670,22.440,543620.000
2026-03-25,25.950,25.950,25.950,25.950,71741.000
2026-03-26,28.000,28.550,28.550,27.510,278134.000
2026-03-27,28.400,27.940,29.630,26.580,863743.000
2026-03-30,27.010,28.780,29.300,27.010,612863.000
2026-03-31,26.610,26.160,27.970,25.900,581274.000
2026-04-01,28.750,28.780,28.780,28.750,160144.000
2026-04-02,28.800,27.640,29.870,27.100,586743.000
2026-04-03,27.750,27.000,28.770,26.890,582415.000
2026-04-07,26.730,26.700,27.980,26.220,522562.000
2026-04-08,29.370,29.370,29.370,28.180,443898.000
2026-04-09,29.910,28.830,30.790,28.130,731807.000
2026-04-10,28.330,28.070,29.150,27.800,458112.000
2026-04-13,27.500,30.880,30.880,27.350,598348.000
2026-04-14,30.620,30.290,31.950,29.980,668234.000
2026-04-15,30.060,29.800,31.500,29.650,461073.000
2026-04-16,29.820,30.620,30.700,28.940,541303.000
2026-04-17,30.070,30.380,31.710,29.810,531781.000
2026-04-20,29.500,30.200,30.800,29.400,406611.000
2026-04-21,29.500,29.300,29.510,27.970,392423.000
2026-04-22,28.860,29.500,30.080,28.300,372174.000
2026-04-23,29.200,27.020,29.520,26.620,450161.000
2026-04-24,26.520,26.010,27.010,25.770,297453.000
2026-04-27,28.500,28.610,28.610,28.500,153318.000
2026-04-28,29.650,31.470,31.470,29.180,323800.000
2026-04-29,31.500,30.990,32.340,30.820,651604.000
2026-04-30,31.300,30.390,31.750,30.180,342415.000
2026-05-06,30.870,31.790,32.200,30.600,392558.000
2026-05-07,31.810,32.890,33.200,31.560,404188.000
2026-05-08,32.780,36.180,36.180,32.480,211554.000
2026-05-11,38.100,38.000,39.790,35.210,750269.000
2026-05-12,38.230,37.180,39.500,36.740,606809.000
2026-05-13,36.880,39.950,40.900,36.480,614547.000
2026-05-14,39.990,39.120,40.800,38.870,435304.000
2026-05-15,38.660,39.600,43.030,38.660,554073.000
2026-05-18,38.680,38.770,39.480,37.810,414599.000
2026-05-19,38.170,38.310,38.940,36.600,359845.000
2026-05-20,37.900,38.310,39.100,37.800,308595.000
2026-05-21,38.490,35.770,38.500,35.000,338502.000
2026-05-22,36.300,35.950,36.880,35.850,236721.000
2026-05-25,36.200,36.640,36.860,35.130,294992.000
2026-05-26,36.060,34.730,36.580,34.260,260947.000
2026-05-27,35.030,33.710,35.310,33.030,218293.000
2026-05-28,33.560,34.950,35.060,33.470,218049.000
2026-05-29,34.960,33.310,35.360,32.790,201092.000
2026-06-01,32.730,31.620,33.290,31.230,229004.000
2026-06-02,31.720,32.050,32.600,30.480,190987.000
2026-06-03,32.640,32.990,33.990,32.320,244714.000
2026-06-04,32.430,32.820,33.300,31.890,170615.000
2026-06-05,32.550,34.080,36.000,32.220,355405.000
2026-06-08,31.280,32.210,34.250,31.280,263394.000
2026-06-09,32.890,33.290,33.640,32.350,208503.000
2026-06-10,32.690,31.820,32.710,31.290,176891.000
2026-06-11,31.510,31.650,33.030,30.940,168560.000
2026-06-12,32.530,32.860,34.200,31.400,294714.000
2026-06-15,33.390,34.270,34.710,32.910,321249.000
2026-06-16,34.340,36.380,36.650,33.900,452295.000
2026-06-17,35.000,35.150,35.770,34.230,391243.000
2026-06-18,34.800,36.770,37.150,34.210,404836.000
