date,open,close,high,low,volume
2025-12-10,608.060,615.000,619.000,588.500,302094.000
2025-12-11,609.000,585.810,626.110,584.910,363531.000
2025-12-12,586.000,581.000,602.880,569.220,468789.000
2025-12-15,569.000,569.860,587.000,567.000,300987.000
2025-12-16,567.800,550.790,574.000,544.010,279702.000
2025-12-17,556.000,588.980,591.070,555.660,323570.000
2025-12-18,575.990,570.200,578.870,562.430,241629.000
2025-12-19,582.340,570.700,586.000,569.280,224429.000
2025-12-22,589.010,616.500,621.000,589.010,394412.000
2025-12-23,624.000,620.000,627.990,613.000,233642.000
2025-12-24,626.640,633.400,637.000,616.600,235091.000
2025-12-25,644.000,638.800,657.800,617.410,259387.000
2025-12-26,627.300,626.000,635.950,617.000,213762.000
2025-12-29,626.640,617.000,632.690,611.730,241126.000
2025-12-30,617.100,631.000,643.340,614.000,261145.000
2025-12-31,628.000,609.000,632.000,607.000,225604.000
2026-01-05,620.080,622.510,626.290,599.170,302042.000
2026-01-06,605.000,604.250,614.800,589.200,335583.000
2026-01-07,615.800,618.600,627.000,601.000,280015.000
2026-01-08,610.100,594.450,615.000,591.000,291962.000
2026-01-09,574.940,582.200,594.000,560.610,385723.000
2026-01-12,569.000,590.970,599.000,557.850,383608.000
2026-01-13,579.800,584.760,615.600,579.010,320559.000
2026-01-14,594.350,592.000,599.880,566.010,417330.000
2026-01-15,582.200,624.020,635.990,580.020,459038.000
2026-01-16,634.970,616.000,644.000,614.020,372724.000
2026-01-19,604.000,604.500,618.000,601.570,223079.000
2026-01-20,604.520,584.000,607.000,579.000,262900.000
2026-01-21,585.240,580.900,598.660,580.000,250959.000
2026-01-22,589.080,620.000,623.500,584.000,401944.000
2026-01-23,613.000,584.000,614.000,579.160,396560.000
2026-01-26,579.000,588.800,597.000,571.010,260881.000
2026-01-27,588.960,614.600,629.000,585.700,387287.000
2026-01-28,631.000,627.000,643.980,622.000,329264.000
2026-01-29,636.000,612.850,636.950,609.110,248940.000
2026-01-30,615.200,648.000,652.580,604.930,357592.000
2026-02-02,634.010,590.000,657.580,590.000,559980.000
2026-02-03,606.000,588.700,617.800,575.000,429180.000
2026-02-04,569.000,559.000,573.550,524.130,527210.000
2026-02-05,560.010,560.990,576.750,555.010,318675.000
2026-02-06,547.110,539.010,560.880,529.300,328676.000
2026-02-09,560.000,564.990,572.990,549.120,366633.000
2026-02-10,560.550,554.710,572.680,554.500,217158.000
2026-02-11,550.010,530.910,553.000,521.530,397136.000
2026-02-12,534.000,526.460,545.380,522.380,301786.000
2026-02-13,523.000,530.000,542.800,514.000,260436.000
2026-02-24,541.000,553.000,571.020,521.000,356558.000
2026-02-25,549.000,565.070,568.860,547.000,214792.000
2026-02-26,565.070,571.220,573.000,558.000,252800.000
2026-02-27,554.000,533.000,558.980,530.110,347125.000
2026-03-02,519.000,569.580,579.000,519.000,493103.000
2026-03-03,569.800,562.800,598.040,562.280,393101.000
2026-03-04,553.020,538.000,562.500,535.500,307429.000
2026-03-05,555.000,556.000,584.000,551.600,379004.000
2026-03-06,552.000,544.480,558.980,536.060,219668.000
2026-03-09,519.100,524.990,527.300,505.000,314743.000
2026-03-10,539.000,546.000,547.980,529.020,283094.000
2026-03-11,556.000,553.680,567.900,552.000,238972.000
2026-03-12,556.250,533.800,562.580,527.500,239117.000
2026-03-13,525.500,541.020,547.880,524.010,211982.000
2026-03-16,548.050,560.700,564.000,539.320,274320.000
2026-03-17,569.000,542.000,576.880,538.000,300410.000
2026-03-18,552.860,579.000,581.050,549.000,377805.000
2026-03-19,579.000,574.200,591.800,568.900,331408.000
2026-03-20,604.000,611.000,631.720,603.100,538539.000
2026-03-23,589.310,598.620,617.100,584.000,378520.000
2026-03-24,598.000,602.190,604.000,576.000,282636.000
2026-03-25,624.000,627.400,634.000,615.050,335631.000
2026-03-26,625.890,613.200,644.000,611.830,262769.000
2026-03-27,597.850,597.000,608.880,587.660,224326.000
2026-03-30,584.000,588.080,594.580,578.000,209255.000
2026-03-31,570.000,568.410,584.900,554.000,261202.000
2026-04-01,590.000,600.870,601.000,580.200,255405.000
2026-04-02,592.010,581.000,595.770,577.690,177310.000
2026-04-03,599.000,605.520,624.000,593.350,290271.000
2026-04-07,607.000,618.530,635.660,596.700,239031.000
2026-04-08,652.530,687.140,687.260,642.000,396630.000
2026-04-09,681.000,692.020,699.000,677.010,249619.000
2026-04-10,699.000,733.650,742.040,693.010,330801.000
2026-04-13,737.800,737.000,743.000,713.230,228876.000
2026-04-14,749.000,772.000,785.220,747.780,292668.000
2026-04-15,786.000,778.980,807.830,765.000,323452.000
2026-04-16,771.370,808.610,809.110,761.350,286570.000
2026-04-17,840.000,850.000,864.000,819.240,398572.000
2026-04-20,848.000,849.000,877.980,839.580,272631.000
2026-04-21,848.750,863.860,867.000,838.000,251138.000
2026-04-22,858.300,885.620,892.200,853.000,294383.000
2026-04-23,889.000,896.000,918.990,876.780,309869.000
2026-04-24,899.250,885.990,914.000,853.530,383884.000
2026-04-27,898.000,856.030,899.000,853.000,318149.000
2026-04-28,853.000,824.000,853.000,820.000,295109.000
2026-04-29,815.230,845.000,862.000,815.230,251731.000
2026-04-30,863.660,857.500,874.650,845.000,212710.000
2026-05-06,888.500,856.000,889.000,840.450,309386.000
2026-05-07,858.000,877.470,889.150,835.000,277190.000
2026-05-08,864.950,886.000,898.950,861.560,197641.000
2026-05-11,889.060,940.130,946.790,870.000,322655.000
2026-05-12,961.000,1017.990,1022.900,960.000,345421.000
2026-05-13,999.680,1049.200,1052.200,991.120,260005.000
2026-05-14,1065.000,1078.000,1088.880,1025.100,300571.000
2026-05-15,1068.990,1049.870,1099.870,1034.000,276253.000
2026-05-18,1030.030,1045.000,1075.000,1030.030,243132.000
2026-05-19,1026.000,1030.000,1037.380,988.880,272749.000
2026-05-20,1019.110,1037.000,1071.000,1019.110,225973.000
2026-05-21,1060.000,993.340,1065.000,993.340,237726.000
2026-05-22,1010.040,1037.980,1044.870,1006.180,209338.000
2026-05-25,1054.990,1093.000,1094.980,1025.550,250761.000
2026-05-26,1079.000,1103.000,1110.000,1076.000,234391.000
2026-05-27,1090.000,1111.370,1147.000,1088.670,250688.000
2026-05-28,1100.000,1197.990,1199.790,1085.560,287465.000
2026-05-29,1190.000,1161.160,1209.990,1155.000,287268.000
2026-06-01,1161.000,1130.000,1183.610,1113.900,269782.000
2026-06-02,1153.600,1191.810,1205.580,1140.010,290063.000
2026-06-03,1220.000,1275.000,1320.000,1220.000,345251.000
2026-06-04,1250.000,1280.000,1290.000,1241.360,217142.000
2026-06-05,1273.200,1179.990,1301.510,1160.000,474741.000
2026-06-08,1132.790,1154.990,1179.450,1132.000,336120.000
2026-06-09,1140.970,1180.000,1196.160,1126.900,398930.000
2026-06-10,1150.000,1147.000,1174.000,1128.800,228965.000
2026-06-11,1136.000,1124.000,1174.900,1093.000,305924.000
2026-06-12,1182.000,1149.000,1188.500,1128.180,346851.000
2026-06-15,1175.000,1245.000,1245.000,1122.000,342237.000
2026-06-16,1240.000,1248.090,1273.680,1232.460,232822.000
2026-06-17,1228.000,1276.110,1276.130,1220.050,217562.000
2026-06-18,1270.000,1367.880,1368.500,1268.730,285516.000
2026-06-22,1367.780,1382.330,1416.880,1343.380,280333.000
2026-06-23,1395.000,1310.010,1395.000,1300.000,291773.000
2026-06-24,1313.610,1312.180,1344.880,1282.150,262257.000
2026-06-25,1326.000,1323.400,1345.090,1280.020,376090.000
2026-06-26,1296.000,1253.890,1296.940,1235.130,352811.000
