date,open,close,high,low,volume
2025-12-10,169.929,167.614,171.757,163.350,473288.000
2025-12-11,164.500,156.414,166.500,155.829,552968.000
2025-12-12,155.857,153.186,157.536,146.307,493509.000
2025-12-15,148.050,149.229,154.786,147.357,314019.000
2025-12-16,146.657,141.857,149.136,140.572,283122.000
2025-12-17,143.279,155.057,156.343,142.036,514815.000
2025-12-18,153.236,155.793,159.536,151.800,442461.000
2025-12-19,158.400,152.379,159.500,148.500,367102.000
2025-12-22,155.214,158.786,161.557,152.093,575111.000
2025-12-23,159.136,158.272,162.357,156.372,351951.000
2025-12-24,157.522,158.836,160.643,152.986,411387.000
2025-12-25,159.207,152.929,163.786,148.786,391361.000
2025-12-26,152.264,151.864,154.936,149.907,225800.000
2025-12-29,150.036,151.479,153.700,148.072,262027.000
2025-12-30,149.429,151.264,154.786,148.200,290987.000
2025-12-31,151.343,144.522,151.364,143.429,333544.000
2026-01-05,147.343,144.929,147.714,142.357,298470.000
2026-01-06,142.379,143.614,144.714,139.993,311352.000
2026-01-07,145.929,143.914,147.200,142.279,301671.000
2026-01-08,142.350,138.964,143.057,138.793,286023.000
2026-01-09,136.186,141.643,143.750,134.179,345062.000
2026-01-12,139.572,144.079,145.836,136.379,394653.000
2026-01-13,142.636,135.214,147.557,134.179,452762.000
2026-01-14,136.836,136.286,138.786,134.414,338835.000
2026-01-15,134.857,137.843,140.350,133.793,375464.000
2026-01-16,139.714,140.929,145.643,137.357,460042.000
2026-01-19,137.993,137.514,141.329,136.072,297029.000
2026-01-20,136.293,131.357,137.529,129.764,298239.000
2026-01-21,130.822,134.307,136.857,130.357,250424.000
2026-01-22,134.286,142.343,142.829,132.357,508054.000
2026-01-23,141.636,134.614,142.314,134.000,405201.000
2026-01-26,134.214,139.464,141.279,132.807,401124.000
2026-01-27,140.643,149.543,155.307,139.972,593126.000
2026-01-28,153.786,156.336,158.072,145.972,581093.000
2026-01-29,155.929,159.500,167.286,155.679,555463.000
2026-01-30,157.279,176.950,186.572,156.807,728420.000
2026-02-02,177.914,169.850,185.143,167.072,612764.000
2026-02-03,179.500,192.357,194.057,178.543,619948.000
2026-02-04,193.793,189.972,197.357,179.500,445590.000
2026-02-05,180.450,179.429,186.243,173.786,419342.000
2026-02-06,180.657,180.193,190.936,172.157,492307.000
2026-02-09,197.357,212.286,216.329,189.579,573642.000
