date,open,close,high,low,volume
2025-12-10,297.857,308.043,312.779,284.057,515106.000
2025-12-11,305.379,296.793,321.936,295.714,610493.000
2025-12-12,297.143,305.000,313.250,297.143,583769.000
2025-12-15,293.486,304.150,315.714,292.143,386532.000
2025-12-16,299.986,290.143,303.557,286.286,387885.000
2025-12-17,291.079,317.929,318.093,291.072,492639.000
2025-12-18,311.579,303.214,316.143,301.786,400421.000
2025-12-19,310.714,309.500,320.064,303.222,357191.000
2025-12-22,321.550,329.993,332.614,318.572,393324.000
2025-12-23,329.929,326.429,334.150,323.643,295434.000
2025-12-24,327.850,323.222,329.279,318.572,298163.000
2025-12-25,325.000,319.279,331.107,314.286,282568.000
2025-12-26,314.286,317.357,320.714,310.564,249069.000
2025-12-29,313.572,316.786,321.414,309.050,246676.000
2025-12-30,313.572,317.857,324.200,311.222,258850.000
2025-12-31,317.143,307.057,321.636,306.429,286178.000
2026-01-05,311.436,304.022,314.179,296.914,357501.000
2026-01-06,292.143,297.536,300.272,288.929,404262.000
2026-01-07,303.586,299.500,306.422,293.929,303305.000
2026-01-08,296.022,292.386,300.493,288.572,289381.000
2026-01-09,282.864,283.729,289.929,272.186,422954.000
2026-01-12,275.000,278.822,284.286,265.386,542675.000
2026-01-13,274.472,273.000,287.064,271.700,396607.000
2026-01-14,276.429,273.550,281.407,267.650,451172.000
2026-01-15,270.829,285.000,288.572,268.222,505454.000
2026-01-16,292.236,282.993,292.857,279.172,467601.000
2026-01-19,279.436,287.272,291.500,279.007,338369.000
2026-01-20,286.086,272.543,286.357,268.572,423989.000
2026-01-21,272.864,281.286,286.586,272.857,391792.000
2026-01-22,281.636,291.929,293.557,280.000,437212.000
2026-01-23,289.186,272.872,289.186,271.072,502090.000
2026-01-26,270.572,276.879,279.543,266.793,319783.000
2026-01-27,276.107,284.457,293.986,274.693,414208.000
2026-01-28,288.572,280.036,291.507,280.000,353176.000
2026-01-29,285.007,280.000,288.572,279.507,337582.000
2026-01-30,276.779,298.922,302.857,276.286,508374.000
2026-02-02,325.886,312.857,336.429,310.279,777880.000
2026-02-03,325.714,305.786,327.857,293.207,657516.000
2026-02-04,292.143,284.429,295.714,271.907,596557.000
2026-02-05,278.572,272.857,284.929,271.500,365068.000
2026-02-06,267.893,259.329,269.907,254.286,461507.000
2026-02-09,270.700,277.964,284.286,267.357,473940.000
2026-02-10,279.422,280.079,289.157,276.786,293013.000
2026-02-11,277.929,264.757,280.357,262.243,442806.000
2026-02-12,265.729,260.543,274.279,257.657,446151.000
2026-02-13,257.886,260.793,265.814,254.286,298318.000
2026-02-24,262.143,265.043,274.914,251.572,465194.000
2026-02-25,263.572,272.143,276.643,262.507,339786.000
2026-02-26,273.579,274.929,276.843,267.364,316634.000
2026-02-27,264.286,256.329,265.529,255.014,509101.000
2026-03-02,247.672,271.429,274.286,246.957,552073.000
2026-03-03,271.429,272.286,281.772,270.000,511459.000
2026-03-04,269.000,263.122,273.486,261.179,326122.000
2026-03-05,274.243,285.886,301.143,273.043,696779.000
2026-03-06,280.157,286.429,293.572,275.779,404315.000
2026-03-09,270.714,273.572,275.943,263.086,441664.000
2026-03-10,281.250,283.093,285.714,272.564,424881.000
2026-03-11,285.007,280.164,290.714,279.429,338382.000
2026-03-12,285.007,269.836,288.464,267.622,346187.000
2026-03-13,265.843,280.736,284.993,265.014,407737.000
2026-03-16,282.172,294.450,297.879,279.286,472241.000
2026-03-17,300.722,277.379,304.200,274.950,453934.000
2026-03-18,284.429,307.072,307.393,283.572,609727.000
2026-03-19,304.293,313.857,321.293,304.293,543572.000
2026-03-20,333.572,340.036,349.486,327.057,671922.000
2026-03-23,325.093,328.172,340.622,322.857,480832.000
2026-03-24,327.143,333.572,333.807,312.143,406861.000
2026-03-25,349.436,339.429,350.714,330.000,458162.000
2026-03-26,334.300,325.714,342.143,324.372,365099.000
2026-03-27,318.064,318.864,328.786,313.579,298317.000
2026-03-30,317.286,326.700,330.714,317.286,255254.000
2026-03-31,317.607,315.600,323.929,309.786,283290.000
2026-04-01,328.950,328.286,330.000,316.429,312649.000
2026-04-02,322.936,318.922,328.557,315.572,218135.000
2026-04-03,325.714,324.500,334.286,323.607,336360.000
2026-04-07,320.714,326.929,333.572,314.422,284174.000
2026-04-08,338.643,357.500,357.857,334.350,469399.000
2026-04-09,350.214,349.286,354.857,347.857,298416.000
2026-04-10,351.429,372.500,376.429,345.714,444844.000
2026-04-13,369.286,365.514,372.143,356.436,375113.000
2026-04-14,372.814,370.714,384.214,367.143,387738.000
2026-04-15,374.300,354.272,380.714,349.300,460646.000
2026-04-16,354.286,383.214,384.950,353.572,418603.000
2026-04-17,392.143,420.000,420.700,386.450,416195.000
2026-04-20,420.000,415.715,425.686,411.429,342506.000
2026-04-21,412.143,412.500,415.707,403.572,287544.000
2026-04-22,405.714,444.079,445.900,405.022,433446.000
2026-04-23,441.429,433.772,447.715,428.565,401775.000
2026-04-24,394.114,383.050,404.043,376.436,913871.000
2026-04-27,391.714,383.572,394.286,381.329,468082.000
2026-04-28,383.100,381.757,390.714,368.579,357953.000
2026-04-29,377.143,382.857,391.786,375.000,275645.000
2026-04-30,391.429,374.850,391.429,369.286,302098.000
2026-05-06,384.929,372.486,386.843,368.572,420933.000
2026-05-07,373.464,401.786,402.857,365.714,533930.000
2026-05-08,394.286,393.336,399.993,389.622,298005.000
2026-05-11,395.000,401.929,406.422,374.464,581077.000
2026-05-12,410.000,422.515,427.679,407.079,524973.000
2026-05-13,417.222,448.565,449.850,415.129,423739.000
2026-05-14,457.500,440.643,466.215,432.786,382290.000
2026-05-15,440.000,435.036,449.057,418.057,356062.000
2026-05-18,427.143,427.800,440.193,422.857,292637.000
2026-05-19,427.507,408.214,427.793,399.507,339052.000
2026-05-20,410.279,419.265,428.486,407.507,326624.000
2026-05-21,419.522,403.572,430.379,403.050,328097.000
2026-05-22,411.665,432.693,437.772,406.429,404278.000
2026-05-25,442.236,470.007,470.757,424.293,476893.000
2026-05-26,467.857,499.286,501.843,467.143,463532.000
2026-05-27,492.522,495.715,510.000,487.736,351379.000
2026-05-28,495.715,512.386,518.572,479.122,339478.000
2026-05-29,512.143,503.893,523.565,500.007,332555.000
2026-06-01,505.815,484.872,509.093,480.072,295925.000
2026-06-02,496.429,532.857,536.429,494.357,387107.000
2026-06-03,542.143,558.036,582.129,540.765,426909.000
2026-06-04,551.757,553.529,560.693,545.000,254101.000
2026-06-05,563.572,533.572,583.843,520.715,441765.000
2026-06-08,507.222,517.143,531.429,503.493,322561.000
2026-06-09,534.207,560.522,567.143,526.429,348609.000
2026-06-10,549.286,551.072,570.536,542.215,308882.000
2026-06-11,552.000,526.000,575.000,498.670,667564.000
2026-06-12,540.000,506.460,544.980,502.800,654443.000
2026-06-15,515.000,540.490,540.880,490.130,612302.000
2026-06-16,541.510,549.000,561.770,535.010,405700.000
2026-06-17,545.700,557.880,558.500,537.110,389548.000
2026-06-18,552.660,581.480,588.000,551.180,428749.000
2026-06-22,584.100,579.970,591.000,560.000,455114.000
2026-06-23,575.000,552.000,587.000,540.000,444398.000
2026-06-24,552.000,555.300,574.480,546.000,405643.000
2026-06-25,560.000,610.490,610.800,550.060,694274.000
2026-06-26,598.000,566.000,598.000,550.000,617733.000
