date,open,close,high,low,volume
2025-12-10,131.960,143.820,145.000,131.000,402115.000
2025-12-11,141.000,132.650,143.000,132.300,362190.000
2025-12-12,130.000,148.010,152.180,128.440,510523.000
2025-12-15,145.050,135.410,147.500,134.300,335211.000
2025-12-16,136.690,125.650,137.000,125.250,303866.000
2025-12-17,127.360,134.330,135.150,127.360,298218.000
2025-12-18,133.040,140.840,150.000,132.160,433128.000
2025-12-19,143.300,139.300,147.000,138.400,323818.000
2025-12-22,146.040,156.970,159.950,146.040,392062.000
2025-12-23,156.520,155.550,158.480,154.320,286030.000
2025-12-24,156.020,154.680,161.600,152.780,282851.000
2025-12-25,155.090,147.890,157.660,146.250,287938.000
2025-12-26,145.500,142.470,147.390,140.900,218910.000
2025-12-29,143.000,142.710,146.290,141.000,226228.000
2025-12-30,140.150,140.300,146.980,137.030,265715.000
2025-12-31,141.060,142.000,145.660,138.500,235455.000
2026-01-05,142.010,139.100,142.010,133.300,272640.000
2026-01-06,137.100,134.160,142.050,133.970,273835.000
2026-01-07,136.000,142.980,143.500,135.500,341229.000
2026-01-08,140.010,136.730,140.980,136.040,245256.000
2026-01-09,133.000,133.700,135.600,128.560,247656.000
2026-01-12,132.050,131.880,133.700,127.800,255944.000
2026-01-13,127.810,122.200,129.810,121.920,309852.000
2026-01-14,124.380,128.970,130.610,122.750,311098.000
2026-01-15,126.050,133.160,133.660,126.000,266733.000
2026-01-16,134.010,138.390,141.270,134.010,296916.000
2026-01-19,141.550,138.370,143.990,137.700,269963.000
2026-01-20,136.980,135.060,140.800,133.770,194113.000
2026-01-21,133.000,139.100,139.970,132.090,224882.000
2026-01-22,140.860,137.430,141.070,135.100,209730.000
2026-01-23,136.500,132.710,139.420,131.580,218844.000
2026-01-26,132.030,136.150,138.890,131.700,231141.000
2026-01-27,133.090,137.600,139.630,130.510,224157.000
2026-01-28,148.020,146.060,150.750,139.110,482072.000
2026-01-29,142.990,154.070,158.000,141.680,420427.000
2026-01-30,150.000,162.000,165.800,147.120,411561.000
2026-02-02,158.090,153.500,163.950,153.500,277314.000
2026-02-03,156.570,161.920,171.500,156.110,324804.000
2026-02-04,159.900,158.080,163.900,150.020,266971.000
2026-02-05,165.040,159.360,167.750,157.000,273392.000
2026-02-06,155.000,153.710,165.170,153.600,261601.000
2026-02-09,157.500,170.200,174.880,153.080,364480.000
2026-02-10,169.510,165.080,171.970,164.260,210071.000
2026-02-11,163.900,158.180,170.980,157.390,177616.000
2026-02-12,160.000,176.310,177.770,159.000,310608.000
2026-02-13,172.960,156.500,175.750,156.030,315739.000
2026-02-24,160.480,165.580,169.190,159.100,241780.000
2026-02-25,171.510,158.190,172.000,156.000,229475.000
2026-02-26,157.920,156.980,159.780,153.360,213291.000
2026-02-27,150.130,148.160,150.810,147.070,222176.000
2026-03-02,143.370,156.820,159.680,143.370,295226.000
2026-03-03,159.000,156.430,167.960,156.000,292167.000
2026-03-04,151.020,152.290,159.370,151.020,169268.000
2026-03-05,155.020,148.300,155.800,146.660,223926.000
2026-03-06,148.240,149.850,156.290,143.140,227115.000
2026-03-09,143.580,141.760,144.700,133.600,222990.000
2026-03-10,144.540,153.780,153.960,144.310,262122.000
