date,open,close,high,low,volume
2025-12-10,125.580,128.240,129.700,125.000,236224.000
2025-12-11,127.000,119.340,128.000,119.060,254853.000
2025-12-12,121.560,121.710,124.470,116.410,256693.000
2025-12-15,117.000,114.310,120.540,114.010,190465.000
2025-12-16,114.320,111.180,117.800,110.160,147999.000
2025-12-17,111.750,120.800,120.990,110.500,270171.000
2025-12-18,118.500,118.250,122.740,117.440,179962.000
2025-12-19,120.000,115.800,121.040,115.200,149524.000
2025-12-22,117.700,119.440,121.520,116.790,188936.000
2025-12-23,118.970,118.800,121.440,117.000,164289.000
2025-12-24,118.810,121.480,121.800,115.610,245743.000
2025-12-25,121.480,120.000,123.500,117.630,173584.000
2025-12-26,118.030,117.250,120.550,115.110,147388.000
2025-12-29,117.010,119.260,123.830,117.010,211099.000
2025-12-30,117.470,120.000,123.800,116.850,197587.000
2025-12-31,119.250,115.550,120.610,113.880,181629.000
2026-01-05,116.900,120.370,123.000,116.010,231210.000
2026-01-06,119.070,116.130,120.000,112.720,237385.000
2026-01-07,117.500,118.880,122.040,115.690,227013.000
2026-01-08,117.220,115.990,120.340,114.910,166667.000
2026-01-09,114.800,115.540,116.490,110.550,176105.000
2026-01-12,113.690,113.200,114.830,109.780,196560.000
2026-01-13,112.280,107.710,116.580,106.850,231682.000
2026-01-14,108.000,106.800,109.000,104.170,226729.000
2026-01-15,105.090,107.620,107.990,104.800,142276.000
2026-01-16,108.500,113.990,114.900,108.500,276234.000
2026-01-19,111.500,108.380,112.500,108.000,167541.000
2026-01-20,108.300,102.580,108.500,101.600,164245.000
2026-01-21,101.150,107.450,110.000,101.110,177968.000
2026-01-22,107.500,107.000,108.500,105.000,122362.000
2026-01-23,106.030,102.180,106.500,101.600,205822.000
2026-01-26,101.960,102.750,104.360,101.380,122479.000
2026-01-27,101.880,105.040,105.970,100.180,186645.000
2026-01-28,120.000,113.050,123.000,111.520,466382.000
2026-01-29,110.180,110.800,114.700,106.800,298769.000
2026-01-30,108.880,125.100,125.520,108.400,489176.000
2026-02-02,121.010,115.560,123.680,115.050,296990.000
