date,open,close,high,low,volume
2025-12-10,74.090,77.145,77.217,72.909,54099.000
2025-12-11,76.430,72.844,76.501,72.537,43569.000
2025-12-12,72.136,74.712,75.814,71.542,38886.000
2025-12-15,74.698,73.353,74.712,72.422,25185.000
2025-12-16,72.852,71.141,74.125,70.347,24254.000
2025-12-17,71.141,72.372,72.422,69.631,26936.000
2025-12-18,70.712,74.834,76.401,70.247,42172.000
2025-12-19,75.185,73.281,75.628,72.379,28814.000
2025-12-22,73.567,74.283,75.092,73.152,27118.000
2025-12-23,74.383,81.453,83.980,74.283,90840.000
2025-12-24,80.716,79.264,80.723,78.133,44403.000
2025-12-25,82.920,79.629,90.019,79.450,81484.000
2025-12-26,78.713,83.257,88.667,77.260,79823.000
2025-12-29,85.661,82.978,85.733,80.051,57506.000
2025-12-30,81.310,79.128,83.586,78.677,41980.000
2025-12-31,79.006,76.802,79.414,76.430,29080.000
2026-01-05,77.145,78.577,79.793,76.079,28588.000
2026-01-06,78.548,79.392,82.391,75.020,56265.000
2026-01-07,77.632,77.997,78.469,76.601,30953.000
2026-01-08,77.997,78.963,80.566,77.002,35107.000
2026-01-09,78.176,81.797,82.498,76.601,43678.000
2026-01-12,81.833,83.178,84.287,80.831,48843.000
2026-01-13,82.513,78.362,83.164,78.090,32731.000
2026-01-14,78.362,85.232,86.363,77.503,65913.000
2026-01-15,84.001,82.541,84.302,81.081,34551.000
2026-01-16,83.586,81.432,83.586,80.359,27819.000
2026-01-19,81.439,79.779,81.439,78.798,30094.000
2026-01-20,79.299,75.278,80.144,74.118,31637.000
2026-01-21,75.342,75.993,76.895,74.963,16728.000
2026-01-22,76.330,80.065,80.087,76.000,32735.000
2026-01-23,80.723,85.719,87.651,80.723,69222.000
2026-01-26,85.017,81.575,85.318,80.738,30251.000
2026-01-27,81.518,80.366,81.518,76.573,33166.000
2026-01-28,79.872,79.507,81.224,78.398,20005.000
2026-01-29,79.292,76.372,79.500,75.821,26744.000
2026-01-30,76.158,77.775,78.763,74.290,21898.000
2026-02-02,77.324,74.426,78.777,74.283,17811.000
2026-02-03,75.285,80.079,80.609,74.998,35942.000
2026-02-04,79.371,77.847,80.008,76.129,25324.000
2026-02-05,77.145,74.827,77.145,73.624,26736.000
2026-02-06,73.768,74.433,75.829,72.909,14573.000
2026-02-09,75.714,81.196,82.133,75.442,53813.000
2026-02-10,80.759,81.332,82.770,80.595,27665.000
2026-02-11,81.332,81.425,83.357,80.845,18410.000
2026-02-12,82.119,84.294,85.733,81.439,35121.000
2026-02-13,85.346,84.108,87.815,83.300,35475.000
2026-02-24,84.216,86.005,89.597,81.582,43524.000
2026-02-25,86.463,86.806,87.443,84.931,20522.000
2026-02-26,86.513,91.114,93.419,86.448,35477.000
2026-02-27,88.774,90.785,91.451,85.568,30755.000
2026-03-02,88.946,89.790,94.041,88.595,28269.000
2026-03-03,88.975,81.568,90.921,81.260,36762.000
2026-03-04,80.001,81.325,82.656,79.564,18958.000
2026-03-05,83.300,80.666,84.659,80.094,21573.000
2026-03-06,79.936,79.793,82.083,79.056,20479.000
2026-03-09,77.203,76.186,77.396,71.893,35106.000
2026-03-10,77.331,85.268,86.878,77.145,50668.000
2026-03-11,85.704,90.742,93.533,84.681,66561.000
2026-03-12,91.129,89.111,93.569,88.595,37791.000
2026-03-13,89.282,85.339,90.048,85.017,28272.000
2026-03-16,84.738,83.443,85.554,82.083,28449.000
2026-03-17,83.794,76.158,83.944,75.714,38026.000
2026-03-18,77.682,91.415,91.415,76.394,70970.000
2026-03-19,90.578,91.673,97.891,89.318,79511.000
2026-03-20,91.902,87.694,94.528,87.694,61678.000
2026-03-23,87.135,84.380,92.131,83.414,47890.000
2026-03-24,87.021,94.893,96.238,85.017,82011.000
2026-03-25,92.961,93.598,94.657,92.088,60377.000
2026-03-26,92.667,90.900,94.964,90.656,39751.000
2026-03-27,91.458,94.535,96.467,90.993,67150.000
2026-03-30,89.805,91.393,92.782,89.669,37805.000
2026-03-31,90.935,90.027,92.911,87.243,34946.000
2026-04-01,92.173,98.829,98.886,90.599,62117.000
2026-04-02,96.868,96.546,99.287,95.823,39141.000
2026-04-03,97.340,98.557,101.398,95.787,63390.000
2026-04-07,98.407,103.938,106.486,97.025,75343.000
2026-04-08,106.486,107.610,114.000,104.661,92573.000
2026-04-09,105.649,104.804,107.774,103.838,50657.000
2026-04-10,105.770,106.128,109.341,103.266,49560.000
2026-04-13,104.339,102.407,105.985,101.999,44896.000
2026-04-14,102.908,100.947,103.824,98.872,45633.000
2026-04-15,100.754,107.932,109.119,99.043,76143.000
2026-04-16,105.770,107.037,111.424,103.867,48602.000
2026-04-17,106.486,104.339,107.881,104.175,38441.000
2026-04-20,103.631,104.361,109.205,102.249,41298.000
2026-04-21,102.614,102.650,104.196,100.224,31373.000
2026-04-22,102.185,112.082,115.789,101.477,64946.000
2026-04-23,111.495,107.316,112.612,106.343,40433.000
2026-04-24,107.910,112.898,120.212,99.244,87353.000
2026-04-27,113.893,109.635,115.360,108.848,49180.000
2026-04-28,109.248,104.561,109.348,103.037,51565.000
2026-04-29,102.843,106.708,109.957,102.414,40409.000
2026-04-30,106.100,101.863,107.717,98.557,47849.000
2026-05-06,104.926,109.613,115.625,103.623,65107.000
2026-05-07,109.585,110.637,112.884,107.796,43035.000
2026-05-08,110.694,113.871,115.574,108.640,55827.000
2026-05-11,115.496,119.224,121.414,112.447,73235.000
2026-05-12,116.991,111.209,117.850,110.143,67158.000
2026-05-13,109.348,115.539,119.367,107.273,66529.000
2026-05-14,121.507,112.211,125.622,111.839,69113.000
2026-05-15,112.161,110.350,115.059,107.309,54813.000
2026-05-18,108.039,111.238,114.802,107.810,35722.000
2026-05-19,110.780,116.419,116.462,106.200,53269.000
2026-05-20,114.358,120.026,126.523,113.664,70361.000
2026-05-21,120.219,107.259,121.271,106.844,58580.000
2026-05-22,107.638,117.864,118.508,107.595,54773.000
2026-05-25,124.126,131.748,135.827,121.514,82160.000
2026-05-26,131.175,119.525,133.322,117.363,69245.000
2026-05-27,120.798,114.859,122.215,113.664,58895.000
