date,open,close,high,low,volume
2025-12-10,20.350,20.750,20.800,20.280,614501.000
2025-12-11,20.790,20.590,21.090,20.470,661066.000
2025-12-12,20.630,20.920,21.100,20.420,649316.000
2025-12-15,20.740,20.420,20.800,20.400,468123.000
2025-12-16,20.320,19.910,20.380,19.710,476816.000
2025-12-17,19.880,21.670,21.900,19.880,1744070.000
2025-12-18,21.800,22.600,22.950,21.770,2189782.000
2025-12-19,22.580,23.760,24.290,22.500,2002092.000
2025-12-22,24.400,26.140,26.140,24.250,1846722.000
2025-12-23,25.920,26.210,26.680,25.560,2278756.000
2025-12-24,26.190,26.930,27.080,26.190,1487615.000
2025-12-25,26.730,25.500,26.910,25.430,1646806.000
2025-12-26,25.400,25.450,25.920,25.010,1172628.000
2025-12-29,25.450,24.950,25.750,24.700,1063145.000
2025-12-30,24.810,24.460,25.000,24.380,827136.000
2025-12-31,24.550,24.730,25.390,24.310,1016338.000
2026-01-05,24.960,24.800,24.960,24.510,855787.000
2026-01-06,24.800,24.590,24.800,24.200,1026666.000
2026-01-07,24.630,24.920,25.380,24.530,1126673.000
2026-01-08,24.930,24.580,24.990,24.350,830795.000
2026-01-09,24.480,24.590,24.910,24.150,798333.000
2026-01-12,24.590,25.040,25.100,24.280,1152343.000
2026-01-13,25.110,24.050,25.110,23.780,1436270.000
2026-01-14,24.040,24.950,25.330,24.040,1446739.000
2026-01-15,24.800,24.910,25.100,24.400,723360.000
2026-01-16,25.290,25.630,26.000,25.170,1440458.000
2026-01-19,26.910,27.080,28.140,26.910,1958306.000
2026-01-20,27.400,27.780,28.200,27.080,1682723.000
2026-01-21,27.270,27.970,29.170,27.270,1422277.000
2026-01-22,27.720,26.990,28.200,26.580,1276802.000
2026-01-23,27.700,28.410,29.360,27.670,1453209.000
2026-01-26,29.000,31.010,31.250,29.000,2436387.000
2026-01-27,30.700,31.860,31.930,30.080,1884146.000
2026-01-28,33.990,33.620,35.000,33.140,1968013.000
2026-01-29,33.000,31.830,33.470,31.500,1406718.000
2026-01-30,32.000,35.010,35.010,32.000,1762707.000
2026-02-02,35.720,34.850,37.160,33.800,2772253.000
2026-02-03,35.500,36.280,37.800,35.160,1725315.000
2026-02-04,36.400,37.350,38.020,36.340,1522168.000
2026-02-05,35.810,34.730,36.240,34.200,1422598.000
2026-02-06,34.170,36.700,37.800,34.170,1806964.000
2026-02-09,38.070,38.690,39.150,35.630,2059271.000
2026-02-10,39.000,41.510,41.880,38.760,1822560.000
2026-02-11,39.700,41.100,43.550,39.700,1618042.000
2026-02-12,41.100,41.850,42.050,40.400,1207675.000
