date,open,close,high,low,volume
2025-12-10,16.710,17.220,17.240,16.520,1199705.000
2025-12-11,17.300,17.050,17.350,17.010,920870.000
2025-12-12,17.000,17.690,17.810,16.970,2278565.000
2025-12-15,17.520,17.580,17.800,17.470,1049518.000
2025-12-16,17.510,16.840,17.550,16.770,983936.000
2025-12-17,16.780,17.780,17.960,16.640,1496672.000
2025-12-18,17.780,18.020,18.380,17.600,1866553.000
2025-12-19,18.080,18.370,18.740,18.080,1409330.000
2025-12-22,18.410,19.720,19.980,18.410,2213993.000
2025-12-23,19.660,19.010,19.810,18.860,1710127.000
2025-12-24,18.900,19.220,19.350,18.860,1058682.000
2025-12-25,19.220,18.500,19.220,18.460,1375473.000
2025-12-26,18.450,18.400,18.640,18.200,893236.000
2025-12-29,18.410,18.100,18.560,18.010,832694.000
2025-12-30,18.000,18.080,18.320,17.910,622015.000
2025-12-31,18.060,18.120,18.430,18.030,732851.000
2026-01-05,18.150,18.300,18.540,18.150,940775.000
2026-01-06,18.350,18.260,18.370,18.060,998586.000
2026-01-07,18.200,18.330,18.630,18.170,1168303.000
2026-01-08,18.340,18.220,18.490,18.100,877753.000
2026-01-09,18.140,18.480,18.640,18.000,1261999.000
2026-01-12,18.560,18.610,18.650,18.280,1372082.000
2026-01-13,18.800,17.980,18.800,17.810,1602697.000
2026-01-14,17.900,18.060,18.300,17.860,1165193.000
2026-01-15,17.880,18.040,18.170,17.740,745735.000
2026-01-16,18.370,18.530,18.900,18.360,1690164.000
2026-01-19,19.120,19.250,19.720,19.070,2063052.000
2026-01-20,19.250,19.200,19.550,18.850,1220700.000
2026-01-21,18.900,19.200,19.500,18.860,1051457.000
2026-01-22,19.170,18.880,19.650,18.690,1150877.000
2026-01-23,19.090,19.790,20.390,19.090,2030646.000
2026-01-26,19.890,20.950,21.480,19.880,2466986.000
2026-01-27,20.900,21.140,21.380,20.450,1615460.000
2026-01-28,22.300,21.850,22.630,21.200,2221824.000
2026-01-29,21.460,21.070,21.960,20.940,1248689.000
2026-01-30,20.970,22.340,22.720,20.710,2257137.000
2026-02-02,22.490,21.440,22.570,21.310,1747308.000
2026-02-03,21.820,22.390,22.960,21.790,1563514.000
2026-02-04,22.360,22.500,23.120,22.020,1387637.000
2026-02-05,22.100,20.860,22.180,20.360,1736134.000
2026-02-06,20.500,21.910,22.450,20.450,1780004.000
2026-02-09,22.950,23.460,23.580,21.840,2130861.000
2026-02-10,23.320,24.340,24.530,23.320,1958170.000
2026-02-11,23.800,24.810,25.950,23.660,2088250.000
2026-02-12,25.020,25.210,25.790,24.500,1398095.000
2026-02-13,24.920,24.420,24.980,24.180,1221718.000
2026-02-24,25.350,25.630,26.280,25.170,1411563.000
2026-02-25,26.000,25.080,26.100,24.350,1478831.000
2026-02-26,26.050,27.590,27.590,25.900,1173154.000
2026-02-27,27.580,29.140,29.580,27.000,2784124.000
2026-03-02,28.010,30.200,31.820,28.010,2488771.000
2026-03-03,30.590,28.790,30.980,28.730,1754791.000
2026-03-04,28.050,28.830,29.500,28.050,1464931.000
2026-03-05,29.310,28.820,29.590,27.880,1754972.000
2026-03-06,28.450,27.380,28.880,27.220,1634252.000
2026-03-09,26.370,27.200,27.310,25.380,1554020.000
2026-03-10,27.550,28.900,29.180,27.410,1685445.000
2026-03-11,29.820,30.010,31.660,29.790,2448244.000
2026-03-12,29.600,30.240,31.380,29.500,1599298.000
2026-03-13,29.930,29.750,31.740,29.700,1328936.000
2026-03-16,30.050,28.280,30.360,28.000,1269791.000
2026-03-17,28.580,26.120,28.720,26.000,1602169.000
2026-03-18,26.160,26.600,26.720,25.700,1203826.000
2026-03-19,25.890,25.900,26.490,25.690,852994.000
2026-03-20,26.380,25.700,26.840,25.520,1313512.000
2026-03-23,24.600,25.100,25.870,24.600,995117.000
2026-03-24,25.630,26.100,26.230,25.000,1231570.000
2026-03-25,27.000,27.670,27.930,26.710,1762654.000
2026-03-26,27.300,26.770,28.080,26.700,1131724.000
2026-03-27,26.250,27.050,27.610,25.910,1153870.000
2026-03-30,26.650,28.990,29.460,26.560,1649417.000
2026-03-31,28.860,30.090,31.100,28.030,2335706.000
2026-04-01,30.990,29.160,30.990,28.600,1587607.000
2026-04-02,29.150,29.320,30.620,29.110,1427117.000
2026-04-03,29.460,30.670,31.500,29.250,1963989.000
2026-04-07,30.820,30.250,31.770,30.060,1499965.000
2026-04-08,30.980,30.700,31.170,29.500,1916845.000
2026-04-09,30.280,31.400,32.180,29.410,2222982.000
2026-04-10,31.380,29.800,31.400,29.500,2575517.000
2026-04-13,29.410,28.520,29.630,28.330,2167335.000
2026-04-14,28.800,28.330,29.420,27.880,1721968.000
2026-04-15,28.260,27.800,29.140,27.680,1562966.000
2026-04-16,27.810,28.000,28.330,27.420,1288208.000
2026-04-17,28.010,28.140,28.500,27.620,1605282.000
2026-04-20,28.900,30.950,30.950,28.830,2247838.000
2026-04-21,31.000,32.440,32.880,30.780,3957275.000
2026-04-22,32.540,34.820,34.840,32.500,3003972.000
2026-04-23,34.000,34.070,35.040,33.200,2857762.000
2026-04-24,34.000,33.210,34.500,32.580,2099211.000
2026-04-27,34.290,35.780,36.530,34.230,3393558.000
2026-04-28,35.780,35.000,36.460,34.000,2647729.000
2026-04-29,34.200,34.280,34.490,33.330,1784217.000
2026-04-30,34.300,33.120,34.350,32.510,2123488.000
2026-05-06,33.670,34.890,35.250,33.670,2344121.000
2026-05-07,36.100,38.380,38.380,35.000,2891081.000
2026-05-08,38.200,40.900,41.160,38.200,3121181.000
2026-05-11,44.980,43.860,44.990,42.750,4148832.000
2026-05-12,44.000,44.080,46.180,43.250,4281311.000
2026-05-13,42.540,43.600,43.940,42.540,2852067.000
2026-05-14,44.500,44.100,45.960,43.680,3745868.000
2026-05-15,44.380,40.990,44.900,40.110,3651492.000
2026-05-18,41.900,43.950,44.680,41.900,3262116.000
2026-05-19,43.000,44.550,44.900,41.290,3196647.000
2026-05-20,44.550,45.410,47.400,43.800,3397230.000
2026-05-21,45.000,41.900,45.770,41.850,3085398.000
2026-05-22,42.690,43.820,43.880,42.480,2264915.000
2026-05-25,44.290,42.890,44.660,41.800,2809496.000
2026-05-26,42.000,40.480,42.050,39.260,2931741.000
2026-05-27,39.800,39.050,40.900,38.820,2221748.000
2026-05-28,39.250,40.520,40.740,37.750,2400489.000
2026-05-29,41.000,42.190,43.600,38.850,3852300.000
2026-06-01,42.000,39.390,42.150,39.070,2462325.000
2026-06-02,39.030,42.890,43.330,39.030,4059782.000
2026-06-03,43.890,44.980,46.980,43.400,4191823.000
2026-06-04,43.810,46.060,47.180,43.810,3543682.000
2026-06-05,45.080,46.070,49.370,44.950,4065648.000
2026-06-08,44.000,49.530,50.680,44.000,5131565.000
2026-06-09,50.530,54.480,54.480,48.560,4848082.000
2026-06-10,52.500,50.200,53.790,49.180,3836724.000
2026-06-11,49.690,49.270,51.000,48.050,2899092.000
2026-06-12,50.720,48.600,52.200,48.590,3301235.000
2026-06-15,49.970,51.350,51.470,46.880,3099242.000
2026-06-16,51.400,54.150,55.160,51.000,3175822.000
2026-06-17,52.650,54.910,56.320,52.630,3096590.000
2026-06-18,54.130,56.550,57.770,54.130,2846263.000
2026-06-22,58.380,59.630,61.180,57.570,2993802.000
2026-06-23,60.300,61.730,64.640,58.470,3239779.000
2026-06-24,60.000,61.910,63.990,59.800,2991124.000
2026-06-25,63.400,68.100,68.100,61.810,3160833.000
2026-06-26,65.660,61.290,66.480,61.290,3954530.000
