date,open,close,high,low,volume
2025-12-10,119.550,117.620,120.440,113.420,334389.000
2025-12-11,116.720,114.460,120.520,114.460,299584.000
2025-12-12,113.520,119.120,124.470,113.400,415881.000
2025-12-15,114.730,111.600,116.530,111.240,296132.000
2025-12-16,109.550,106.320,112.350,105.050,225751.000
2025-12-17,106.720,112.720,113.550,106.690,291613.000
2025-12-18,110.220,112.230,117.350,110.220,266518.000
2025-12-19,114.020,110.750,115.690,110.040,231325.000
2025-12-22,112.720,117.300,118.210,112.320,306443.000
2025-12-23,117.320,119.990,123.620,117.320,290460.000
2025-12-24,120.240,128.830,132.020,120.240,420034.000
2025-12-25,127.220,125.520,131.220,123.180,301157.000
2025-12-26,123.690,126.490,127.720,121.320,232657.000
2025-12-29,127.330,134.520,138.520,126.750,385252.000
2025-12-30,133.050,137.830,144.420,132.730,334597.000
2025-12-31,134.840,134.100,137.270,130.670,304443.000
2026-01-05,133.720,129.750,134.190,127.730,282797.000
2026-01-06,127.220,124.080,128.450,122.300,298888.000
2026-01-07,125.720,125.720,127.370,124.210,244182.000
2026-01-08,124.490,123.580,126.380,122.720,181692.000
2026-01-09,119.920,123.400,124.230,118.320,211910.000
2026-01-12,122.220,121.640,123.390,119.550,240793.000
2026-01-13,120.720,117.120,123.180,116.720,246563.000
2026-01-14,118.210,118.970,121.290,115.710,264163.000
2026-01-15,116.920,125.560,125.720,116.890,292291.000
2026-01-16,128.150,129.520,130.920,126.760,310936.000
2026-01-19,116.540,116.540,119.600,116.540,293154.000
2026-01-20,114.690,107.020,115.700,105.230,335731.000
2026-01-21,106.720,112.650,114.210,106.540,241330.000
2026-01-22,112.520,112.560,114.010,111.000,165735.000
2026-01-23,111.730,109.100,112.510,107.870,222176.000
2026-01-26,109.020,110.670,111.320,108.920,170816.000
2026-01-27,109.770,112.120,113.720,107.410,204307.000
2026-01-28,112.150,111.920,113.870,111.280,158839.000
2026-01-29,112.100,110.030,114.510,109.620,195874.000
2026-01-30,108.410,113.410,114.710,108.320,218398.000
2026-02-02,114.030,106.730,115.490,106.380,223451.000
2026-02-03,109.220,112.260,112.540,107.480,243868.000
2026-02-04,110.260,106.850,110.680,102.720,245778.000
2026-02-05,104.160,102.220,105.820,101.720,187696.000
2026-02-06,100.020,100.600,102.480,98.560,158850.000
2026-02-09,104.720,104.830,106.300,101.820,187380.000
