date,open,close,high,low,volume
2025-12-10,160.990,172.900,180.950,160.880,28164601.000
2025-12-11,172.480,163.660,176.000,163.170,18850663.000
2025-12-12,166.110,174.550,183.720,166.110,21337814.000
2025-12-15,164.800,163.980,174.970,162.000,15872161.000
2025-12-16,166.600,153.440,167.000,150.080,12951198.000
2025-12-17,153.530,160.000,164.360,153.530,14448170.000
2025-12-18,155.940,162.130,168.000,155.940,13010114.000
2025-12-19,167.000,151.000,167.760,150.120,14223003.000
2025-12-22,153.990,154.110,155.860,148.860,13152115.000
2025-12-23,154.140,158.000,164.380,146.270,19369778.000
2025-12-24,158.320,155.620,160.990,151.580,13586552.000
2025-12-25,157.860,152.800,162.880,147.810,14463761.000
2025-12-26,148.990,145.510,150.500,142.000,12221099.000
2025-12-29,145.000,143.760,147.500,142.230,9745547.000
2025-12-30,142.800,142.880,145.980,141.380,9747180.000
2025-12-31,143.050,137.480,143.700,136.780,11088939.000
2026-01-05,136.470,137.440,138.700,134.440,9020166.000
2026-01-06,137.300,139.000,140.770,134.580,10636487.000
2026-01-07,139.000,158.780,162.500,136.100,24172859.000
2026-01-08,153.130,147.700,153.150,146.250,16323221.000
2026-01-09,144.940,150.420,155.900,141.060,13543690.000
2026-01-12,145.060,142.680,145.900,138.310,14080945.000
2026-01-13,141.310,141.230,145.600,136.660,12358440.000
2026-01-14,143.970,145.900,153.000,138.910,14447300.000
2026-01-15,141.060,148.240,149.980,139.500,10703609.000
2026-01-16,147.140,153.480,156.880,146.990,12694664.000
2026-01-19,150.010,142.020,151.000,141.980,8907922.000
2026-01-20,141.500,134.180,143.550,131.400,8787680.000
2026-01-21,131.400,137.000,138.400,130.600,5353028.000
2026-01-22,139.600,142.460,144.000,137.000,8132650.000
2026-01-23,140.700,136.210,140.740,135.080,8027738.000
2026-01-26,133.500,138.360,139.390,133.390,6731301.000
2026-01-27,137.000,139.930,140.990,132.450,7324587.000
2026-01-28,143.660,151.360,155.000,143.520,15633165.000
2026-01-29,161.000,157.000,164.900,152.550,18428254.000
2026-01-30,157.470,166.000,172.600,157.470,19172436.000
2026-02-02,168.990,168.050,177.000,166.500,15157508.000
2026-02-03,173.800,191.480,193.410,170.660,19147856.000
2026-02-04,192.860,196.020,199.190,178.000,15265256.000
2026-02-05,188.000,173.760,191.600,170.880,14278683.000
2026-02-06,166.500,165.360,178.000,165.140,9734770.000
2026-02-09,168.930,178.590,185.480,162.000,12686830.000
2026-02-10,178.500,170.000,182.940,168.500,8001610.000
2026-02-11,167.000,164.000,169.320,162.650,6107271.000
2026-02-12,163.100,173.700,177.440,162.000,10981237.000
2026-02-13,167.000,159.900,169.840,159.390,8702254.000
2026-02-24,164.000,176.000,184.200,161.660,11281876.000
2026-02-25,175.000,166.990,175.600,164.670,8473534.000
2026-02-26,168.150,169.990,171.970,164.670,9021408.000
2026-02-27,163.180,163.670,164.900,158.640,8876824.000
2026-03-02,160.010,185.410,188.880,158.700,19039659.000
2026-03-03,192.000,177.000,194.700,176.000,11321837.000
2026-03-04,175.000,179.910,184.170,172.520,9012789.000
2026-03-05,186.000,179.600,191.550,176.000,11093984.000
2026-03-06,175.000,169.000,179.860,164.560,11645094.000
2026-03-09,158.030,158.930,160.290,149.000,10802572.000
2026-03-10,167.000,181.000,183.000,167.000,15665215.000
2026-03-11,182.740,186.250,197.880,182.740,13317661.000
2026-03-12,187.000,185.600,191.850,176.510,10580577.000
2026-03-13,182.260,182.400,192.660,181.000,10985818.000
2026-03-16,184.250,183.800,188.550,177.400,10743476.000
2026-03-17,182.000,161.960,183.500,161.430,13231666.000
2026-03-18,168.880,173.850,175.980,163.440,12080404.000
2026-03-19,169.840,179.270,186.000,169.600,11582602.000
2026-03-20,195.000,176.630,198.000,176.100,18969988.000
2026-03-23,169.400,167.710,178.490,165.010,12970516.000
2026-03-24,171.000,179.270,183.730,167.680,15468574.000
2026-03-25,187.000,193.380,196.690,185.070,17239704.000
2026-03-26,196.670,188.880,196.970,186.610,7965285.000
2026-03-27,180.860,205.570,209.530,176.280,15446449.000
2026-03-30,198.000,206.570,209.680,195.120,11534513.000
2026-03-31,196.120,184.000,198.000,182.730,12922283.000
2026-04-01,193.000,202.000,202.000,188.590,13103001.000
2026-04-02,195.000,206.010,212.000,195.000,12392820.000
2026-04-03,219.980,247.210,247.210,219.000,16182663.000
2026-04-07,245.040,234.280,245.820,232.190,15037455.000
2026-04-08,248.000,248.000,248.500,235.350,15455701.000
2026-04-09,245.000,243.000,260.000,242.070,14496168.000
2026-04-10,248.400,236.300,252.630,230.500,15943617.000
2026-04-13,231.040,233.500,235.980,227.060,10801621.000
2026-04-14,238.000,251.220,262.600,235.000,17181411.000
2026-04-15,248.000,242.020,253.000,238.520,12881755.000
2026-04-16,238.000,240.810,244.440,235.000,9854594.000
2026-04-17,246.320,255.900,257.000,240.210,17424293.000
2026-04-20,252.360,247.010,264.870,246.000,13892411.000
2026-04-21,242.000,258.510,258.510,237.180,13252683.000
2026-04-22,253.000,268.000,273.770,252.200,13511038.000
2026-04-23,271.000,242.280,284.830,238.000,20521956.000
2026-04-24,237.000,229.600,244.910,224.500,14435311.000
2026-04-27,231.440,236.570,243.880,225.000,10827409.000
2026-04-28,252.000,253.010,264.590,243.010,18425257.000
2026-04-29,245.470,234.800,249.000,230.300,14585193.000
2026-04-30,243.000,240.960,255.800,236.660,14560935.000
2026-05-06,243.370,242.220,249.870,233.330,16107492.000
2026-05-07,238.250,255.900,258.050,236.080,14998824.000
2026-05-08,246.700,251.320,255.680,245.800,11278173.000
2026-05-11,256.490,268.880,275.680,246.500,16045200.000
2026-05-12,287.870,292.580,310.880,278.000,18771880.000
2026-05-13,292.580,296.330,306.560,286.810,12687341.000
2026-05-14,296.330,285.180,305.300,284.890,10664365.000
2026-05-15,280.160,266.010,288.990,260.560,13398331.000
2026-05-18,261.800,272.000,280.870,258.090,9329331.000
2026-05-19,266.910,258.000,268.000,243.920,13292154.000
2026-05-20,256.970,267.070,268.980,248.490,11289256.000
2026-05-21,270.000,249.740,271.060,248.890,10265139.000
2026-05-22,254.800,256.800,259.700,251.100,7957560.000
2026-05-25,265.000,260.700,266.880,250.500,9472299.000
2026-05-26,258.000,242.200,258.100,238.100,11467331.000
2026-05-27,242.900,239.200,248.880,235.600,9184650.000
2026-05-28,236.600,249.110,249.860,228.300,10746674.000
2026-05-29,245.520,237.410,248.000,235.200,9011825.000
2026-06-01,237.920,220.010,239.300,220.010,8359611.000
2026-06-02,221.990,232.590,234.570,218.000,8939632.000
2026-06-03,240.000,241.000,250.000,232.880,11624837.000
2026-06-04,231.100,233.950,238.280,231.100,8580990.000
2026-06-05,229.500,226.700,242.900,225.000,9780483.000
2026-06-08,209.100,206.330,217.000,203.200,9404105.000
2026-06-09,210.450,228.210,236.800,207.040,11660864.000
2026-06-10,221.000,221.300,229.100,214.650,8171242.000
2026-06-11,225.550,236.370,238.800,218.990,10010452.000
2026-06-12,240.600,220.000,242.200,220.000,11070517.000
2026-06-15,224.390,233.300,233.800,221.440,8105468.000
2026-06-16,233.370,239.120,245.250,228.770,11226267.000
2026-06-17,231.000,237.030,238.560,225.800,12978924.000
2026-06-18,234.150,252.400,255.000,233.500,13715320.000
