date,open,close,high,low,volume
2025-12-10,92.960,95.800,97.100,92.470,28886575.000
2025-12-11,96.320,97.500,103.600,94.730,34595203.000
2025-12-12,96.620,108.700,110.810,93.200,56162387.000
2025-12-15,102.680,97.270,103.600,97.270,36942845.000
2025-12-16,97.880,95.260,99.680,94.770,24930977.000
2025-12-17,96.540,101.600,102.280,94.700,29069743.000
2025-12-18,98.280,97.280,100.500,97.200,20411214.000
2025-12-19,99.580,94.300,99.790,93.920,19723872.000
2025-12-22,97.240,97.110,99.900,96.130,22809147.000
2025-12-23,97.700,96.010,100.700,94.550,24543171.000
2025-12-24,96.430,93.980,97.270,93.010,20353511.000
2025-12-25,95.100,96.160,96.660,91.200,23334165.000
2025-12-26,95.200,90.890,95.200,90.250,27580340.000
2025-12-29,90.710,89.040,91.900,88.610,26966526.000
2025-12-30,87.760,90.300,92.500,87.390,28960235.000
2025-12-31,89.700,88.480,91.190,87.780,15770945.000
2026-01-05,88.680,88.530,89.270,86.870,21282878.000
2026-01-06,87.250,86.230,88.100,84.420,29072601.000
2026-01-07,86.990,88.500,89.280,86.510,28627195.000
2026-01-08,87.620,85.710,88.580,85.200,22480424.000
2026-01-09,84.420,87.700,88.350,82.900,29466481.000
2026-01-12,86.140,82.710,86.140,80.700,44334895.000
2026-01-13,81.720,79.600,83.780,79.270,30219367.000
2026-01-14,80.670,81.180,83.130,79.250,30404866.000
2026-01-15,80.680,87.130,87.200,80.340,40064031.000
2026-01-16,89.210,86.700,89.490,85.780,30770761.000
2026-01-19,85.200,82.710,85.200,81.480,27221098.000
2026-01-20,81.860,79.000,82.450,78.260,23881567.000
2026-01-21,78.620,80.840,81.690,78.500,19758214.000
2026-01-22,81.700,81.300,82.200,79.580,21339993.000
2026-01-23,81.200,79.680,81.210,78.710,20205012.000
2026-01-26,79.700,78.710,80.950,78.510,17510237.000
2026-01-27,78.300,83.800,84.300,77.700,38568339.000
2026-01-28,81.500,83.030,85.330,80.900,38482709.000
2026-01-29,82.710,85.380,87.680,81.650,42429203.000
2026-01-30,84.260,91.600,93.630,82.270,53692338.000
2026-02-02,93.200,87.890,95.570,87.700,41068658.000
2026-02-03,89.600,90.370,92.690,86.170,35482637.000
2026-02-04,88.400,84.310,89.200,82.740,31504731.000
2026-02-05,81.700,78.850,83.220,78.700,21551055.000
2026-02-06,77.730,78.350,81.190,77.360,17464679.000
2026-02-09,81.300,86.870,89.680,79.700,41764248.000
2026-02-10,87.140,86.100,90.580,86.090,25403206.000
2026-02-11,84.700,83.570,87.390,82.930,19120169.000
2026-02-12,84.560,87.680,89.590,84.310,31822671.000
2026-02-13,86.010,82.500,86.510,82.380,25749682.000
2026-02-24,84.870,85.150,88.090,83.210,27138444.000
2026-02-25,84.500,84.710,86.500,82.550,20881951.000
2026-02-26,85.210,87.650,88.700,82.810,35715144.000
2026-02-27,84.710,83.780,85.170,83.090,27258350.000
2026-03-02,80.710,85.260,87.200,80.710,31165151.000
2026-03-03,88.530,86.040,92.280,85.850,45166688.000
2026-03-04,83.300,84.090,87.680,82.360,29196804.000
2026-03-05,86.600,83.990,89.860,81.700,42871154.000
2026-03-06,82.940,82.290,84.580,80.550,27856537.000
2026-03-09,80.150,77.100,80.170,73.700,33123703.000
2026-03-10,79.570,82.690,83.080,78.710,33913491.000
2026-03-11,83.410,82.460,87.260,82.250,32246747.000
2026-03-12,82.210,83.230,85.700,80.070,30140283.000
2026-03-13,81.660,81.240,83.320,80.500,22266888.000
2026-03-16,81.030,81.690,82.080,79.700,18197597.000
2026-03-17,82.350,76.050,82.350,75.910,25659475.000
2026-03-18,77.090,77.560,77.950,75.570,16050852.000
2026-03-19,75.580,79.650,82.500,75.360,27805482.000
2026-03-20,81.900,83.660,86.900,81.880,52411163.000
2026-03-23,79.690,77.370,81.500,76.500,31393077.000
2026-03-24,79.700,79.890,80.700,76.200,25807580.000
2026-03-25,82.200,85.470,86.450,82.010,46131000.000
2026-03-26,83.700,86.210,89.670,83.700,41767744.000
2026-03-27,83.460,88.300,91.200,81.510,43686368.000
2026-03-30,85.900,89.520,90.890,85.240,35281158.000
2026-03-31,87.660,82.890,87.660,82.360,33950769.000
2026-04-01,86.200,88.580,88.670,83.710,42102865.000
2026-04-02,87.700,92.500,96.140,87.410,58395960.000
2026-04-03,95.600,96.100,99.550,93.620,47095098.000
2026-04-07,94.200,91.190,96.250,89.750,41293853.000
2026-04-08,94.850,98.510,98.510,93.280,44135455.000
2026-04-09,96.540,106.680,112.340,96.280,59266409.000
2026-04-10,108.710,105.700,110.700,101.380,59564200.000
2026-04-13,104.700,116.500,119.690,104.700,58009270.000
2026-04-14,115.900,120.390,121.200,112.700,46785905.000
2026-04-15,117.690,114.290,118.700,112.870,39036463.000
2026-04-16,113.510,114.590,116.700,110.500,33262510.000
2026-04-17,117.700,125.490,132.410,117.090,51867814.000
2026-04-20,126.720,125.050,139.660,122.450,55420763.000
2026-04-21,123.850,136.050,139.030,123.630,48357288.000
2026-04-22,138.610,145.680,151.800,138.610,46242204.000
2026-04-23,144.500,139.000,148.380,135.700,43066776.000
2026-04-24,142.210,143.200,149.560,138.480,45616532.000
2026-04-27,141.700,144.960,149.690,133.710,46464704.000
2026-04-28,142.700,133.840,147.580,131.760,46037366.000
2026-04-29,129.990,130.860,134.900,127.700,34714930.000
2026-04-30,134.700,131.520,135.600,130.200,28785862.000
2026-05-06,135.700,150.930,155.300,135.700,51123081.000
2026-05-07,149.700,168.920,170.960,147.080,42311599.000
2026-05-08,164.700,176.300,179.600,162.880,34974656.000
2026-05-11,176.370,178.300,182.900,172.200,34435002.000
2026-05-12,183.700,180.670,191.500,180.670,30241287.000
2026-05-13,175.250,179.360,180.900,173.730,27845929.000
2026-05-14,184.200,182.230,187.880,177.110,30371609.000
2026-05-15,187.480,175.300,193.260,169.950,32943136.000
2026-05-18,175.700,173.120,178.380,169.910,25917385.000
2026-05-19,171.700,173.010,173.810,162.680,25527111.000
2026-05-20,172.050,184.600,188.160,167.500,32856991.000
2026-05-21,187.700,167.580,187.880,165.700,35229477.000
2026-05-22,172.700,174.420,180.590,161.580,39095101.000
2026-05-25,176.700,181.820,184.570,173.880,32905341.000
2026-05-26,179.700,170.780,179.700,165.900,31104720.000
2026-05-27,159.700,154.700,162.480,148.900,51072808.000
2026-05-28,152.700,163.480,165.700,151.880,33536712.000
2026-05-29,166.710,162.390,168.100,157.700,26070928.000
2026-06-01,159.710,146.000,160.500,145.760,31098255.000
2026-06-02,151.480,154.200,157.100,146.580,26267389.000
2026-06-03,160.500,168.560,180.700,158.230,46395840.000
2026-06-04,162.830,165.150,168.680,162.660,29285027.000
2026-06-05,161.700,156.490,174.290,153.700,34206743.000
2026-06-08,142.800,148.980,154.700,142.800,23209882.000
2026-06-09,153.060,160.590,161.720,151.980,24826796.000
2026-06-10,154.200,151.330,157.250,148.700,18317841.000
2026-06-11,152.050,151.500,155.580,148.060,18932043.000
2026-06-12,160.000,149.070,162.000,147.500,22677746.000
2026-06-15,152.000,166.530,166.880,150.000,32291518.000
2026-06-16,169.000,172.910,177.500,166.050,34721022.000
2026-06-17,167.680,169.520,171.970,165.700,32039043.000
2026-06-18,171.000,175.440,177.460,168.180,32893306.000
2026-06-22,181.000,182.550,188.990,176.800,35333462.000
2026-06-23,178.600,199.980,205.790,172.600,40968015.000
2026-06-24,193.000,203.330,206.670,191.080,35118481.000
2026-06-25,204.000,199.940,205.920,193.000,29118751.000
2026-06-26,193.500,179.700,194.000,173.500,34393452.000
