date,open,close,high,low,volume
2025-12-10,467.626,476.986,487.569,450.927,3539881.000
2025-12-11,472.403,457.202,484.815,457.202,2953020.000
2025-12-12,462.538,462.800,484.124,447.841,3789228.000
2025-12-15,437.873,436.492,457.892,432.095,3821210.000
2025-12-16,441.324,413.705,441.324,410.978,3656181.000
2025-12-17,420.615,457.892,474.460,411.005,4659134.000
2025-12-18,447.544,437.597,451.679,433.096,2740830.000
2025-12-19,444.086,425.475,445.446,424.170,2677817.000
2025-12-22,438.770,440.634,461.392,438.080,3744941.000
2025-12-23,445.984,443.112,459.825,433.041,2745130.000
2025-12-24,438.563,445.156,454.199,431.011,3219546.000
2025-12-25,442.712,467.557,469.628,439.164,4114202.000
2025-12-26,455.207,442.705,466.176,437.873,3437542.000
2025-12-29,433.841,471.975,488.266,432.350,4941990.000
2025-12-30,466.176,454.758,502.073,450.996,4029542.000
2025-12-31,460.902,442.698,462.504,434.504,2755062.000
2026-01-05,448.228,457.892,466.176,442.705,3321325.000
2026-01-06,442.919,445.466,454.875,427.518,4801788.000
2026-01-07,458.582,483.227,488.349,453.750,4909385.000
2026-01-08,476.669,493.099,502.073,472.983,3626476.000
2026-01-09,482.744,518.640,531.066,467.557,5614493.000
2026-01-12,503.453,487.576,516.307,482.723,5008121.000
2026-01-13,477.815,461.109,488.266,460.308,3980627.000
2026-01-14,465.941,485.505,493.789,457.892,4594095.000
2026-01-15,475.157,529.679,531.066,471.699,3929281.000
2026-01-16,528.995,515.907,536.589,511.054,3108576.000
2026-01-19,509.570,516.079,520.711,504.075,1955788.000
2026-01-20,516.079,491.497,516.079,483.752,3122097.000
2026-01-21,492.042,494.824,515.513,489.992,2649089.000
2026-01-22,498.331,526.234,532.516,495.377,3055306.000
2026-01-23,519.676,496.964,530.914,493.119,3412386.000
2026-01-26,489.647,506.905,520.297,488.957,2783569.000
2026-01-27,500.002,563.511,574.584,499.284,4595380.000
2026-01-28,563.808,572.831,603.191,556.608,3809864.000
2026-01-29,573.797,558.023,595.342,555.228,3371276.000
2026-01-30,546.039,567.653,591.808,537.976,3376769.000
2026-02-02,560.854,557.091,594.576,551.700,3070435.000
2026-02-03,570.539,553.847,588.763,519.331,4633372.000
2026-02-04,552.466,554.116,566.259,515.189,4622156.000
2026-02-05,537.970,516.217,547.020,508.983,3820474.000
2026-02-06,495.170,495.860,515.182,481.418,3351953.000
2026-02-09,515.189,522.044,540.034,503.488,4698749.000
2026-02-10,548.849,531.059,584.911,520.711,5261653.000
2026-02-11,520.435,508.700,533.137,497.931,3956308.000
2026-02-12,513.118,530.590,544.859,508.148,4498594.000
2026-02-13,512.151,515.175,530.203,498.538,2881346.000
2026-02-24,535.208,537.666,555.911,525.544,3067212.000
2026-02-25,532.882,541.973,552.673,520.829,2669877.000
2026-02-26,551.776,563.373,568.344,537.976,3655118.000
2026-02-27,544.873,530.997,547.979,521.864,3877712.000
2026-03-02,518.606,589.744,589.744,513.815,5232686.000
2026-03-03,601.548,603.550,633.234,598.966,4561280.000
2026-03-04,596.730,611.523,626.331,573.977,3190320.000
2026-03-05,620.794,589.053,625.433,585.602,3600342.000
2026-03-06,583.358,586.913,610.453,568.813,2551163.000
2026-03-09,556.560,556.125,564.112,525.558,3715870.000
2026-03-10,572.486,633.137,635.836,567.653,4355018.000
2026-03-11,627.083,621.153,635.988,620.808,2433224.000
2026-03-12,620.194,607.002,633.938,597.558,2634447.000
2026-03-13,598.373,606.518,619.400,589.744,2142260.000
2026-03-16,606.477,627.014,627.711,592.505,2463603.000
2026-03-17,621.498,572.651,627.704,569.724,3546233.000
2026-03-18,584.911,613.215,617.336,584.221,3389052.000
2026-03-19,609.073,655.324,672.582,606.311,4201609.000
2026-03-20,684.829,769.220,786.485,681.556,6161506.000
2026-03-23,730.742,709.169,750.464,699.505,4939145.000
2026-03-24,722.285,734.711,748.435,691.221,3355603.000
2026-03-25,775.440,787.176,804.434,754.731,3543143.000
2026-03-26,771.423,786.492,836.527,760.944,3529443.000
2026-03-27,742.470,758.948,783.034,739.454,3496120.000
2026-03-30,745.059,732.640,758.873,717.453,3905481.000
2026-03-31,707.098,693.596,719.545,687.079,3396122.000
2026-04-01,724.356,731.260,742.864,703.854,3273363.000
2026-04-02,724.356,713.311,751.886,709.466,2335893.000
2026-04-03,734.725,748.518,771.002,728.167,2929340.000
2026-04-07,738.163,742.988,751.693,725.047,2410609.000
2026-04-08,784.276,784.414,784.414,741.732,4006966.000
2026-04-09,779.582,778.326,792.615,757.478,2431124.000
2026-04-10,778.892,845.184,874.847,774.495,3890883.000
2026-04-13,834.808,873.466,912.234,827.905,3204615.000
2026-04-14,872.776,863.449,900.320,856.139,2884249.000
2026-04-15,858.969,887.272,924.467,858.969,3284732.000
2026-04-16,875.537,905.911,905.911,874.847,2427248.000
2026-04-17,924.039,997.034,1007.444,910.743,3520831.000
2026-04-20,987.369,957.451,987.369,935.595,3609710.000
2026-04-21,948.711,965.210,973.004,932.986,2696909.000
2026-04-22,948.166,1010.184,1032.240,948.166,3761359.000
2026-04-23,1009.805,962.511,1031.550,938.356,4036959.000
2026-04-24,961.820,962.518,986.775,928.457,3804950.000
2026-04-27,965.410,978.395,981.840,924.550,3443257.000
2026-04-28,1012.276,995.425,1046.737,961.655,4394573.000
2026-04-29,985.850,1045.356,1081.246,980.466,3889125.000
2026-04-30,1059.163,1084.014,1111.151,1033.262,2796088.000
2026-05-06,1096.440,1056.408,1112.317,1038.487,3978077.000
2026-05-07,1061.234,1124.053,1130.266,1017.743,3879984.000
2026-05-08,1100.941,1086.775,1121.292,1081.819,2936420.000
2026-05-11,1099.201,1120.601,1139.157,1069.531,3348753.000
2026-05-12,1150.975,1194.466,1219.234,1149.595,3567072.000
2026-05-13,1148.904,1178.588,1184.787,1139.440,3435483.000
2026-05-14,1173.066,1128.195,1184.801,1122.976,4018644.000
2026-05-15,1092.333,1075.730,1138.467,1045.356,4864984.000
2026-05-18,1048.000,1058.080,1104.000,1041.810,5416335.000
2026-05-19,1032.120,1068.000,1072.790,1000.080,4895054.000
2026-05-20,1065.000,1114.940,1115.000,1056.650,5378370.000
2026-05-21,1121.700,1038.040,1123.000,1025.750,5181781.000
2026-05-22,1060.000,1066.400,1085.000,1040.000,4542580.000
2026-05-25,1067.870,1084.160,1092.000,1039.330,5273209.000
2026-05-26,1063.000,1041.100,1073.880,1025.000,5558392.000
2026-05-27,1046.590,1124.000,1138.880,1046.590,7646541.000
2026-05-28,1110.000,1142.180,1156.760,1077.000,6516254.000
2026-05-29,1172.000,1132.790,1188.880,1090.020,5493679.000
2026-06-01,1133.500,1073.440,1149.970,1060.020,5612037.000
2026-06-02,1089.360,1206.910,1235.000,1089.360,7942172.000
2026-06-03,1240.990,1405.000,1437.770,1240.000,7694121.000
2026-06-04,1350.000,1373.900,1405.930,1350.000,4980447.000
2026-06-05,1374.000,1320.720,1448.680,1300.000,7191811.000
2026-06-08,1278.880,1389.880,1413.000,1278.000,7077733.000
2026-06-09,1417.670,1475.000,1509.980,1355.000,6252198.000
2026-06-10,1450.000,1450.000,1495.000,1408.110,4892955.000
2026-06-11,1460.000,1452.000,1505.000,1396.000,5646047.000
2026-06-12,1494.000,1400.010,1530.000,1400.010,9742555.000
2026-06-15,1415.000,1464.880,1465.010,1360.000,6555554.000
2026-06-16,1460.000,1608.880,1628.800,1432.000,6359219.000
2026-06-17,1561.030,1612.000,1627.770,1561.030,4399674.000
2026-06-18,1600.000,1673.360,1712.000,1591.810,4402872.000
2026-06-22,1673.360,1873.500,1879.730,1673.360,4773807.000
2026-06-23,1855.000,1818.300,1968.140,1788.000,5234798.000
2026-06-24,1812.010,1838.000,1868.890,1779.120,4089652.000
2026-06-25,1810.550,1875.000,1898.000,1777.940,4037986.000
2026-06-26,1825.940,1776.910,1834.720,1730.000,4861969.000
