date,open,close,high,low,volume
2026-03-30,15.345,15.755,15.815,15.325,103015.000
2026-03-31,15.725,15.405,15.775,15.395,80063.000
2026-04-01,15.685,15.685,15.735,15.515,83313.000
2026-04-02,15.705,15.665,15.975,15.555,103943.000
2026-04-03,15.675,15.435,15.755,15.405,82470.000
2026-04-07,15.475,15.725,15.795,15.475,83295.000
2026-04-08,16.135,16.155,16.225,16.005,127292.000
2026-04-09,16.075,16.155,16.415,16.025,128862.000
2026-04-10,16.255,16.155,16.365,16.105,120265.000
2026-04-13,16.055,16.585,16.745,16.045,168695.000
2026-04-14,16.635,16.585,16.665,16.395,131586.000
2026-04-15,16.595,16.345,16.745,16.335,119132.000
2026-04-16,16.355,16.405,16.475,16.215,93977.000
2026-04-17,16.415,16.685,16.795,16.355,125086.000
2026-04-20,16.625,16.625,16.745,16.535,120328.000
2026-04-21,16.625,16.745,16.855,16.505,124620.000
2026-04-22,16.655,16.885,16.945,16.625,128253.000
2026-04-23,16.895,16.655,17.055,16.545,148275.000
2026-04-24,16.595,16.595,16.815,16.515,119299.000
2026-04-27,16.585,16.735,16.915,16.485,150254.000
2026-04-28,16.675,16.235,16.735,16.195,181948.000
2026-04-29,16.235,16.395,16.495,16.035,129078.000
2026-04-30,16.405,16.435,16.525,16.255,104260.000
2026-05-06,16.545,16.665,16.895,16.545,151933.000
2026-05-07,16.625,17.015,17.115,16.505,215644.000
2026-05-08,16.945,16.795,16.945,16.665,168325.000
2026-05-11,16.935,17.185,17.305,16.845,201598.000
2026-05-12,17.175,16.975,17.175,16.795,155350.000
2026-05-13,16.805,17.305,17.305,16.685,197354.000
2026-05-14,17.305,17.215,17.545,16.865,257093.000
2026-05-15,17.235,17.955,18.275,17.235,454829.000
2026-05-18,17.835,17.815,18.015,17.435,292992.000
2026-05-19,17.705,17.865,17.875,17.265,267609.000
2026-05-20,17.785,18.105,18.475,17.685,382105.000
2026-05-21,18.225,16.705,18.385,16.665,536366.000
2026-05-22,16.835,17.185,17.235,16.735,313458.000
2026-05-25,17.225,17.345,17.515,16.875,258689.000
2026-05-26,17.515,17.105,17.515,16.775,248135.000
2026-05-27,17.135,16.445,17.515,16.345,336110.000
2026-05-28,16.275,16.375,16.475,15.795,268369.000
2026-05-29,16.325,14.725,16.325,14.725,431984.000
2026-06-01,14.605,14.445,14.915,14.365,251561.000
2026-06-02,14.405,14.165,14.485,14.015,200211.000
2026-06-03,14.195,14.215,14.575,14.055,229185.000
2026-06-04,14.035,14.195,14.375,13.935,159413.000
2026-06-05,14.125,14.285,14.675,13.455,304157.000
2026-06-08,13.875,13.595,14.235,13.455,220687.000
2026-06-09,13.755,14.245,14.295,13.445,207870.000
2026-06-10,14.025,14.505,14.645,13.975,248690.000
2026-06-11,14.480,15.460,15.800,14.340,489526.000
2026-06-12,15.600,14.860,16.030,14.790,435119.000
2026-06-15,15.090,16.120,16.210,14.970,390149.000
2026-06-16,16.140,16.900,17.090,16.000,407990.000
2026-06-17,16.900,17.640,17.840,16.790,398222.000
2026-06-18,17.560,17.720,17.870,17.260,338491.000
2026-06-22,17.600,17.810,17.950,17.370,331724.000
2026-06-23,17.770,17.740,18.120,17.330,316632.000
2026-06-24,17.770,19.510,19.510,17.480,521598.000
2026-06-25,20.090,19.080,20.430,18.840,545924.000
2026-06-26,19.110,19.440,20.450,19.110,496781.000
