A股全量股票涨跌幅排行榜
基准日期: 2026-06-25  截止日期: 2026-07-14  生成时间: 2026-07-14 09:14:06
有效股票数: 5,194  上涨: 1,402  下跌: 3,769  中位数: -5.77%  平均: -6.45%
最大涨幅: +127.43%  最大跌幅: -54.61%

+-------+---------+-------------+---------------+-----------+-----------+-----------+-----------+---------+---------+-------+-------+------+---------+
|  排名  |   代码   |     名称     |      行业      |   总市值   |  基准日价  |   当前价   |   涨跌幅   |  前导天  |  天数比  |  风险  |  机会  | 象限  |    PE    |
|=======|=========|=============|===============|===========|===========|===========|===========|=========|=========|=======|=======|======|=========|
|      1 |  688323  | 瑞华泰       | 未知           |       63亿 |      69.40 |      31.50 |    -54.61% |        8 |     0.7x |     55 |     65 |   Y   |     亏损 |
|      2 |  300290  | ST荣科       | 未知           |       27亿 |       8.66 |       4.19 |    -51.64% |       86 |     7.8x |     78 |     55 |   Y   |     亏损 |
|      3 |  603001  | 奥康国际     | 未知           |       28亿 |      14.14 |       7.01 |    -50.42% |       23 |     2.9x |     75 |     44 |   R   |     亏损 |
|      4 |  002491  | 通鼎互联     | 未知           |      234亿 |      38.50 |      19.87 |    -48.39% |        7 |     0.6x |     55 |     65 |   Y   |     亏损 |
|      5 |  688143  | 长盈通       | 未知           |      153亿 |     240.70 |     125.28 |    -47.95% |       14 |     1.2x |     64 |     60 |   Y   |    748.6 |
|      6 |  603458  | 勘设股份     | 未知           |       25亿 |      15.29 |       8.07 |    -47.22% |       54 |     4.5x |     68 |     55 |   Y   |     亏损 |
|      7 |  688662  | 富信科技     | 未知           |      112亿 |     184.00 |      98.00 |    -46.74% |        7 |     0.6x |     45 |     65 |   G   |    282.7 |
|      8 |  600869  | 远东股份     | 未知           |      453亿 |      37.30 |      20.43 |    -45.23% |       16 |     1.3x |     54 |     65 |   Y   |    413.8 |
|      9 |  603618  | 杭电股份     | 未知           |      219亿 |      57.19 |      31.69 |    -44.59% |        8 |     0.7x |     45 |     60 |   G   |     亏损 |
|     10 |  600487  | 亨通光电     | 未知           |     1718亿 |     122.73 |      70.01 |    -42.96% |       16 |     1.3x |     58 |     60 |   Y   |     53.5 |
|     11 |  688260  | 昀冢科技     | 未知           |      101亿 |     144.00 |      83.80 |    -41.81% |        7 |     0.8x |     51 |     76 |   Y   |     亏损 |
|     12 |  301319  | 唯特偶       | 未知           |      162亿 |     202.68 |     118.20 |    -41.68% |        8 |     0.7x |     45 |     65 |   G   |    248.4 |
|     13 |  000766  | 通化金马     | 未知           |      152亿 |      26.61 |      15.70 |    -41.00% |       63 |     5.2x |     82 |     44 |   R   |    476.7 |
|     14 |  301591  | 肯特股份     | 未知           |       15亿 |      55.29 |      32.80 |    -40.68% |       22 |     1.8x |     68 |     59 |   Y   |     58.6 |
|     15 |  002522  | 浙江众成     | 未知           |       43亿 |       8.01 |       4.76 |    -40.57% |       54 |     4.5x |     68 |     55 |   Y   |     73.1 |
|     16 |  300196  | 长海股份     | 未知           |       47亿 |      32.01 |      19.04 |    -40.52% |       12 |     1.0x |     45 |     76 |   G   |     23.9 |
|     17 |  301373  | 凌玮科技     | 未知           |       45亿 |     184.10 |     109.60 |    -40.47% |       10 |     0.8x |     48 |     65 |   G   |     82.5 |
|     18 |  002903  | 宇环数控     | 未知           |       32亿 |      50.25 |      30.02 |    -40.26% |       38 |     3.2x |     65 |     39 |   R   |     亏损 |
|     19 |  301687  | 新广益       | 未知           |       17亿 |      89.66 |      53.88 |    -39.91% |        7 |     0.6x |     42 |     72 |   G   |     63.3 |
|     20 |  600330  | 天通股份     | 未知           |      265亿 |      35.60 |      21.51 |    -39.58% |       43 |     3.6x |     57 |     56 |   Y   |     亏损 |
|     21 |  688308  | 欧科亿       | 未知           |      185亿 |     192.50 |     116.39 |    -39.54% |       17 |     1.4x |     50 |     66 |   G   |     61.6 |
|     22 |  600498  | 烽火通信     | 未知           |      651亿 |      84.59 |      51.18 |    -39.50% |       10 |     0.8x |     42 |     66 |   G   |    165.9 |
|     23 |  600522  | 中天科技     | 未知           |     1410亿 |      68.10 |      41.32 |    -39.32% |        8 |     0.7x |     42 |     61 |   G   |     44.2 |
|     24 |  301013  | 利和兴       | 未知           |       98亿 |      84.91 |      51.62 |    -39.21% |        6 |     0.5x |     36 |     55 |   G   |     亏损 |
|     25 |  301389  | 隆扬电子     | 未知           |      172亿 |      99.87 |      60.80 |    -39.12% |       24 |     2.0x |     50 |     66 |   G   |    172.3 |
|     26 |  301176  | 逸豪新材     | 未知           |       75亿 |      74.88 |      45.70 |    -38.97% |        9 |     0.8x |     42 |     71 |   G   |     亏损 |
|     27 |  603186  | 华正新材     | 未知           |      252亿 |     262.80 |     160.92 |    -38.77% |        7 |     0.6x |     48 |     72 |   G   |     87.2 |
|     28 |  301566  | 达利凯普     | 未知           |       52亿 |      40.34 |      24.73 |    -38.70% |       24 |     2.0x |     50 |     66 |   G   |     61.2 |
|     29 |  688300  | 联瑞新材     | 未知           |      400亿 |     269.99 |     165.70 |    -38.63% |        8 |     0.7x |     48 |     66 |   G   |    132.8 |
|     30 |  688390  | 固德威       | 未知           |      166亿 |     110.80 |      68.09 |    -38.55% |       82 |     6.8x |     64 |     56 |   Y   |     62.6 |
|     31 |  688813  | 泰金新能     | 未知           |       45亿 |     243.80 |     150.00 |    -38.47% |        7 |     0.6x |     44 |     61 |   G   |    136.4 |
|     32 |  600105  | 永鼎股份     | 未知           |      657亿 |      72.96 |      44.94 |    -38.40% |        8 |     0.7x |     42 |     61 |   G   |    639.8 |
|     33 |  688312  | 燕麦科技     | 未知           |       85亿 |      93.94 |      57.95 |    -38.31% |       38 |     3.2x |     57 |     45 |   R   |     62.3 |
|     34 |  688757  | 胜科纳米     | 未知           |       82亿 |      72.94 |      45.01 |    -38.29% |        7 |     0.6x |     52 |     61 |   Y   |    314.2 |
|     35 |  300265  | 通光线缆     | 未知           |       66亿 |      22.92 |      14.15 |    -38.26% |       63 |     5.2x |     64 |     56 |   Y   |    216.2 |
|     36 |  688655  | 迅捷兴       | 未知           |       45亿 |      54.36 |      33.56 |    -38.26% |       37 |     3.1x |     57 |     56 |   Y   |     亏损 |
|     37 |  002051  | 中工国际     | 未知           |      102亿 |      13.44 |       8.33 |    -38.02% |       49 |     4.1x |     67 |     56 |   Y   |     39.1 |
|     38 |  300747  | 锐科激光     | 未知           |      192亿 |      59.18 |      36.77 |    -37.87% |       16 |     1.3x |     50 |     78 |   G   |    110.6 |
|     39 |  301188  | 力诺药包     | 未知           |      110亿 |      66.23 |      41.20 |    -37.79% |       15 |     1.2x |     50 |     66 |   G   |    274.6 |
|     40 |  603011  | 合锻智能     | 未知           |      109亿 |      35.51 |      22.14 |    -37.65% |       18 |     1.5x |     50 |     72 |   G   |     亏损 |
|     41 |  002585  | 双星新材     | 未知           |       81亿 |      14.70 |       9.17 |    -37.62% |       17 |     1.4x |     50 |     78 |   G   |     亏损 |
|     42 |  002733  | 雄韬股份     | 未知           |       80亿 |      34.71 |      21.66 |    -37.60% |       24 |     2.0x |     50 |     60 |   G   |    104.2 |
|     43 |  300302  | 同有科技     | 未知           |      134亿 |      58.00 |      36.23 |    -37.53% |       33 |     2.8x |     57 |     62 |   Y   |    284.9 |
|     44 |  605318  | 法狮龙       | 未知           |      106亿 |     134.20 |      83.91 |    -37.47% |       12 |     1.0x |     52 |     78 |   Y   |  34084.3 |
|     45 |  301292  | 海科新源     | 未知           |       48亿 |      89.77 |      56.22 |    -37.37% |        9 |     0.8x |     42 |     78 |   G   |    392.0 |
|     46 |  300319  | 麦捷科技     | 未知           |      160亿 |      30.08 |      18.85 |    -37.33% |        7 |     0.6x |     42 |     72 |   G   |     55.6 |
|     47 |  688146  | 中船特气     | 未知           |      354亿 |     389.99 |     244.50 |    -37.31% |        8 |     0.7x |     48 |     56 |   G   |    359.4 |
|     48 |  000823  | 超声电子     | 未知           |       97亿 |      25.87 |      16.25 |    -37.19% |        8 |     0.7x |     42 |     72 |   G   |     45.2 |
|     49 |  603773  | 沃格光电     | 未知           |      243亿 |     171.99 |     108.03 |    -37.19% |       14 |     1.2x |     50 |     71 |   G   |     亏损 |
|     50 |  300709  | 精研科技     | 未知           |       61亿 |      65.00 |      40.85 |    -37.15% |        9 |     0.8x |     42 |     78 |   G   |    398.1 |
|     51 |  605336  | *ST帅电      | 未知           |       18亿 |      15.88 |      10.01 |    -36.96% |     >237 |    19.8x |     80 |     58 |   Y   |     亏损 |
|     52 |  688006  | 杭可科技     | 未知           |      146亿 |      38.28 |      24.14 |    -36.94% |       51 |     4.2x |     64 |     50 |   Y   |     38.3 |
|     53 |  301387  | 光大同创     | 未知           |       29亿 |     106.90 |      67.48 |    -36.88% |       34 |     2.8x |     57 |     62 |   Y   |     亏损 |
|     54 |  301021  | 英诺激光     | 未知           |      131亿 |     135.81 |      85.78 |    -36.84% |        8 |     0.7x |     42 |     66 |   G   |    196.5 |
|     55 |  300632  | 光莆股份     | 未知           |       44亿 |      31.47 |      19.91 |    -36.74% |       37 |     3.1x |     57 |     56 |   Y   |     亏损 |
|     56 |  301669  | 高特电子     | 未知           |       25亿 |      47.37 |      30.01 |    -36.65% |      >11 |     0.9x |     52 |     64 |   Y   |    102.5 |
|     57 |  688551  | 科威尔       | 未知           |       52亿 |      75.82 |      48.06 |    -36.61% |       13 |     1.1x |     50 |     71 |   G   |    103.0 |
|     58 |  600162  | 香江控股     | 未知           |       73亿 |       3.50 |       2.22 |    -36.57% |       19 |     1.6x |     60 |     66 |   Y   |     亏损 |
|     59 |  300174  | 元力股份     | 未知           |       76亿 |      33.18 |      21.05 |    -36.56% |        8 |     0.7x |     42 |     72 |   G   |     34.4 |
