date,open,close,high,low,vol
2023-03-23,38.846,41.376,41.986,38.456,91274.0
2023-03-24,41.376,39.936,41.696,39.416,68106.0
2023-03-27,39.856,40.256,40.556,39.456,45838.0
2023-03-28,39.836,38.386,39.956,38.256,56094.0
2023-03-29,38.406,39.026,39.476,38.406,41895.0
2023-03-30,38.916,39.756,40.696,38.636,68979.0
2023-03-31,39.926,40.156,41.746,39.576,48039.0
2023-04-03,39.766,38.976,39.766,37.806,91716.0
2023-04-04,38.906,38.076,38.906,37.806,68650.0
2023-04-06,38.126,39.856,40.256,37.816,86315.0
2023-04-07,40.476,40.006,42.056,39.836,85531.0
2023-04-10,39.976,39.956,41.056,39.136,71568.0
2023-04-11,40.116,39.426,40.116,38.686,49000.0
2023-04-12,39.256,39.506,39.696,38.706,50268.0
2023-04-13,39.406,38.136,39.406,37.906,47152.0
2023-04-14,38.446,38.246,38.806,37.736,33919.0
2023-04-17,38.046,37.196,38.246,36.866,43238.0
2023-04-18,37.136,37.906,38.526,36.666,49481.0
2023-04-19,37.656,37.906,38.546,37.266,36510.0
2023-04-20,37.736,40.156,40.386,37.556,78382.0
2023-04-21,40.356,38.026,41.686,37.856,85714.0
2023-04-24,38.006,37.826,39.626,37.256,55349.0
2023-04-25,37.636,36.516,38.006,35.976,58123.0
2023-04-26,36.246,35.546,37.086,35.336,40649.0
2023-04-27,35.556,35.216,36.026,34.876,36896.0
2023-04-28,34.986,35.706,36.036,34.986,28702.0
2023-05-04,35.506,33.816,35.636,33.436,59679.0
2023-05-05,33.746,32.776,33.746,32.536,41695.0
2023-05-08,32.586,33.076,33.246,32.556,29222.0
2023-05-09,32.976,32.516,33.386,32.476,28836.0
2023-05-10,32.476,32.156,32.736,31.906,27559.0
2023-05-11,32.206,31.866,32.486,31.816,25324.0
2023-05-12,31.946,31.546,32.146,31.506,16973.0
2023-05-15,31.516,31.976,31.976,31.136,18992.0
2023-05-16,31.976,31.576,32.146,31.516,18202.0
2023-05-17,31.746,31.616,31.806,31.316,15271.0
2023-05-18,31.856,33.226,33.256,31.856,56685.0
2023-05-19,33.056,32.826,33.076,32.346,34594.0
2023-05-22,32.746,32.666,33.426,32.566,27057.0
2023-05-23,32.396,32.586,33.006,32.316,17046.0
2023-05-24,32.316,32.576,32.976,32.156,19992.0
2023-05-25,32.396,32.976,33.046,32.326,27578.0
2023-05-26,33.036,33.016,33.216,32.476,25908.0
2023-05-29,33.046,33.496,34.036,33.046,31287.0
2023-05-30,33.366,34.076,34.076,32.886,27576.0
2023-05-31,34.256,33.926,34.546,33.646,25701.0
2023-06-01,34.126,33.996,34.896,33.926,33967.0
2023-06-02,34.106,33.916,34.836,33.896,27865.0
2023-06-05,34.016,34.556,34.756,33.886,29688.0
2023-06-06,34.636,33.456,34.726,33.416,29642.0
2023-06-07,33.736,33.716,34.416,33.466,25675.0
2023-06-08,33.206,32.256,33.366,31.706,49872.0
2023-06-09,32.456,33.686,33.726,32.256,41275.0
2023-06-12,33.686,33.696,33.926,33.266,28621.0
2023-06-13,33.556,33.966,34.526,33.256,31025.0
2023-06-14,34.106,34.536,34.806,33.546,38015.0
2023-06-15,34.806,35.456,36.726,34.806,90454.0
2023-06-16,34.766,36.446,36.556,34.336,72574.0
2023-06-19,37.086,37.256,37.586,36.296,94342.0
2023-06-20,36.756,36.346,36.876,35.906,59967.0
2023-06-21,36.066,35.556,36.256,35.516,39450.0
2023-06-26,35.906,35.466,36.656,35.266,58748.0
2023-06-27,35.996,35.126,35.996,34.476,43018.0
2023-06-28,35.006,34.586,35.106,33.956,31273.0
2023-06-29,34.376,34.726,34.936,34.256,23095.0
2023-06-30,34.716,35.766,36.106,34.556,38443.0
2023-07-03,35.756,35.596,36.066,35.276,31266.0
2023-07-04,36.256,35.596,37.546,35.566,60026.0
2023-07-05,35.746,34.816,35.976,34.596,38334.0
2023-07-06,34.826,34.806,35.686,34.546,30685.0
2023-07-07,34.656,34.256,34.696,33.906,26902.0
2023-07-10,34.406,34.536,34.636,34.176,17154.0
2023-07-11,35.276,35.306,36.256,35.076,40187.0
2023-07-12,35.006,33.776,35.326,33.776,38660.0
2023-07-13,33.806,33.996,34.106,33.606,18578.0
2023-07-14,34.006,35.806,36.976,34.006,76982.0
2023-07-17,35.486,35.326,35.936,35.036,33978.0
2023-07-18,35.156,34.116,35.316,34.066,37191.0
2023-07-19,34.246,34.016,34.356,33.766,19502.0
2023-07-20,34.156,33.136,34.176,33.056,25673.0
2023-07-21,33.206,32.966,33.256,32.756,14480.0
2023-07-24,32.956,33.276,33.636,32.656,13213.0
2023-07-25,33.436,33.826,34.096,33.356,18678.0
2023-07-26,33.756,33.666,34.006,33.576,14500.0
2023-07-27,33.706,33.506,33.896,33.436,13601.0
2023-07-28,33.396,33.886,33.956,32.976,19677.0
2023-07-31,33.956,33.746,34.036,33.616,19350.0
2023-08-01,33.746,33.576,33.886,33.356,14386.0
2023-08-02,33.366,33.576,33.796,33.366,11221.0
2023-08-03,33.556,33.306,33.706,33.286,11979.0
2023-08-04,33.346,33.846,33.856,33.266,17917.0
2023-08-07,33.816,33.496,34.026,33.456,15076.0
2023-08-08,33.286,32.776,33.656,32.776,17398.0
2023-08-09,32.786,31.856,32.876,31.776,23944.0
2023-08-10,31.946,31.816,32.076,31.766,11457.0
2023-08-11,31.986,31.426,31.986,31.296,14821.0
2023-08-14,31.366,31.796,31.816,31.086,9292.0
2023-08-15,31.846,31.386,31.996,31.296,11081.0
2023-08-16,31.436,30.956,31.536,30.846,9522.0
2023-08-17,30.916,31.346,31.416,30.756,8648.0
2023-08-18,31.466,30.876,31.536,30.866,8691.0
2023-08-21,30.726,30.836,31.336,30.726,9848.0
2023-08-22,30.928,31.178,31.188,30.448,13485.0
2023-08-23,31.128,29.908,31.128,29.878,15382.0
2023-08-24,29.918,30.338,30.788,29.898,11711.0
2023-08-25,30.108,29.228,30.298,29.008,15310.0
2023-08-28,31.218,30.418,31.518,30.288,20799.0
2023-08-29,30.538,31.368,31.568,30.358,21377.0
2023-08-30,31.468,31.538,31.908,31.438,15743.0
2023-08-31,31.498,31.678,31.808,31.478,12368.0
2023-09-01,31.678,31.518,31.798,31.378,12110.0
2023-09-04,31.518,32.118,32.128,31.418,16758.0
2023-09-05,32.098,32.138,32.278,31.928,12060.0
2023-09-06,31.928,32.458,32.498,31.818,14311.0
2023-09-07,32.478,31.868,32.498,31.868,11290.0
2023-09-08,31.718,32.188,32.308,31.558,11332.0
2023-09-11,32.398,32.518,32.798,32.048,15663.0
2023-09-12,32.648,32.978,33.148,32.468,18630.0
2023-09-13,32.938,32.518,33.018,32.268,14129.0
2023-09-14,32.618,32.698,33.288,32.528,15919.0
2023-09-15,32.778,32.698,32.948,32.328,15263.0
2023-09-18,32.928,33.368,33.918,32.838,31624.0
2023-09-19,33.218,32.368,33.238,32.028,22895.0
2023-09-20,32.258,31.798,32.868,31.718,20716.0
2023-09-21,31.718,31.768,32.248,31.578,15582.0
2023-09-22,31.538,32.658,32.698,31.538,20273.0
2023-09-25,33.138,33.028,33.658,32.838,25606.0
2023-09-26,32.918,32.438,33.098,32.318,17853.0
2023-09-27,32.228,32.718,32.778,32.218,17576.0
2023-09-28,32.568,32.988,33.148,32.568,15247.0
2023-10-09,32.978,33.238,33.548,32.818,23735.0
2023-10-10,33.228,33.338,33.518,33.228,15139.0
2023-10-11,33.368,33.388,33.728,33.268,15643.0
2023-10-12,33.558,33.648,33.878,33.368,19574.0
2023-10-13,33.658,33.418,33.658,33.088,19735.0
2023-10-16,33.408,33.038,33.468,32.838,18483.0
2023-10-17,33.028,32.858,33.178,32.418,16784.0
2023-10-18,32.758,32.358,32.818,32.218,17253.0
2023-10-19,32.408,31.718,32.608,31.668,15559.0
2023-10-20,31.558,31.218,32.018,31.128,15868.0
2023-10-23,30.968,30.168,31.118,30.068,20856.0
2023-10-24,30.248,29.808,30.678,29.518,17297.0
2023-10-25,30.228,30.148,30.488,29.728,14544.0
2023-10-26,30.068,30.808,30.818,29.938,16022.0
2023-10-27,30.628,31.038,31.128,30.478,13975.0
2023-10-30,30.888,31.248,31.298,30.498,15050.0
2023-10-31,30.548,29.528,30.858,29.278,32894.0
2023-11-01,29.318,28.368,29.668,28.268,38503.0
2023-11-02,28.328,27.758,28.398,27.668,26419.0
2023-11-03,27.718,28.448,28.668,27.708,25511.0
2023-11-06,28.618,28.968,28.998,28.518,27233.0
2023-11-07,28.978,29.298,29.568,28.718,27829.0
2023-11-08,29.278,29.278,29.518,28.898,26063.0
