code,sector,period,entry,final,fwd_ret,max_dd,trend,bottom,v3,v4,v5,core,sector_tier
002584,电子化学品,2024-2025,5.93,9.14,54.2,-22.5,49,15,False,True,True,True,T2
600586,玻璃玻纤,2024-2025,5.67,5.35,-5.7,-31.1,5,19,False,True,True,False,T2
002106,光学光电子,2024-2025,9.73,10.67,9.7,-32.8,37,20,False,True,True,False,T3
002414,国防军工,2024-2025,5.98,11.22,87.6,-28.1,47,17,False,True,True,True,T3
002396,通信设备,2024-2025,9.40,20.13,114.0,-28.0,8,19,False,True,True,False,T1
603256,玻璃玻纤,2024-2025,6.54,23.26,255.6,-34.7,20,8,False,False,False,False,T2
000727,光学光电子,2024-2025,2.02,2.43,20.3,-37.3,37,20,False,True,True,False,T3
000020,光学光电子,2024-2025,9.56,13.48,41.0,-38.5,2,19,False,True,True,False,T3
000977,计算机设备,2024-2025,38.00,54.56,43.6,-34.3,60,17,True,True,True,True,T3
002313,通信设备,2024-2025,6.66,9.79,47.0,-41.0,38,17,False,True,True,False,T1
600176,玻璃玻纤,2024-2025,9.96,12.51,25.6,-18.8,5,19,False,True,True,False,T2
002463,元件,2024-2025,34.96,52.24,49.4,-46.3,58,11,True,True,True,True,T1
601636,玻璃玻纤,2024-2025,5.88,6.44,9.4,-30.7,5,17,False,True,True,False,T2
600584,,2024-2025,34.42,34.88,1.3,-35.7,48,14,False,True,True,True,T3
002636,元件,2024-2025,6.48,12.20,88.2,-38.6,53,10,True,True,True,True,T1
000070,通信设备,2024-2025,4.28,7.56,76.6,-21.4,8,15,False,True,True,False,T1
002189,国防军工,2024-2025,14.42,26.72,85.3,-38.5,47,17,False,True,True,True,T3
600487,通信设备,2024-2025,14.86,15.90,7.0,-24.8,18,18,False,True,True,False,T1
000725,光学光电子,2024-2025,3.96,4.04,2.0,-21.5,52,17,True,True,True,True,T3
605006,玻璃玻纤,2024-2025,4.08,7.62,86.8,-51.2,5,8,False,False,False,False,T2
601869,,2024-2025,22.45,40.13,78.8,-30.7,0,19,False,True,True,False,T3
002236,计算机设备,2024-2025,13.80,16.05,16.3,-26.7,2,19,False,True,True,False,T3
002741,电子化学品,2024-2025,11.90,20.06,68.6,-45.4,57,6,True,True,True,False,T2
600879,国防军工,2024-2025,7.45,10.32,38.5,-26.1,32,20,False,True,True,False,T3
002222,光学光电子,2024-2025,21.50,38.97,81.3,-22.2,32,20,False,True,True,False,T3
600345,通信设备,2024-2025,16.02,24.26,51.5,-32.2,8,8,False,False,False,False,T1
002080,玻璃玻纤,2024-2025,10.53,29.28,178.0,-19.2,15,5,False,False,False,False,T2
002199,元件,2024-2025,6.01,8.93,48.6,-61.3,13,8,False,False,False,False,T1
002935,国防军工,2024-2025,12.45,15.85,27.3,-32.4,47,10,False,True,True,True,T3
000063,通信设备,2024-2025,27.37,34.47,25.9,-31.1,55,17,True,True,True,True,T1
002579,元件,2024-2025,6.92,12.58,81.8,-32.8,8,10,False,False,False,False,T1
002194,通信设备,2024-2025,7.58,13.43,77.2,-40.9,8,19,False,True,True,False,T1
002129,,2024-2025,8.73,8.56,-1.9,-43.5,40,14,False,True,True,False,T3
600703,,2024-2025,11.78,12.81,8.7,-30.0,42,20,False,True,True,False,T3
003004,计算机设备,2024-2025,23.26,18.41,-20.9,-45.0,2,10,False,False,False,False,T3
002077,半导体,2024-2025,10.74,14.27,32.9,-34.1,8,8,False,False,False,False,T1
002152,计算机设备,2024-2025,9.39,13.41,42.8,-30.5,9,19,False,True,True,False,T3
002289,光学光电子,2024-2025,2.55,19.34,658.4,-19.0,2,8,False,False,False,False,T3
000738,国防军工,2024-2025,19.20,21.47,11.8,-33.7,2,19,False,True,True,False,T3
900918,玻璃玻纤,2024-2025,0.25,0.34,35.6,-26.4,55,17,True,True,True,True,T2
000586,通信设备,2024-2025,7.12,11.60,62.9,-39.1,8,14,False,True,True,False,T1
603931,电子化学品,2024-2025,19.27,26.82,39.2,-30.7,5,10,False,False,False,False,T2
002475,,2024-2025,41.69,37.60,-9.8,-38.4,48,18,False,True,True,True,T3
600563,元件,2024-2025,80.86,110.80,37.0,-33.5,43,20,False,True,True,False,T1
603516,计算机设备,2024-2025,33.17,50.31,51.7,-46.3,52,10,True,True,True,True,T3
002643,电子化学品,2024-2025,8.85,12.94,46.2,-28.8,5,8,False,False,False,False,T2
603061,半导体,2024-2025,41.88,62.84,50.1,-25.5,8,12,False,False,False,False,T1
